,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000057130,0.7609984559644253,0.0,0.0,0.7559272404065592,0.7659783472908412,Txnl4a
ENSMUSG00000030591,0.7574986065105354,0.0,0.0,0.7523635727475001,0.7625415882572719,Psmd8
ENSMUSG00000035960,0.7457299943152162,0.0,0.0,0.7403825692681454,0.7509830361048153,Apex1
ENSMUSG00000041841,0.7441808450304361,0.0,0.0,0.7388057150940841,0.7494612980598501,Rpl37
ENSMUSG00000029623,0.7390202847368422,0.0,0.0,0.7335532882189811,0.7443916481429329,Pdap1
ENSMUSG00000025066,0.732923412321097,0.0,0.0,0.727348722728548,0.738401382477794,Sfr1
ENSMUSG00000028833,0.7262420536291827,0.0,0.0,0.7205503932261274,0.7318358576426698,Ncdn
ENSMUSG00000031628,0.7256659855946584,0.0,0.0,0.7199642911801403,0.7312697281957655,Casp3
ENSMUSG00000028675,0.7168924315865095,0.0,0.0,0.7110389235753328,0.722646585200192,Pnrc2
ENSMUSG00000014769,0.7156874494617406,0.0,0.0,0.7098132382903559,0.7214621210006403,Psmb1
ENSMUSG00000030512,0.711147568437333,0.0,0.0,0.7051956756632539,0.7169992396310968,Snrpa1
ENSMUSG00000061360,0.7084757707174725,0.0,0.0,0.702478396975873,0.7143725332721963,Phf5a
ENSMUSG00000020267,0.7051969222064483,0.0,0.0,0.6991439728423999,0.7111487940768232,Hint1
ENSMUSG00000003039,0.7027418791389239,0.0,0.0,0.6966474898063053,0.7087348503247806,Fam32a
ENSMUSG00000032959,0.6980347448407589,0.0,0.0,0.6918613140590094,0.7041061245746689,Pebp1
ENSMUSG00000036781,0.6972846911221915,0.0,0.0,0.6910987156665296,0.7033685171296513,Rps27l
ENSMUSG00000029463,0.6966278479031632,0.0,0.0,0.6904308980344579,0.702722562702904,Fam216a
ENSMUSG00000047675,0.6916928948358826,0.0,0.0,0.6854138304683814,0.6978690972639978,Rps8
ENSMUSG00000062006,0.6897210266657882,0.0,0.0,0.6834093183460251,0.6959296306360518,Rpl34
ENSMUSG00000020460,0.6873180736166155,0.0,0.0,0.6809667134536418,0.6935660402257563,Rps27a
ENSMUSG00000021266,0.6870295973994718,0.0,0.0,0.6806734865055458,0.6932822804773202,Wars
ENSMUSG00000006941,0.686946452161745,0.0,0.0,0.6805889723799854,0.6932004942704492,Eif1b
ENSMUSG00000073702,0.6847907301995503,0.0,0.0,0.6783978180660287,0.6910799519294801,Rpl31
ENSMUSG00000041571,0.683391969162874,0.0,0.0,0.6769761272393926,0.689703959609516,Selenow
ENSMUSG00000049960,0.6815751188441075,0.0,0.0,0.6751295649023383,0.6879166155055353,Mrps16
ENSMUSG00000109739,0.6813223675285176,0.0,0.0,0.674872686596039,0.6876679628554824,Gm17949
ENSMUSG00000009013,0.6811056645132757,0.0,0.0,0.6746524464409157,0.6874547727540772,Dynll1
ENSMUSG00000002043,0.680869395034378,0.0,0.0,0.6744123217574052,0.6872223321286911,Trappc6a
ENSMUSG00000040952,0.6797598587614749,0.0,0.0,0.6732846994697094,0.6861307589934469,Rps19
ENSMUSG00000029394,0.6796539301157197,0.0,0.0,0.6731770457073599,0.686026543807972,Cdk2ap1
ENSMUSG00000021039,0.6783489523979993,0.0,0.0,0.6718508381059858,0.6847426534448521,Snw1
ENSMUSG00000025577,0.6782401291236934,0.0,0.0,0.6717402463345256,0.6846355868713998,Cbx2
ENSMUSG00000016559,0.675178885750216,0.0,0.0,0.6686293731157016,0.6816236471303501,H3f3b
ENSMUSG00000003923,0.6725047587342353,0.0,0.0,0.6659120799005288,0.6789924102120494,Tfam
ENSMUSG00000008683,0.672209707005454,0.0,0.0,0.6656122761127201,0.678702080582983,Rps15a
ENSMUSG00000018287,0.6711328135499728,0.0,0.0,0.6645180564411264,0.6776424048459195,Spag7
