,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000004610,0.8979015594212983,0.0,0.0,0.8955629259396098,0.9001905818839697,Etfb
ENSMUSG00000072949,0.8907321208963773,0.0,0.0,0.8882389370144979,0.8931728330382648,Acot1
ENSMUSG00000027984,0.8745327749466284,0.0,0.0,0.8716950504258671,0.8773118514295174,Hadh
ENSMUSG00000020766,0.8726630452525452,0.0,0.0,0.8697859701121694,0.8754807849008249,Galk1
ENSMUSG00000030895,0.870754236234097,0.0,0.0,0.8678370768549027,0.8736113636830052,Hpx
ENSMUSG00000025515,0.8640993069602623,0.0,0.0,0.861043098662964,0.867093097621617,Muc2
ENSMUSG00000030587,0.863837517125405,0.0,0.0,0.8607758612598175,0.8668366628486555,2200002D01Rik
ENSMUSG00000030538,0.8602820071567975,0.0,0.0,0.857146532044669,0.8633537257644619,Cib1
ENSMUSG00000046718,0.8568747429537192,0.0,0.0,0.8536688185869684,0.8600157338816641,Bst2
ENSMUSG00000005681,0.8565346141606187,0.0,0.0,0.8533216729183235,0.8596825054125669,Apoa2
ENSMUSG00000025068,0.8564312561308226,0.0,0.0,0.8532161831710838,0.8595812437162288,Gsto1
ENSMUSG00000020321,0.8562490297183417,0.0,0.0,0.853030199053467,0.8594027126629208,Mdh1
ENSMUSG00000074457,0.8542945980321599,0.0,0.0,0.8510355162898596,0.8574878664322786,S100a16
ENSMUSG00000022875,0.8510291456860793,0.0,0.0,0.8477030225297573,0.8542883558343545,Kng1
ENSMUSG00000060807,0.8497327658630841,0.0,0.0,0.8463801001602634,0.8530180863010133,Serpina6
ENSMUSG00000006717,0.8467803176742116,0.0,0.0,0.8433673568886236,0.8501249578620095,Acot13
ENSMUSG00000015335,0.8443170559676496,0.0,0.0,0.8408539544817744,0.8477110327899299,Zdhhc12
ENSMUSG00000001313,0.8436270287219694,0.0,0.0,0.84014990822635,0.8470348008858073,Rnd2
ENSMUSG00000025533,0.8430319821861499,0.0,0.0,0.8395427817763143,0.8464516419353423,Asl
ENSMUSG00000021591,0.8421999913218974,0.0,0.0,0.8386939154513272,0.8456362584748338,Glrx
ENSMUSG00000066366,0.8394314777215662,0.0,0.0,0.8358693701146905,0.8429228918069174,Serpina1a
ENSMUSG00000033860,0.8380328466169862,0.0,0.0,0.8344425039347422,0.8415520529694933,Fgg
ENSMUSG00000027808,0.8341055776365661,0.0,0.0,0.8304362099572569,0.8377025805884999,Serp1
ENSMUSG00000020476,0.8337638472929784,0.0,0.0,0.830087621220137,0.8373676027921937,Dbnl
ENSMUSG00000029446,0.8336170463929797,0.0,0.0,0.8299378749660719,0.8372237018278692,Psph
ENSMUSG00000023262,0.8331241181688207,0.0,0.0,0.8294350607079288,0.8367405073566174,Acy1
ENSMUSG00000024990,0.8284313435418826,0.0,0.0,0.8246484684146336,0.8321401179650494,Rbp4
ENSMUSG00000025190,0.8284059850355252,0.0,0.0,0.8246226044141722,0.8321152572972715,Got1
ENSMUSG00000076441,0.8282717630764478,0.0,0.0,0.8244857071505026,0.8319836701374611,Ass1
ENSMUSG00000062908,0.8281659429521544,0.0,0.0,0.824377778137816,0.8318799269853024,Acadm
ENSMUSG00000024387,0.8277735202144212,0.0,0.0,0.8239775372152803,0.8314952042128096,Csnk2b
ENSMUSG00000047040,0.82270847552753,0.0,0.0,0.8188119222840271,0.8265292234347814,Prr15l
ENSMUSG00000049091,0.8206388402484718,0.0,0.0,0.8167013744326146,0.8244998956272582,Sephs2
ENSMUSG00000022766,0.8177760639250875,0.0,0.0,0.8137821803354042,0.8216927099954139,Serpind1
ENSMUSG00000032554,0.8176679295246656,0.0,0.0,0.8136719188408655,0.821586671673089,Trf
