,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000079278,0.5358490732396877,0.0,0.0,0.527282964605073,0.5443062701242489,Tmem233
ENSMUSG00000021175,0.5319883976336727,0.0,0.0,0.5233731500106912,0.5404948929462677,Cdca7l
ENSMUSG00000028946,0.5302432450070257,0.0,0.0,0.5216059039870187,0.5387719102459662,Hes3
ENSMUSG00000079466,0.5266702169714702,0.0,0.0,0.5179878730998401,0.5352440503562158,Prdm12
ENSMUSG00000048562,0.523028443554691,0.0,0.0,0.5143005506279343,0.5316480063043527,Sp8
ENSMUSG00000032269,0.5201759646301973,0.0,0.0,0.5114126199997493,0.528831128605368,Htr3a
ENSMUSG00000027967,0.511902986250087,0.0,0.0,0.5030379412915778,0.520660325015513,Neurog2
ENSMUSG00000059246,0.5115854816234402,0.0,0.0,0.5027165667256356,0.5203467097376994,Foxb1
ENSMUSG00000045994,0.5053127393442233,0.0,0.0,0.4963678710692694,0.5141503223159335,B3gat1
ENSMUSG00000035456,0.5052492468402682,0.0,0.0,0.4963036146585644,0.5140875979570853,Prdm8
ENSMUSG00000032936,0.5020643648033393,0.0,0.0,0.4930805396425421,0.510941125963349,Camkv
ENSMUSG00000001260,0.4977587736142154,0.0,0.0,0.4887237079837502,0.5066870825281125,Gabrg1
ENSMUSG00000045608,0.4946045060516213,0.0,0.0,0.4855321877295315,0.5035703027983137,Dbx2
ENSMUSG00000030393,0.49237273498796347,0.0,0.0,0.4832742049615094,0.5013649148990428,Zik1
ENSMUSG00000043391,0.4908474334097346,0.0,0.0,0.48173105865494986,0.4998575776477931,2510009E07Rik
ENSMUSG00000021494,0.48583529956601995,0.0,0.0,0.47666068522131977,0.4949040901180195,Ddx41
ENSMUSG00000038848,0.4808112813346533,0.0,0.0,0.47157890183262346,0.48993826568407517,Ythdf1
ENSMUSG00000029348,0.47977534810652567,0.0,0.0,0.47053113390295115,0.48891425813017153,Asphd2
ENSMUSG00000062961,0.4778044541938077,0.0,0.0,0.46853779609140894,0.4869659836247116,Ccdc177
