,Pharyngeal Mesoderm/Neural Crest_2_corr,Pharyngeal Mesoderm/Neural Crest_2_pval,Pharyngeal Mesoderm/Neural Crest_2_qval,Pharyngeal Mesoderm/Neural Crest_2_ci_low,Pharyngeal Mesoderm/Neural Crest_2_ci_high,gene_annotation
ENSMUSG00000039001,0.3540389629134996,0.0,0.0,0.3435516185738878,0.36443801898076705,Rps21
ENSMUSG00000030432,0.33315560588964743,0.0,0.0,0.32249885880742857,0.3437279095043199,Rpl28
ENSMUSG00000090733,0.32721541950245825,0.0,0.0,0.3165124118618407,0.3378351233931745,Rps27
ENSMUSG00000041841,0.3240872222455993,0.0,0.0,0.3133601957156744,0.3347315531805621,Rpl37
ENSMUSG00000025362,0.32351915974615975,0.0,0.0,0.3127877968851049,0.334167938033179,Rps26
ENSMUSG00000024925,0.3181979820075041,0.0,0.0,0.30742637814451335,0.32888804988436177,Rnaseh2c
ENSMUSG00000049960,0.3128212971365605,0.0,0.0,0.3020097270427878,0.32355240642233435,Mrps16
ENSMUSG00000049751,0.31068361683688556,0.0,0.0,0.29985635076968215,0.3214308538813488,Rpl36al
ENSMUSG00000070493,0.3020714211739535,0.0,0.0,0.2911820373467349,0.3128825399649004,Chchd2
ENSMUSG00000057863,0.30120224301057485,0.0,0.0,0.29030668946518584,0.31201971169563986,Rpl36
ENSMUSG00000059278,0.30058236947824046,0.0,0.0,0.28968242700128194,0.31140435582915166,Naa38
ENSMUSG00000045128,0.3004843815485258,0.0,0.0,0.28958374612998905,0.3113070812090742,Rpl18a
ENSMUSG00000059534,0.2993660841057189,0.0,0.0,0.2884575568326535,0.31019690842253483,Uqcr10
ENSMUSG00000047675,0.2932615519032957,0.0,0.0,0.282310476802566,0.3041362060857849,Rps8
ENSMUSG00000035242,0.2931014986553437,0.0,0.0,0.28214932010062893,0.30397729015843605,Oaz1
ENSMUSG00000034892,0.2823992211565448,0.0,0.0,0.2713746602564942,0.2933496883548571,Rps29
ENSMUSG00000014294,0.2818982604852549,0.0,0.0,0.2708703791455296,0.2928521568439806,Ndufa2
ENSMUSG00000015943,0.2810287602068173,0.0,0.0,0.2699951300635705,0.29198859435908564,Bola1
ENSMUSG00000073702,0.2711547844429028,0.0,0.0,0.2600571504191069,0.28218079385487005,Rpl31
ENSMUSG00000060938,0.2654332766869782,0.0,0.0,0.2542996310819004,0.27649657669091304,Rpl26
ENSMUSG00000028234,0.2637163211784217,0.0,0.0,0.25257202286255975,0.27479066062261115,Rps20
ENSMUSG00000069310,0.26162021936820135,0.0,0.0,0.2504630122797257,0.27270794151567207,Hist1h3c
ENSMUSG00000020460,0.2608659387531844,0.0,0.0,0.24970411236156764,0.27195845122925,Rps27a
ENSMUSG00000033751,0.26042869346330305,0.0,0.0,0.24926419560813534,0.2715239766601187,Gadd45gip1
ENSMUSG00000040952,0.2602846347241875,0.0,0.0,0.24911925771386068,0.2713808297969842,Rps19
ENSMUSG00000028998,0.2600420326300353,0.0,0.0,0.24887517620894978,0.2711397622379634,Tomm7
ENSMUSG00000031628,0.2586754700654804,0.0,0.0,0.24750030671258436,0.2697818176057414,Casp3
ENSMUSG00000062006,0.2580946597267137,0.0,0.0,0.24691597942700969,0.2692046566443117,Rpl34
ENSMUSG00000035960,0.25582848494091154,0.0,0.0,0.24463616014096434,0.2669526444901142,Apex1
ENSMUSG00000007892,0.25522328268508127,0.0,0.0,0.2440273349361047,0.2663512039359591,Rplp1
ENSMUSG00000002043,0.2506951458950384,0.0,0.0,0.23947237118876163,0.26185093730124914,Trappc6a
ENSMUSG00000061477,0.25041895036141937,0.0,0.0,0.23919455531871706,0.26157642602044484,Rps7
ENSMUSG00000071415,0.2494784268438549,0.0,0.0,0.23824852788392228,0.260641624318265,Rpl23
ENSMUSG00000062997,0.24946504162031738,0.0,0.0,0.23823506448423015,0.2606283203746651,Rpl35
ENSMUSG00000036781,0.24885219059401328,0.0,0.0,0.23761863873542988,0.26001918626136233,Rps27l
ENSMUSG00000054091,0.24309005624104693,0.0,0.0,0.23182333663018348,0.2542915643249412,1810037I17Rik
ENSMUSG00000074890,0.24136047082920586,0.0,0.0,0.23008395150037897,0.25257218495961414,Lcmt2
ENSMUSG00000037085,0.2390231924426464,0.0,0.0,0.22773354470705243,0.2502485860330686,Trmt12
ENSMUSG00000024608,0.2390069406449995,0.0,0.0,0.22771720208421245,0.25023242890009734,Rps14
ENSMUSG00000024177,0.2350096850290124,0.0,0.0,0.2236978004669364,0.24625826689694802,Nme4
ENSMUSG00000071654,0.2348762056761462,0.0,0.0,0.2235635882363889,0.2461255521765415,Uqcc3
ENSMUSG00000006941,0.23394928680258073,0.0,0.0,0.22263159188312356,0.2452039314941698,Eif1b
ENSMUSG00000004032,0.23285051030210302,0.0,0.0,0.22152682329556858,0.24411140915903115,Gstm5
ENSMUSG00000084786,0.23192398200069403,0.0,0.0,0.2205952648377841,0.24319013238169362,Ubl5
ENSMUSG00000028044,0.23112597907253757,0.0,0.0,0.2197929460881669,0.24239663620820606,Cks1b
ENSMUSG00000042380,0.22795631971388428,0.0,0.0,0.21660629570905102,0.23924472873207578,Smim12
ENSMUSG00000028675,0.22751073806745536,0.0,0.0,0.21615834490259347,0.23880162352078443,Pnrc2
ENSMUSG00000093674,0.22605797535581554,0.0,0.0,0.21469789103585094,0.23735690225700373,Rpl41
ENSMUSG00000063480,0.22422317387774965,8.044144875363194e-307,1.4896564584005914e-304,0.21285344842454404,0.23553218548831673,Nhp2l1
ENSMUSG00000035530,0.223682601577551,2.6531776955483675e-305,4.8239594464515774e-303,0.2123100510903963,0.23499456915592032,Eif1
ENSMUSG00000005732,0.22320167311768693,5.902360594997766e-304,1.0355018587715378e-301,0.21182661520757762,0.23451626470031361,Ranbp1
ENSMUSG00000062619,0.21950478287923025,1.040941404094912e-293,1.6264709438983e-291,0.20811063629878498,0.2308393622250705,2310039H08Rik
ENSMUSG00000034566,0.21940659780382632,1.9360315506282045e-293,2.9785100778895456e-291,0.2080119487342846,0.23074170358794896,Atp5h
ENSMUSG00000061360,0.2192646124739866,4.746510412436858e-293,7.191682443086148e-291,0.2078692371658186,0.23060047913602524,Phf5a
ENSMUSG00000037070,0.21864235130517576,2.398018722114284e-291,3.5791324210660957e-289,0.20724379892469036,0.2299815469378824,Rbmxl1
ENSMUSG00000057130,0.21829521463746643,2.1270560495073046e-290,3.1280236022166247e-288,0.20689489393383126,0.22963626339478754,Txnl4a
ENSMUSG00000049792,0.2180048305414038,1.3165028447131002e-289,1.9079751372653626e-287,0.20660303284106327,0.22934742726746346,Bag5
ENSMUSG00000013822,0.21789206788856383,2.6700114234431947e-289,3.814302033490278e-287,0.20648969718425378,0.22923526518710216,Elof1
ENSMUSG00000063457,0.2172545408800089,1.4432390060043338e-287,2.0044986194504637e-285,0.2058489363340983,0.22860112797348556,Rps15
ENSMUSG00000038274,0.21574733215620814,1.7107548192243504e-283,2.2509931831899347e-281,0.20433412121885516,0.22710189493783392,Fau
ENSMUSG00000003429,0.21485907353586645,4.159917496615533e-281,5.402490255344848e-279,0.20344140544542685,0.22621831150493246,Rps11
ENSMUSG00000053565,0.21479039523538712,6.354700179702551e-281,8.147051512439168e-279,0.20337238331782675,0.22614999390162616,Eif3k
ENSMUSG00000090553,0.21154343314574878,2.6740726176362664e-272,3.301324219304033e-270,0.2001092953316874,0.2229199572560448,Snrpe
ENSMUSG00000085301,0.21090772879090408,1.2541629780957444e-270,1.493051164399696e-268,0.19947046346939776,0.22228753739591894,Gm12132
