,Blood_6_corr,Blood_6_pval,Blood_6_qval,Blood_6_ci_low,Blood_6_ci_high,gene_annotation
ENSMUSG00000026815,0.3843118525552506,0.0,0.0,0.3740888035604112,0.39444151284211443,Gfi1b
ENSMUSG00000070803,0.37793216748753516,0.0,0.0,0.3676515769273724,0.3881203956926442,Cited4
ENSMUSG00000063856,0.3777171761634501,0.0,0.0,0.36743466364712724,0.38790736137292364,Gpx1
ENSMUSG00000054191,0.37704779885779227,0.0,0.0,0.3667593094780818,0.38724407024469243,Klf1
ENSMUSG00000057388,0.3743387889092038,0.0,0.0,0.36402622154878794,0.38455958362322296,Mrpl18
ENSMUSG00000040466,0.37008838731886645,0.0,0.0,0.35973839981419853,0.3803473103771722,Blvrb
ENSMUSG00000027078,0.36805846055312785,0.0,0.0,0.35769075599071026,0.37833544293793125,Ube2l6
ENSMUSG00000032126,0.36698990312526325,0.0,0.0,0.3566129123202295,0.37727635296674655,Hmbs
ENSMUSG00000055401,0.3632303116981001,0.0,0.0,0.3528208679207387,0.3735498577752823,Fbxo6
ENSMUSG00000005161,0.36249276448595685,0.0,0.0,0.35207699428314865,0.3728187642156274,Prdx2
ENSMUSG00000024661,0.35539546518335763,0.0,0.0,0.3449194892590069,0.36578291205845054,Fth1
ENSMUSG00000021361,0.35437444518705397,0.0,0.0,0.34388990827646226,0.36477063417387,Tmem14c
ENSMUSG00000052217,0.3468704704170228,0.0,0.0,0.33632378803306556,0.35733015532692286,Hbb-bh1
ENSMUSG00000028393,0.3455932242627731,0.0,0.0,0.3350360997223868,0.3560635845353578,Alad
ENSMUSG00000027562,0.33902695188043364,0.0,0.0,0.3284167670897195,0.34955158645238626,Car2
ENSMUSG00000078350,0.33090933499145536,0.0,0.0,0.3202349943250332,0.3414996608276895,Smim1
ENSMUSG00000030054,0.3308295401429179,0.0,0.0,0.3201545767374527,0.34142050399743124,Gp9
ENSMUSG00000000253,0.32709008818947016,0.0,0.0,0.31638611368561675,0.33771078320419495,Gmpr
ENSMUSG00000028124,0.3254594216514448,0.0,0.0,0.3147429020243968,0.3360929782423584,Gclm
ENSMUSG00000039956,0.3249088098681721,0.0,0.0,0.31418806875420374,0.33554669513437635,Mrap
ENSMUSG00000051839,0.3234419029812222,0.0,0.0,0.31270995097923,0.334091285521878,Gypa
ENSMUSG00000023216,0.3137389922584417,0.0,0.0,0.30293419421504875,0.3244631448798227,Epb42
ENSMUSG00000106438,0.3120921269568623,0.0,0.0,0.3012751905133139,0.32282874960193236,Gm42749
ENSMUSG00000055609,0.3079807197125891,0.0,0.0,0.29713376549265563,0.31874819433622414,Hba-x
ENSMUSG00000028332,0.307303980491201,0.0,0.0,0.29645212444772706,0.3180764951050398,Hemgn
ENSMUSG00000032026,0.3033308984865257,0.0,0.0,0.2924504872060399,0.31413278434079317,Rexo2
ENSMUSG00000052187,0.30057987304770756,0.0,0.0,0.289679912913856,0.31140187757436594,Hbb-y
ENSMUSG00000073940,0.30024644583754023,0.0,0.0,0.28934412877273535,0.31107087662291,Hbb-bt
ENSMUSG00000069919,0.29988960610189114,0.0,0.0,0.2889847695799445,0.31071663060345056,Hba-a1
ENSMUSG00000024155,0.29842726913038187,0.0,0.0,0.28751213991930097,0.30926489131771445,Meiob
ENSMUSG00000021550,0.2978546860238246,0.0,0.0,0.28693554073408495,0.30869644400997986,2210016F16Rik
ENSMUSG00000073400,0.2922410332643267,0.0,0.0,0.2812829330027254,0.3031229287652358,Trim10
ENSMUSG00000039183,0.29170770240244986,0.0,0.0,0.2807459407353735,0.3025933724816645,Nubp2
ENSMUSG00000028494,0.29118697248730935,0.0,0.0,0.280221642543771,0.30207632147883057,Plin2
ENSMUSG00000001014,0.2903346878783772,0.0,0.0,0.2793635318122728,0.3012300443627235,Icam4
ENSMUSG00000032596,0.28638654497564536,0.0,0.0,0.27538862846122586,0.29730950678138984,Uba7
ENSMUSG00000073063,0.2827948008485535,0.0,0.0,0.2717728661847385,0.2937425560457894,Hbq1b
ENSMUSG00000030000,0.28121482176738605,0.0,0.0,0.2701824202586244,0.29217338681320326,Add2
ENSMUSG00000069917,0.28067112904289276,0.0,0.0,0.26963513967125446,0.2916334002619285,Hba-a2
ENSMUSG00000024158,0.28034591323950186,0.0,0.0,0.26930778115567294,0.29131039800721314,Hagh
ENSMUSG00000042770,0.27903666099701024,0.0,0.0,0.26798992859672477,0.29001003176683315,Hebp1
