,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000068614,0.9371586354541107,0.0,0.0,0.9356887415828482,0.9385959992555241,Actc1
ENSMUSG00000061086,0.8814712279158616,0.0,0.0,0.8787802841166625,0.8841061205908267,Myl4
ENSMUSG00000026418,0.8582588745315607,0.0,0.0,0.8550815342586712,0.8613717574146307,Tnni1
ENSMUSG00000020469,0.856840306297893,0.0,0.0,0.8536336713714482,0.8599819959774468,Myl7
ENSMUSG00000006221,0.8488416406694403,0.0,0.0,0.8454707537430507,0.8521448866169585,Hspb7
ENSMUSG00000061816,0.8331245158213997,0.0,0.0,0.8294354663333101,0.8367408971591018,Myl1
ENSMUSG00000035458,0.8275671408510464,0.0,0.0,0.823767047703843,0.8312928729120693,Tnni3
ENSMUSG00000015579,0.8209738059698377,0.0,0.0,0.8170429546152327,0.8248283444132333,Nkx2-5
ENSMUSG00000030470,0.8103347320617748,0.0,0.0,0.8061951420826687,0.8143949881937886,Csrp3
ENSMUSG00000013936,0.7938065052120715,0.0,0.0,0.7893481501107203,0.798181143838177,Myl2
ENSMUSG00000031972,0.7882102536512234,0.0,0.0,0.78364548976535,0.7926899016225294,Acta1
ENSMUSG00000091898,0.783849175071176,0.0,0.0,0.7792020216671166,0.7884101512931205,Tnnc1
ENSMUSG00000018845,0.7749032110579362,0.0,0.0,0.7700885121699721,0.7796296354337194,Unc45b
ENSMUSG00000052374,0.7719931547972246,0.0,0.0,0.7671243781502654,0.7767729976159927,Actn2
ENSMUSG00000001349,0.7681746144475207,0.0,0.0,0.7632351929856607,0.7730242538958534,Cnn1
ENSMUSG00000044086,0.7676741246311647,0.0,0.0,0.7627254703989229,0.7725328871021264,Lmod3
ENSMUSG00000007122,0.7667566036105234,0.0,0.0,0.7617910394044364,0.7716320757149302,Casq1
ENSMUSG00000059741,0.7626280218344657,0.0,0.0,0.7575866232417585,0.7675784404967476,Myl3
ENSMUSG00000026208,0.761284679547387,0.0,0.0,0.7562186964450637,0.7662593986421833,Des
ENSMUSG00000026414,0.7578861405991215,0.0,0.0,0.7527581585514753,0.7629221504343101,Tnnt2
ENSMUSG00000041616,0.7439791505432972,0.0,0.0,0.7386004178454557,0.7492631683268783,Nppa
ENSMUSG00000031880,0.7411820995016981,0.0,0.0,0.7357535074105407,0.7465154549339335,Rrad
ENSMUSG00000050503,0.7323429449694853,0.0,0.0,0.7267580497099622,0.7378310198032271,Fbxl22
ENSMUSG00000039376,0.728599989882177,0.0,0.0,0.7229494850284056,0.734153033232388,Synpo2l
ENSMUSG00000040666,0.7269709112816619,0.0,0.0,0.7212919578498672,0.7325521296477487,Sh3bgr
ENSMUSG00000017817,0.7237154240407077,0.0,0.0,0.717979814936201,0.7293527612847696,Jph2
ENSMUSG00000067818,0.719088739776105,0.0,0.0,0.7132730587063207,0.724805408657398,Myl9
ENSMUSG00000031698,0.7124892282565369,0.0,0.0,0.7065602399790566,0.7183181938706157,Mylk3
ENSMUSG00000019528,0.7118346362532251,0.0,0.0,0.7058944674288168,0.7176746850893858,Gyg
ENSMUSG00000026430,0.7097907729032594,0.0,0.0,0.7038157620792806,0.715665363213148,Rassf5
ENSMUSG00000040694,0.7070864836148517,0.0,0.0,0.701065529675477,0.7130066272001941,Apobec2
ENSMUSG00000028834,0.7046144326500619,0.0,0.0,0.6985516377819818,0.710576068543261,Trim63
ENSMUSG00000020475,0.7027469956258804,0.0,0.0,0.6966526925036708,0.7087398813037297,Pgam2
ENSMUSG00000021203,0.6932013754326245,0.0,0.0,0.6869473479652061,0.6993527295101579,Otub2
ENSMUSG00000001155,0.6903213084471568,0.0,0.0,0.6840195276171719,0.6965200582364688,Ftcd
ENSMUSG00000053093,0.6902321720232663,0.0,0.0,0.6839289164931183,0.6964323856001476,Myh7
ENSMUSG00000021200,0.6847234595798516,0.0,0.0,0.6783294435879377,0.6910137773692482,Asb2
ENSMUSG00000039103,0.683750704767344,0.0,0.0,0.6773407390061831,0.6900568601433026,Nexn
ENSMUSG00000026564,0.6784476319225664,0.0,0.0,0.6719511215311663,0.6848397397774184,Dusp27
ENSMUSG00000022358,0.6750910713480848,0.0,0.0,0.6685401384211913,0.6815372438228416,Fbxo32
ENSMUSG00000038403,0.6724893278388844,0.0,0.0,0.6658964004247143,0.6789772263278396,Hfe2
ENSMUSG00000021798,0.6579264503932657,0.0,0.0,0.6511015216710219,0.6646449903879629,Ldb3
ENSMUSG00000006356,0.6530191349347121,0.0,0.0,0.6461171957964048,0.659814281161042,Crip2
ENSMUSG00000002100,0.6488170626574056,0.0,0.0,0.6418496482942986,0.6556773593994392,Mybpc3
ENSMUSG00000067279,0.6464820067246572,0.0,0.0,0.6394783948660498,0.6533783290037125,Ppp1r3c
ENSMUSG00000024803,0.6459433546180802,0.0,0.0,0.6389314116134047,0.652847969232484,Ankrd1
ENSMUSG00000022803,0.6458865608680411,0.0,0.0,0.6388737398672505,0.6527920494051718,Popdc2
ENSMUSG00000055027,0.6454502670957241,0.0,0.0,0.6384307038926218,0.6523624666619275,Smyd1
