,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000071014,0.75601506084042,0.0,0.0,0.7508530659775164,0.7610846999823344,Ndufb6
ENSMUSG00000024387,0.7442782832813334,0.0,0.0,0.738904894190095,0.7495570138454579,Csnk2b
ENSMUSG00000021807,0.7395111231695548,0.0,0.0,0.7340528362928523,0.7448738664296959,2700060E02Rik
ENSMUSG00000062397,0.7250694286737124,0.0,0.0,0.7193573519420857,0.7306834552083944,Zfp706
ENSMUSG00000048076,0.7243950530315153,0.0,0.0,0.7186712501487269,0.7300206950316179,Arf1
ENSMUSG00000031633,0.7070059889020266,0.0,0.0,0.7009836701846396,0.7129274857973225,Slc25a4
ENSMUSG00000029610,0.6944119091571704,0.0,0.0,0.6881780137225083,0.7005432844615977,Aimp2
ENSMUSG00000033307,0.6824388043301995,0.0,0.0,0.6760073646716046,0.6887662840617399,Mif
ENSMUSG00000006589,0.6816881037041445,0.0,0.0,0.6752443951147674,0.6880277676991849,Aprt
ENSMUSG00000022956,0.6749401611044301,0.0,0.0,0.6683867878264205,0.6813887581446365,Atp5o
ENSMUSG00000063888,0.6730230659717242,0.0,0.0,0.6664387400727428,0.6795024173858422,Rpl7l1
ENSMUSG00000053398,0.6720980487370545,0.0,0.0,0.6654988200483402,0.6785922087989885,Phgdh
ENSMUSG00000020321,0.6682917839710247,0.0,0.0,0.6616314534561656,0.6748466688218363,Mdh1
ENSMUSG00000020476,0.6638258835320451,0.0,0.0,0.6570943138244607,0.6704515863078055,Dbnl
ENSMUSG00000024847,0.6631504673504557,0.0,0.0,0.6564081659906637,0.6697868400420358,Aip
ENSMUSG00000006095,0.6619338903870564,0.0,0.0,0.6551722870408504,0.6685894551691826,Tbcb
ENSMUSG00000000088,0.6588188791877313,0.0,0.0,0.6520080185999342,0.6655234274585806,Cox5a
ENSMUSG00000021576,0.6536779938791333,0.0,0.0,0.6467863599908678,0.6604628875534866,Pdcd6
ENSMUSG00000004610,0.6520223147883087,0.0,0.0,0.6451048045001271,0.6588329533567326,Etfb
