,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000026295,0.6114820104938861,0.0,0.0,0.6039517969309031,0.618903067421013,Spp2
ENSMUSG00000024990,0.5698714031999619,0.0,0.0,0.5617540246549928,0.5778790667266901,Rbp4
ENSMUSG00000032083,0.5560390132177613,0.0,0.0,0.5477357944068323,0.5642327112787299,Apoa1
ENSMUSG00000061808,0.551086418256492,0.0,0.0,0.5427177937477632,0.559345636053814,Ttr
ENSMUSG00000032080,0.538714432179543,0.0,0.0,0.5301850286056468,0.5471348144961719,Apoa4
ENSMUSG00000002985,0.5386485136329607,0.0,0.0,0.5301182634008565,0.547069745042174,Apoe
ENSMUSG00000027463,0.5377219353195745,0.0,0.0,0.5291797953028683,0.5461550911554468,Slc52a3
ENSMUSG00000005681,0.5325317996564712,0.0,0.0,0.5239234465621431,0.5410313771763053,Apoa2
ENSMUSG00000024650,0.53134350720199,0.0,0.0,0.5227200867193464,0.5398582033319378,Slc22a6
ENSMUSG00000032359,0.526661344322756,0.0,0.0,0.5179788890853771,0.5352352894980623,Ctsh
ENSMUSG00000039878,0.5193766757297626,0.0,0.0,0.5106034327325365,0.5280417812693188,Slc39a5
ENSMUSG00000040564,0.5182685627915503,0.0,0.0,0.5094816226683272,0.5269474262838589,Apoc1
ENSMUSG00000054932,0.5165094366888615,0.0,0.0,0.5077008137613657,0.5252100817826276,Afp
ENSMUSG00000028307,0.515824563632836,0.0,0.0,0.5070075193882001,0.524533669247994,Aldob
ENSMUSG00000024391,0.5147521854469483,0.0,0.0,0.5059219779721686,0.523474516509676,Apom
ENSMUSG00000020258,0.5116623758914388,0.0,0.0,0.5027943980027237,0.5204226622878478,Glyctk
ENSMUSG00000019278,0.5116311998288896,0.0,0.0,0.5027628420212626,0.5203918680527098,Dpep1
ENSMUSG00000090231,0.5095366792828463,0.0,0.0,0.5006428512856033,0.5183229478618712,Cfb
ENSMUSG00000046312,0.5095035498850221,0.0,0.0,0.5006093198783755,0.5182902225630629,AI464131
ENSMUSG00000006179,0.5082404201442561,0.0,0.0,0.4993308825692885,0.5170424807745454,Prss16
ENSMUSG00000033860,0.5074854798652446,0.0,0.0,0.49856681187180335,0.5162967196199154,Fgg
ENSMUSG00000027690,0.5067395402454653,0.0,0.0,0.4978118643006985,0.5155598365626347,Slc2a2
ENSMUSG00000021278,0.5067244703139301,0.0,0.0,0.49779661252440793,0.5155449494629006,Amn
ENSMUSG00000021477,0.5054494921373496,0.0,0.0,0.496506269529391,0.5142854203251513,Ctsl
ENSMUSG00000029843,0.49914589400708953,0.0,0.0,0.4901272871738461,0.5080576433968093,Slc13a4
ENSMUSG00000057137,0.49882408187669514,0.0,0.0,0.4898016524335197,0.5077396770988221,Tmem140
ENSMUSG00000020429,0.4977164445664667,0.0,0.0,0.48868087741849225,0.5066452580974166,Igfbp1
ENSMUSG00000058135,0.49382759060803816,0.0,0.0,0.48474613383483006,0.5028025850166589,Gstm1
ENSMUSG00000001249,0.4928171983679136,0.0,0.0,0.48372387882198464,0.5018041333165858,Hpn
ENSMUSG00000026956,0.49230505263763247,0.0,0.0,0.48320572958664554,0.5012980308387054,Uap1l1
ENSMUSG00000002847,0.49229285867316713,0.0,0.0,0.4831933927590571,0.501285980686423,Pla1a
ENSMUSG00000072115,0.48890724109189515,0.0,0.0,0.47976824943515656,0.49794015718402485,Ang
ENSMUSG00000021953,0.48830416337408217,0.0,0.0,0.4791581602503776,0.4973441397395158,Tdh
ENSMUSG00000016256,0.48745066449666435,0.0,0.0,0.4782947535776941,0.4965006182490982,Ctsz
ENSMUSG00000028001,0.4864614444552179,0.0,0.0,0.47729407237458876,0.4955229407872427,Fga
ENSMUSG00000021190,0.48590845665933313,0.0,0.0,0.4767346879899343,0.49497639544882416,Lgmn
ENSMUSG00000037366,0.4855926354063087,0.0,0.0,0.4764152168635811,0.494664250379617,Pafah2
ENSMUSG00000021591,0.485342412769596,0.0,0.0,0.47616210418220545,0.4944169386919833,Glrx
ENSMUSG00000063796,0.48399889876123386,0.0,0.0,0.4748030987415555,0.4930890292456241,Slc22a8
ENSMUSG00000063354,0.4836054262233762,0.0,0.0,0.47440509755790866,0.4927001187687616,Slc39a4
ENSMUSG00000031788,0.4834601362373224,0.0,0.0,0.4742581363173389,0.49255651240819254,Kifc3
ENSMUSG00000032114,0.4833484226269458,0.0,0.0,0.4741451380265035,0.4924460930021967,Slc37a4
ENSMUSG00000028158,0.477605157510726,0.0,0.0,0.4683362351352838,0.4867689691390457,Mttp
ENSMUSG00000072941,0.47707765094111415,0.0,0.0,0.467802740051732,0.4862474986829087,Sod3
ENSMUSG00000076441,0.47699803210285824,0.0,0.0,0.46772221792831475,0.48616879033394705,Ass1
ENSMUSG00000007038,0.4762033172622087,0.0,0.0,0.46691849539181335,0.4853831553804849,Neu1
ENSMUSG00000029175,0.4752239975696614,0.0,0.0,0.465928096697589,0.4844150043578397,Slc35f6
ENSMUSG00000096145,0.4740659042085435,0.0,0.0,0.46475693193471285,0.4832700894415134,Vkorc1
ENSMUSG00000034427,0.4738379816061446,0.0,0.0,0.4645264406055421,0.4830447567610351,Myo15b
ENSMUSG00000034918,0.4737307952127148,0.0,0.0,0.46441804663925623,0.4829387879225764,Cdhr2
ENSMUSG00000025497,0.4723151197525599,0.0,0.0,0.4629864482126299,0.48153916814142583,Cdhr5
ENSMUSG00000017950,0.470271331857118,0.0,0.0,0.46091975843566885,0.47951847657738556,Hnf4a
ENSMUSG00000038528,0.47022525974144586,0.0,0.0,0.4608731712230667,0.4794729239808145,Mfsd4b5
ENSMUSG00000038298,0.46996684555107665,0.0,0.0,0.460611868857475,0.47921742280085167,Pdzk1
ENSMUSG00000020733,0.4679267133784,0.0,0.0,0.45854899200880306,0.4772002332558754,Slc9a3r1
ENSMUSG00000059481,0.4678145303499143,0.0,0.0,0.4584355612247502,0.4770893089647136,Plg
ENSMUSG00000001663,0.46749674769583,0.0,0.0,0.4581142456923425,0.4767750903518118,Gstt1
ENSMUSG00000050747,0.4665106009955723,0.0,0.0,0.45711715133470365,0.47579998852776983,Trim15
ENSMUSG00000059994,0.46650575666058686,0.0,0.0,0.4571122532788591,0.47579519839313694,Fcrl1
ENSMUSG00000035041,0.46635866961735073,0.0,0.0,0.45696353539709583,0.475649756756054,Creb3l3
ENSMUSG00000053644,0.46548830074556186,0.0,0.0,0.4560835269959323,0.47478911396875567,Aldh7a1
ENSMUSG00000024197,0.4654313944574704,0.0,0.0,0.4560259910985698,0.4747328429700853,Plin3
ENSMUSG00000003546,0.4650429532071217,0.0,0.0,0.4556332542471523,0.47434873616225076,Klc4
ENSMUSG00000027227,0.46498212308384973,0.0,0.0,0.4555717517620309,0.4742885844942935,Sord
ENSMUSG00000034456,0.4647063338656524,0.0,0.0,0.4552929153430746,0.4740158701400826,Uroc1
ENSMUSG00000035504,0.4643777733757761,0.0,0.0,0.45496072699191337,0.4736909705468955,Reep6
ENSMUSG00000060807,0.4639880040283333,0.0,0.0,0.4545666573329008,0.4733055408119225,Serpina6
ENSMUSG00000029446,0.4637803034436782,0.0,0.0,0.45435666670129005,0.473100151266169,Psph
ENSMUSG00000031827,0.4636462783256394,0.0,0.0,0.45422116441675353,0.47296761687848743,Cotl1
ENSMUSG00000052396,0.4634990832823848,0.0,0.0,0.45407234755627607,0.47282205856557713,Mogat2
ENSMUSG00000006519,0.46238885649348377,0.0,0.0,0.45294990506600163,0.47172416051412935,Cyba
ENSMUSG00000027249,0.4623511917311333,0.0,0.0,0.4529118264072616,0.47168691350006137,F2
ENSMUSG00000032554,0.46097557804044137,0.0,0.0,0.45152111975617554,0.4703265342188174,Trf
ENSMUSG00000001313,0.4608207579352341,0.0,0.0,0.45136460387134575,0.4701734259062877,Rnd2
ENSMUSG00000021876,0.46036510195381175,0.0,0.0,0.4509039603630471,0.4697228046898846,Rnase4
ENSMUSG00000030800,0.45919707631199386,0.0,0.0,0.4497231727440324,0.4685676628615659,Prss8
ENSMUSG00000044367,0.458415159157804,0.0,0.0,0.44893273078098983,0.4677943526766854,Slc16a13
ENSMUSG00000025533,0.4573094177977293,0.0,0.0,0.44781495946743505,0.466700758274757,Asl
ENSMUSG00000030538,0.456650390421317,0.0,0.0,0.44714877629273597,0.4660489568870397,Cib1
ENSMUSG00000057228,0.45662054780765593,0.0,0.0,0.44711860989387175,0.4660194412450336,Aadat
ENSMUSG00000021939,0.456497852756857,0.0,0.0,0.44699458385830787,0.4658980902871006,Ctsb
ENSMUSG00000047123,0.4557435928337101,0.0,0.0,0.4462321498188287,0.465152085319627,Ticam1
ENSMUSG00000071178,0.45537113408653324,0.0,0.0,0.4458556597291832,0.4647836979975654,Serpina1b
ENSMUSG00000023262,0.45473689224951547,0.0,0.0,0.44521456086355793,0.4641563816925653,Acy1
ENSMUSG00000028435,0.4546944307664112,0.0,0.0,0.4451716406619562,0.46411438352533313,Aqp3
ENSMUSG00000029119,0.4520308711067581,0.0,0.0,0.4424793935800649,0.46147980247351317,Man2b2
ENSMUSG00000026879,0.45100036061969057,0.0,0.0,0.441437830342269,0.4604604588681348,Gsn
ENSMUSG00000033831,0.4501725901859273,0.0,0.0,0.44060120031136973,0.45964164030206134,Fgb
ENSMUSG00000025075,0.4494280488635967,0.0,0.0,0.439848704392953,0.4589051370196795,Habp2
ENSMUSG00000028943,0.4486451264739958,0.0,0.0,0.43905743185685636,0.45813065298163264,Espn
ENSMUSG00000023906,0.44781837774988265,0.0,0.0,0.4382218817076365,0.45731279933584756,Cldn6
ENSMUSG00000067235,0.4473922701928668,0.0,0.0,0.4377912443590615,0.4568912700439354,H2-Q10
ENSMUSG00000006342,0.44734574708242963,0.0,0.0,0.4377442269454205,0.456845246537538,Susd2
ENSMUSG00000030492,0.4471699752698524,0.0,0.0,0.43756658804964194,0.45667136185052287,Slc7a9
ENSMUSG00000034871,0.4468245005470785,0.0,0.0,0.43721744581009403,0.4563295941061013,Fam151a
ENSMUSG00000024164,0.44655795880819377,0.0,0.0,0.4369480764760976,0.4560659104701932,C3
ENSMUSG00000061322,0.44575444546578724,0.0,0.0,0.4361360495314524,0.4552710030269017,Dnaic1
ENSMUSG00000024644,0.44544710672795423,0.0,0.0,0.43582545853644195,0.45496695197942166,Cndp2
ENSMUSG00000015652,0.44516324729035917,0.0,0.0,0.43553859733520767,0.45468612709564193,Steap1
ENSMUSG00000035540,0.44510920465001075,0.0,0.0,0.4354839834249529,0.4546326619749185,Gc
ENSMUSG00000072949,0.4449686545650535,0.0,0.0,0.4353419479554166,0.4544936135387558,Acot1
ENSMUSG00000029103,0.4448940960794133,0.0,0.0,0.43526660170304243,0.45441985145373387,Lrpap1
ENSMUSG00000046352,0.44414527304907625,0.0,0.0,0.4345098742705921,0.45367901977382497,Gjb2
ENSMUSG00000026664,0.44394203896841794,0.0,0.0,0.4343044972451643,0.4534779523096471,Phyh
ENSMUSG00000026958,0.4429912940889738,0.0,0.0,0.433343740810836,0.45253733013954023,Dpp7
ENSMUSG00000030895,0.44277308755844513,0.0,0.0,0.43312323961092714,0.452321443886271,Hpx
ENSMUSG00000055368,0.44237184562482945,0.0,0.0,0.4327177812143515,0.4519244655979363,Slc6a2
ENSMUSG00000004626,0.44222118481557576,0.0,0.0,0.4325655381899737,0.45177540475158307,Stxbp2
ENSMUSG00000028885,0.4419230399298244,0.0,0.0,0.43226426385846417,0.45148042448352854,Smpdl3b
ENSMUSG00000064373,0.44084875698208714,0.0,0.0,0.4311787226974923,0.450417527038354,Selenop
ENSMUSG00000039886,0.44057003446176013,0.0,0.0,0.4308970838095473,0.4501417540531136,Tmem120a
ENSMUSG00000036820,0.4394223982666608,0.0,0.0,0.42973745936337077,0.44900624329210154,Amdhd2
ENSMUSG00000017009,0.4387027355876491,0.0,0.0,0.4290102953584627,0.44829416846927367,Sdc4
ENSMUSG00000027610,0.43855535486218533,0.0,0.0,0.4288613799757088,0.4481483401697259,Gss
ENSMUSG00000040813,0.43817444198725464,0.0,0.0,0.4284765031424904,0.4477714372524539,Tex264
ENSMUSG00000030838,0.4378491776730828,0.0,0.0,0.42814785676064143,0.44744959437124526,Ush1c
ENSMUSG00000027984,0.4378333703160633,0.0,0.0,0.4281318851055963,0.4474339532273646,Hadh
ENSMUSG00000029470,0.43707337722376305,0.0,0.0,0.4273639999703374,0.446681944474345,P2rx4
