,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000025786,0.7842206554910299,0.0,0.0,0.7795805018970838,0.7887747213067609,Zdhhc3
ENSMUSG00000032872,0.7647150785634593,0.0,0.0,0.7597119630467033,0.7696276601726402,Cyb5r4
ENSMUSG00000023944,0.7444129700333443,0.0,0.0,0.7390419876573902,0.7496893193081167,Hsp90ab1
ENSMUSG00000045969,0.7339962807315114,0.0,0.0,0.7284404758494626,0.739455553948107,Ing1
ENSMUSG00000029578,0.7319142166648165,0.0,0.0,0.7263217888885539,0.7374097496960536,Wipi2
ENSMUSG00000041781,0.7307166020599305,0.0,0.0,0.7251031567362003,0.7362329462534271,Cpsf2
ENSMUSG00000020472,0.7291127847892396,0.0,0.0,0.7234712483260344,0.7346569465438889,Zkscan17
ENSMUSG00000019849,0.7288276991877132,0.0,0.0,0.7231811759999123,0.7343767993732638,Prep
ENSMUSG00000025474,0.7278718149480489,0.0,0.0,0.7222085859458671,0.7334374597598633,Tubgcp2
ENSMUSG00000018415,0.7254034232333106,0.0,0.0,0.7196971581791137,0.7310116931181766,Gid4
ENSMUSG00000038848,0.725034822451144,0.0,0.0,0.7193221437097164,0.7306494453019563,Ythdf1
ENSMUSG00000026279,0.723959013784924,0.0,0.0,0.7182276349149627,0.7295921605048362,Thap4
ENSMUSG00000034667,0.7229296070404665,0.0,0.0,0.7171803611718425,0.728580453444141,Xpot
ENSMUSG00000044147,0.7218347452908064,0.0,0.0,0.7160665248436919,0.7275043897575446,Arf6
ENSMUSG00000013465,0.7211369510851272,0.0,0.0,0.7153566527925466,0.7268185616703229,Nelfb
ENSMUSG00000025239,0.711202417218208,0.0,0.0,0.7052514599450199,0.7170531610000972,Limd1
ENSMUSG00000043439,0.7105414139326094,0.0,0.0,0.7045791874934129,0.7164033296404,E130012A19Rik
ENSMUSG00000031969,0.7103493107453769,0.0,0.0,0.7043838112271179,0.7162144713715858,Acad8
ENSMUSG00000022568,0.709261159496341,0.0,0.0,0.7032771369767283,0.7151446844566098,Scrib
ENSMUSG00000043872,0.70816846766112,0.0,0.0,0.7021658740311634,0.7140704058481229,Zmym1
ENSMUSG00000021038,0.7065814293245678,0.0,0.0,0.7005519148771706,0.7125100615926494,Vipas39
ENSMUSG00000042426,0.7056486027582051,0.0,0.0,0.6996032936243564,0.7115928978632052,Dhx29
ENSMUSG00000015776,0.7047898090445747,0.0,0.0,0.6987299775940401,0.7107485060096028,Med22
ENSMUSG00000027193,0.7045545780114966,0.0,0.0,0.6984907719237912,0.7105172167747693,Api5
ENSMUSG00000018974,0.7033443328664473,0.0,0.0,0.6972600990030565,0.7093272315055362,Sart3
ENSMUSG00000020802,0.7031986242864222,0.0,0.0,0.6971119334212194,0.709183959831792,Ube2o
ENSMUSG00000028437,0.7029610400839739,0.0,0.0,0.6968703440849853,0.7089503480512624,Ubap1
ENSMUSG00000000168,0.7025193786846771,0.0,0.0,0.6964212409436742,0.708516067764044,Dlat
ENSMUSG00000036327,0.7014839940570105,0.0,0.0,0.6953684294008925,0.7074979688357886,Qsox2
ENSMUSG00000075600,0.7001421646091027,0.0,0.0,0.6940040542120796,0.7061785040309545,Zc3h3
ENSMUSG00000034951,0.6999995716953897,0.0,0.0,0.6938590680093017,0.7060382852883256,Cog7
ENSMUSG00000031652,0.6993457272604727,0.0,0.0,0.6931942557804305,0.7053953212956575,N4bp1
ENSMUSG00000024259,0.6989792983060131,0.0,0.0,0.6928216848072235,0.7050349856297871,Slc25a46
ENSMUSG00000050382,0.6974506337573277,0.0,0.0,0.6912674325113483,0.7035317072674608,Kif7
ENSMUSG00000097743,0.6973787588090599,0.0,0.0,0.6911943558832877,0.7034610245906516,Gm16973
ENSMUSG00000066900,0.6972699812203188,0.0,0.0,0.6910837598787567,0.703354051190583,Suds3
ENSMUSG00000019988,0.6970962390360166,0.0,0.0,0.6909071138778224,0.7031831901282937,Nedd1
ENSMUSG00000035666,0.6961426621242542,0.0,0.0,0.6899376126453236,0.7022454136195397,Gtf3c4
ENSMUSG00000012296,0.6953877424917018,0.0,0.0,0.6891701019700338,0.7015029876957,Tjap1
ENSMUSG00000021687,0.6952424429623254,0.0,0.0,0.6890223806412472,0.7013600913096624,Scamp1
ENSMUSG00000024968,0.6948234438753044,0.0,0.0,0.6885964007247575,0.7009480193943407,Rcor2
ENSMUSG00000001229,0.6945894411918295,0.0,0.0,0.6883585012567403,0.7007178836194347,Dpp9
ENSMUSG00000003269,0.6944372275409924,0.0,0.0,0.6882037535519503,0.7005681846238097,Cyth2
ENSMUSG00000028800,0.6942977896788985,0.0,0.0,0.6880619948250852,0.7004310498801032,Hdac1
ENSMUSG00000039148,0.6934899867705854,0.0,0.0,0.6872407558573768,0.6996365806756674,Sart1
ENSMUSG00000031575,0.6931185400029745,0.0,0.0,0.6868631362350144,0.6992712599572302,Ash2l
ENSMUSG00000034022,0.6931163081985874,0.0,0.0,0.6868608673517937,0.6992690649509441,Cpsf1
ENSMUSG00000043987,0.6930408779957489,0.0,0.0,0.6867841840355848,0.6991948783767908,Cep164
ENSMUSG00000035683,0.6929512547013572,0.0,0.0,0.6866930720206587,0.6991067325423614,Melk
ENSMUSG00000025153,0.6919287502392765,0.0,0.0,0.6856535967916083,0.6981010710500892,Fasn
ENSMUSG00000032712,0.6918576563951402,0.0,0.0,0.6855813239363799,0.6980311473774575,2810474O19Rik
ENSMUSG00000066415,0.6914444514124046,0.0,0.0,0.6851612688649172,0.6976247412252375,Msl2
ENSMUSG00000030316,0.6905914621984924,0.0,0.0,0.6842941520623688,0.6967857744250398,Tamm41
ENSMUSG00000029348,0.6889290197576666,0.0,0.0,0.6826042266830169,0.6951506124102591,Asphd2
ENSMUSG00000036822,0.6889057542133451,0.0,0.0,0.6825805770004978,0.6951277281931444,Topors
ENSMUSG00000020659,0.6888577996077578,0.0,0.0,0.682531830656573,0.6950805595339332,Cbll1
ENSMUSG00000034906,0.6886023714047947,0.0,0.0,0.6822721862407352,0.6948293167388614,Ncaph
ENSMUSG00000030678,0.6883662643181271,0.0,0.0,0.6820321832844236,0.6945970771153666,Maz
ENSMUSG00000031934,0.6875235370722782,0.0,0.0,0.6811755617978521,0.6937681432553763,Panx1
ENSMUSG00000037993,0.6870614544222767,0.0,0.0,0.680705868061319,0.6933136167460021,Dhx38
ENSMUSG00000003190,0.6863733222146543,0.0,0.0,0.680006411129818,0.692636727902086,Bcl2l12
ENSMUSG00000044224,0.6863315236657856,0.0,0.0,0.679963925067535,0.6925956119425679,Dnajc21
ENSMUSG00000026618,0.6861310973854107,0.0,0.0,0.6797602027175635,0.69239845814914,Iars2
ENSMUSG00000043391,0.6860080910711327,0.0,0.0,0.6796351740147878,0.6922774597734846,2510009E07Rik
ENSMUSG00000004099,0.685827202289325,0.0,0.0,0.6794513118518493,0.6920995231555835,Dnmt1
ENSMUSG00000063108,0.6858024364907869,0.0,0.0,0.6794261390248361,0.6920751614836212,Zfp26
ENSMUSG00000032264,0.6855445160711588,0.0,0.0,0.6791639805484134,0.6918214489420769,Zw10
ENSMUSG00000021810,0.6850259205236432,0.0,0.0,0.6786368685502583,0.691311309401571,Ecd
ENSMUSG00000030084,0.6821907704519578,0.0,0.0,0.675755275574191,0.6885222773555848,Plxna1
ENSMUSG00000036529,0.6820481600624957,0.0,0.0,0.6756103342639078,0.6883819817934085,Sbf1
ENSMUSG00000031834,0.6818385218588302,0.0,0.0,0.6753972704948551,0.6881757455406086,Pik3r2
ENSMUSG00000033365,0.6817052447727285,0.0,0.0,0.6752618161712637,0.6880446307057664,Ipo13
ENSMUSG00000025871,0.6812365635374477,0.0,0.0,0.6747854819299711,0.6875835499405148,4833439L19Rik
ENSMUSG00000021245,0.681021712915021,0.0,0.0,0.6745671248495838,0.6873721817783411,Mlh3
ENSMUSG00000031796,0.6806397412555367,0.0,0.0,0.6741789220312325,0.6869963987462463,Cfap20
ENSMUSG00000005299,0.6802590212293009,0.0,0.0,0.6737919948165262,0.6866218436854268,Letm1
ENSMUSG00000041153,0.6800097275643301,0.0,0.0,0.6735386386354069,0.6863765849805445,Osgin2
ENSMUSG00000074886,0.6798470934419094,0.0,0.0,0.6733733550295448,0.6862165824035215,Grk6
ENSMUSG00000002496,0.6795192755885884,0.0,0.0,0.6730401986403572,0.6858940670222555,Tsc2
ENSMUSG00000015357,0.6784504594741382,0.0,0.0,0.6719539950442299,0.6848425216745083,Clpx
ENSMUSG00000029246,0.677894695252616,0.0,0.0,0.671389200704963,0.6842957274052531,Ppat
ENSMUSG00000037720,0.677749415108187,0.0,0.0,0.6712415612787447,0.6841527908740612,Tmem33
ENSMUSG00000022075,0.6770484731726364,0.0,0.0,0.6705292436287099,0.6834631493997579,Rhobtb2
ENSMUSG00000023921,0.6770236310621877,0.0,0.0,0.6705039985716678,0.6834387075792951,Mut
ENSMUSG00000042148,0.6769317986680241,0.0,0.0,0.6704106767591775,0.6833483547891351,Cox10
ENSMUSG00000020288,0.6763218161824143,0.0,0.0,0.6697908062789684,0.6827481953558192,Ahsa2
ENSMUSG00000038446,0.6760662048540572,0.0,0.0,0.6695310541225384,0.6824966977696789,Cdc40
ENSMUSG00000025591,0.675746613872827,0.0,0.0,0.6692062881102835,0.6821822480603171,Tma16
ENSMUSG00000057101,0.6749883540339503,0.0,0.0,0.6684357600173696,0.6814361768509954,Zfp180
ENSMUSG00000033628,0.6746555284970446,0.0,0.0,0.6680975539762024,0.6811086970782217,Pik3c3
ENSMUSG00000001518,0.6745735706947938,0.0,0.0,0.66801427164843,0.6810280552664069,Itfg2
ENSMUSG00000059820,0.674369958794442,0.0,0.0,0.6678073698737197,0.6808277120698185,AU019823
ENSMUSG00000033712,0.6742468214381478,0.0,0.0,0.6676822434085845,0.6807065510423403,Ccar2
ENSMUSG00000022466,0.6740276107486685,0.0,0.0,0.6674594926001017,0.6804908577639808,Rpap3
ENSMUSG00000028657,0.6739952067551646,0.0,0.0,0.6674265654015781,0.6804589736234907,Ppt1
ENSMUSG00000030059,0.6730471630568111,0.0,0.0,0.6664632256614386,0.6795261284329172,Tmf1
ENSMUSG00000020657,0.6729589427286918,0.0,0.0,0.66637358307629,0.6794393213384413,Dnajc27
ENSMUSG00000001627,0.6728818423741586,0.0,0.0,0.6662952398929125,0.6793634559340813,Ifrd1
ENSMUSG00000021650,0.6722464289712643,0.0,0.0,0.6656495894010025,0.6787382149495842,Ptcd2
ENSMUSG00000027122,0.6720397702135675,0.0,0.0,0.6654396033106699,0.6785348625914548,Arl14ep
ENSMUSG00000042570,0.671867031064809,0.0,0.0,0.6652640837572744,0.6783648863877556,Mier2
ENSMUSG00000022538,0.6714359078557193,0.0,0.0,0.6648260243846348,0.6779406559161144,Lsg1
ENSMUSG00000038582,0.6713740847684457,0.0,0.0,0.6647632070239063,0.6778798208924972,Pptc7
ENSMUSG00000033813,0.6708878376370104,0.0,0.0,0.6642691430533845,0.677401341912236,Tcea1
ENSMUSG00000036030,0.6707569224940272,0.0,0.0,0.6641361243254432,0.6772725172920548,Prtg
ENSMUSG00000053730,0.6705208258394587,0.0,0.0,0.6638962350565707,0.6770401897447842,Tmem39b
ENSMUSG00000034321,0.6698824017784221,0.0,0.0,0.6632475622936761,0.6764119511409553,Exosc1
ENSMUSG00000051469,0.6695981601476718,0.0,0.0,0.6629587609034052,0.6761322412620003,Zfp24
ENSMUSG00000029249,0.669389597728338,0.0,0.0,0.6627468540154374,0.6759270028194904,Rest
ENSMUSG00000028952,0.6689601666502243,0.0,0.0,0.6623105400098086,0.6755044126330069,Zbtb48
ENSMUSG00000022283,0.6688000721087627,0.0,0.0,0.6621478806248577,0.6753468673178114,Pabpc1
ENSMUSG00000031590,0.6680199574110235,0.0,0.0,0.66135527683054,0.6745791660359312,Frg1
ENSMUSG00000051768,0.6678808988330557,0.0,0.0,0.6612139935839456,0.6744423187092579,Xrcc1
ENSMUSG00000049439,0.6676260773317543,0.0,0.0,0.6609550966581829,0.6741915481028163,Cyp20a1
ENSMUSG00000040097,0.667568015350543,0.0,0.0,0.660896106299221,0.6741344089205745,Flywch1
ENSMUSG00000049354,0.6675423026169228,0.0,0.0,0.66086998246009,0.6741091048231336,Dcaf7
ENSMUSG00000060733,0.6673534893686568,0.0,0.0,0.6606781508850812,0.6739232917919881,Ipmk
ENSMUSG00000056153,0.667298728032238,0.0,0.0,0.6606225143091751,0.6738694004503536,Socs6
ENSMUSG00000027663,0.6672813607372352,0.0,0.0,0.6606048694514873,0.6738523090554185,Zmat3
ENSMUSG00000024831,0.6672733448077182,0.0,0.0,0.66059672541453,0.6738444204660717,Ighmbp2
ENSMUSG00000043733,0.6667936953332161,0.0,0.0,0.6601094132304913,0.6733723879234136,Ptpn11
ENSMUSG00000039656,0.6661542963062564,0.0,0.0,0.6594598081409633,0.672743134342921,Rxrb
ENSMUSG00000034032,0.6658601696345902,0.0,0.0,0.6591609899880477,0.672453671425285,Rpap1
ENSMUSG00000038909,0.6654639683314271,0.0,0.0,0.6587584724016802,0.6720637492113396,Kat7
ENSMUSG00000021072,0.6645985812787968,0.0,0.0,0.6578793026057491,0.6712120642838223,Tmx1
ENSMUSG00000021494,0.6642705721881615,0.0,0.0,0.6575460742051226,0.6708892441689221,Ddx41
ENSMUSG00000000782,0.6640099027577496,0.0,0.0,0.6572812588555752,0.67063269663815,Tcf7
ENSMUSG00000035764,0.6639180610301751,0.0,0.0,0.6571879567910754,0.6705423068030957,Fbxo45
ENSMUSG00000071359,0.6636553207971441,0.0,0.0,0.6569210399744467,0.6702837190488641,Tbpl1
ENSMUSG00000053841,0.6635904029664114,0.0,0.0,0.6568550904539149,0.6702198269641956,Txlna
ENSMUSG00000026510,0.6634322858920026,0.0,0.0,0.6566944609760458,0.6700642078364092,Trp53bp2
ENSMUSG00000038957,0.6632518461884476,0.0,0.0,0.6565111549201837,0.6698866180220043,Edc3
ENSMUSG00000039737,0.6630384306607134,0.0,0.0,0.6562943502344738,0.6696765722280907,Prkrip1
