,Pharyngeal Mesoderm/Neural Crest_1_corr,Pharyngeal Mesoderm/Neural Crest_1_pval,Pharyngeal Mesoderm/Neural Crest_1_qval,Pharyngeal Mesoderm/Neural Crest_1_ci_low,Pharyngeal Mesoderm/Neural Crest_1_ci_high,gene_annotation
ENSMUSG00000039001,0.23012202158113312,0.0,0.0,0.21878358069223466,0.24139832718949242,Rps21
ENSMUSG00000049751,0.2223869631527973,1.1112276697947716e-301,5.5561383489738574e-298,0.21100767028124054,0.23370598739114928,Rpl36al
ENSMUSG00000049960,0.20413499035240806,3.5793953934454845e-253,1.1931317978151616e-249,0.19266500833185576,0.2155491971475464,Mrps16
ENSMUSG00000030432,0.20386027038717666,1.771875278082115e-252,4.4296881952052876e-249,0.1923889845760913,0.21527584952010426,Rpl28
ENSMUSG00000041841,0.20218952129282042,2.8214406219449567e-248,5.642881243889914e-245,0.19071034537832346,0.21361340797457826,Rpl37
ENSMUSG00000014294,0.2007482491872888,1.1078615715497197e-244,1.8464359525828665e-241,0.1892623208075172,0.21217924921957604,Ndufa2
ENSMUSG00000090733,0.20047649191620667,5.235423705317239e-244,7.47917672188177e-241,0.18898929593137642,0.2119088276799016,Rps27
ENSMUSG00000025362,0.19815358538961794,2.7719280493822636e-238,3.4649100617278296e-235,0.18665562673361755,0.2095972671796402,Rps26
ENSMUSG00000024925,0.19736648366203638,2.3201261486503817e-236,2.5779179429448685e-233,0.18586490757663576,0.20881398096344964,Rnaseh2c
ENSMUSG00000059534,0.19697558815821672,2.0760813698454433e-235,2.076081369845443e-232,0.18547222109798905,0.20842497488498019,Uqcr10
ENSMUSG00000045128,0.18946418113994656,1.5922094469388072e-217,1.4474631335807338e-214,0.17792711245787823,0.20094917118210195,Rpl18a
ENSMUSG00000059278,0.18843813844623192,3.8523582203436783e-215,3.2102985169530653e-212,0.17689657148636465,0.19992788796916072,Naa38
ENSMUSG00000057863,0.18706261687584075,5.742790288797851e-212,4.4175309913829625e-209,0.17551505918923543,0.19855870782846777,Rpl36
ENSMUSG00000070493,0.18421583830782662,1.7621496656002713e-205,1.2586783325716224e-202,0.1726560266726972,0.19572491094148803,Chchd2
ENSMUSG00000035242,0.1825419978779865,1.022173268692092e-201,6.388582929325575e-199,0.17097507213377905,0.19405861370535993,Oaz1
ENSMUSG00000069310,0.18068443436124237,1.3876980805137587e-197,7.709433780631993e-195,0.16910969247745136,0.1922093435334879,Hist1h3c
ENSMUSG00000034892,0.1729091752325515,8.782611334897581e-181,4.622427018367148e-178,0.16130261696575932,0.18446790968731006,Rps29
ENSMUSG00000015943,0.171683290165165,3.309096293236142e-178,1.654548146618071e-175,0.16007184812943961,0.1832472267739902,Bola1
ENSMUSG00000062997,0.16244057202236484,2.0352256454779495e-159,9.691550692752141e-157,0.1507934702910608,0.17404258281785026,Rpl35
ENSMUSG00000033751,0.16132023196911952,3.2390546282784836e-157,1.408284620990645e-154,0.1496689472330906,0.1729267200774495,Gadd45gip1
ENSMUSG00000002043,0.1610144750810426,1.283791663976236e-156,5.1351666559049445e-154,0.14936205397857533,0.1726221799369811,Trappc6a
