,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000064326,0.44891278275975033,0.0,0.0,0.43932794111918677,0.45839542608334355,Siva1
ENSMUSG00000044468,0.38709165701296416,0.0,0.0,0.37689398862901374,0.39719549782142566,Fam46c
ENSMUSG00000020481,0.3823127290879388,0.0,0.0,0.3720715430153185,0.3924608452107097,Ankrd36
ENSMUSG00000050668,0.37817917935039674,0.0,0.0,0.36790079838110157,0.388365157733286,Gpatch11
ENSMUSG00000037204,0.37521921809186165,0.0,0.0,0.3649144566035693,0.38543206167894073,Atg101
ENSMUSG00000042436,0.3721035877710997,0.0,0.0,0.36177128740977804,0.38234448648048225,Mfap4
ENSMUSG00000097312,0.3707468662166184,0.0,0.0,0.36040264728474186,0.380999910234727,Gm26870
ENSMUSG00000024273,0.36658944683822753,0.0,0.0,0.3562089830046497,0.3768794378054193,2700062C07Rik
ENSMUSG00000074342,0.3654977771848085,0.0,0.0,0.35510786535464045,0.3757974022962347,I830077J02Rik
ENSMUSG00000109508,0.3639944299825831,0.0,0.0,0.3535915544260335,0.3743072763848639,Gm44956
ENSMUSG00000003070,0.36325030315978857,0.0,0.0,0.3528410310454479,0.3735696741301205,Efna2
ENSMUSG00000030591,0.3614048452978964,0.0,0.0,0.35097976731826974,0.3717403410861557,Psmd8
ENSMUSG00000024146,0.35904265313853484,0.0,0.0,0.3485974638014125,0.36939867161540596,Cript
ENSMUSG00000107053,0.3573240328499468,0.0,0.0,0.3468642962430944,0.3676949000166751,1700021F13Rik
ENSMUSG00000022676,0.35728365747844015,0.0,0.0,0.34682357997285046,0.36765487264687585,Snai2
ENSMUSG00000039824,0.3572034673303758,0.0,0.0,0.3467427128774531,0.36757537355641723,Myl6b
ENSMUSG00000030672,0.3571089137817978,0.0,0.0,0.34664736132871093,0.3674816346507103,Mylpf
ENSMUSG00000019874,0.3556367978753358,0.0,0.0,0.3451628491461232,0.3660221748362202,Fabp7
ENSMUSG00000059278,0.354528701879527,0.0,0.0,0.3440454567544539,0.3649235716756432,Naa38
ENSMUSG00000026258,0.3511927011813039,0.0,0.0,0.3406816478513072,0.3616159750626701,3110079O15Rik
ENSMUSG00000046818,0.3436652617810885,0.0,0.0,0.33309244982784914,0.35415166330927456,Ddit4l
ENSMUSG00000108822,0.34230851425572245,0.0,0.0,0.3317247166039288,0.3528061517995835,Gm44787
ENSMUSG00000022440,0.34117870775906994,0.0,0.0,0.33058579592127707,0.3516856687585317,C1qtnf6
ENSMUSG00000068391,0.3408692618136803,0.0,0.0,0.3302738590476486,0.3513787711888923,Chrac1
ENSMUSG00000035329,0.33884719627350957,0.0,0.0,0.3282355735815535,0.3493733023358304,Fbxo33
ENSMUSG00000031546,0.338684157359791,0.0,0.0,0.3280712311621401,0.349211597409449,Gins4
ENSMUSG00000074483,0.33718044493927213,0.0,0.0,0.32655552675793215,0.34772015883066554,Bglap
ENSMUSG00000006289,0.3360756636664392,0.0,0.0,0.32544196976644657,0.3466243611896566,Osgep
ENSMUSG00000029778,0.33450214019822316,0.0,0.0,0.32385599809406324,0.3450635832639915,Adcyap1r1
ENSMUSG00000032523,0.33410169838321174,0.0,0.0,0.3234523979190652,0.3446663757042226,Hhatl
ENSMUSG00000045539,0.3339329583083099,0.0,0.0,0.32328232811981533,0.34449899736222195,Sprr3
ENSMUSG00000099664,0.33389546084542643,0.0,0.0,0.32324453525867824,0.34446180241274993,Gm28511
ENSMUSG00000040289,0.3336066525348282,0.0,0.0,0.32295345290684846,0.34417532297177444,Hey1
ENSMUSG00000042111,0.33281877194602477,0.0,0.0,0.32215937889171026,0.3433937856252558,Ccdc115
ENSMUSG00000024012,0.3326131591178594,0.0,0.0,0.3219521522359024,0.3431898257803099,Mtch1
ENSMUSG00000023966,0.3322581950715558,0.0,0.0,0.3215944045281542,0.34283771304910365,Rsph9
ENSMUSG00000029627,0.3319127862203894,0.0,0.0,0.3212462898708739,0.3424950759052943,Zkscan14
ENSMUSG00000040385,0.33125042779766556,0.0,0.0,0.32057875083948845,0.34183802465333674,Ppp1ca
ENSMUSG00000015672,0.3300630717415556,0.0,0.0,0.31938213445986796,0.3406601564201974,Mrpl32
ENSMUSG00000024927,0.3292399539549583,0.0,0.0,0.31855261707596116,0.33984359640900247,Rela
ENSMUSG00000052253,0.32792746021152847,0.0,0.0,0.3172299527815383,0.3385415262266365,Zfp622
ENSMUSG00000025491,0.3269822197577489,0.0,0.0,0.3162774134111771,0.3376037675026573,Ifitm1
ENSMUSG00000012405,0.3267651922656114,0.0,0.0,0.3160587131324261,0.3373884548416952,Rpl15
ENSMUSG00000022544,0.3262225893601819,0.0,0.0,0.31551193297559393,0.33685013442084405,Eef2kmt
ENSMUSG00000100314,0.3260982282832635,0.0,0.0,0.31538661550151215,0.33672675388300355,1700010J16Rik
ENSMUSG00000030319,0.3260264818977617,0.0,0.0,0.31531431752135575,0.3366555730240326,Cand2
ENSMUSG00000091318,0.324458799865836,0.0,0.0,0.31373461400755476,0.33510021760557024,Gm5415
ENSMUSG00000024268,0.323785356862421,0.0,0.0,0.31305602505876867,0.33443205204478715,Celf4
ENSMUSG00000013921,0.3207460948851788,0.0,0.0,0.30999367560131263,0.33141647411462655,Clip3
ENSMUSG00000076437,0.3193447087396532,0.0,0.0,0.30858171910359017,0.3300259351048171,Selenoh
ENSMUSG00000057176,0.31889239528618507,0.0,0.0,0.3081260040725229,0.3295771127932257,Ccdc189
ENSMUSG00000015745,0.31859346933211063,0.0,0.0,0.30782483278771705,0.3292804914225833,Plekho1
ENSMUSG00000027805,0.31814110409841573,0.0,0.0,0.307369073794437,0.3288316097082891,Pfn2
ENSMUSG00000027239,0.3180646768813912,0.0,0.0,0.30729207368889966,0.3287557705557207,Mdk
ENSMUSG00000097434,0.3174770278717943,0.0,0.0,0.3067000244506204,0.3281726385687593,Gm16630
