,Blood_1_corr,Blood_1_pval,Blood_1_qval,Blood_1_ci_low,Blood_1_ci_high,gene_annotation
ENSMUSG00000052187,0.5895386161170955,0.0,0.0,0.5816934980751284,0.5972740651605961,Hbb-y
ENSMUSG00000069917,0.5032788941729488,0.0,0.0,0.4943096045107801,0.5121410360280516,Hba-a2
ENSMUSG00000069919,0.49126168732694797,0.0,0.0,0.48215015339754924,0.5002669580645593,Hba-a1
ENSMUSG00000055609,0.46785495101763613,0.0,0.0,0.4584764314360737,0.47712927613083606,Hba-x
ENSMUSG00000052305,0.4628328225477615,0.0,0.0,0.45339875243880706,0.4721631999310285,Hbb-bs
ENSMUSG00000073940,0.3798201021130689,0.0,0.0,0.36955643715037045,0.3899910982319819,Hbb-bt
ENSMUSG00000052217,0.36166000235017226,0.0,0.0,0.35123710481667453,0.37199327346754574,Hbb-bh1
ENSMUSG00000005131,0.15521180682554567,1.6968138141765026e-145,5.9985849914559375e-145,0.14353824526984452,0.16684218243753654,4930550C14Rik
ENSMUSG00000021550,0.13529534686520184,1.3307913279312837e-110,2.983344474376267e-110,0.12355537313313836,0.14699745303384942,2210016F16Rik
ENSMUSG00000063856,0.12320647580241151,7.339767037816688e-92,1.3661281200248302e-91,0.11143083302784038,0.1349475247888647,Gpx1
ENSMUSG00000036751,0.12293430603731753,1.8478931613370395e-91,3.4259210826207805e-91,0.11115790055322539,0.13467619180513635,Cox6b1
ENSMUSG00000016252,0.12001161428794449,3.2726520880734184e-87,5.826697176677199e-87,0.10822713041647114,0.1317623748373981,Atp5e
ENSMUSG00000030432,0.10545487312913754,1.2772772661498251e-67,1.9131107514952725e-67,0.0936332042715189,0.11724681045197871,Rpl28
ENSMUSG00000107047,0.09691827832320397,2.460027227280648e-57,3.397760378273767e-57,0.08507716534977519,0.10873201880626314,Gm43298
ENSMUSG00000006717,0.09655367809823502,6.464149731974271e-57,8.904662751469017e-57,0.08471177354293713,0.10836831119512681,Acot13
ENSMUSG00000038695,0.09621972537851411,1.5610007763454442e-56,2.143854732943634e-56,0.08437709857456668,0.10803517328275587,Josd2
ENSMUSG00000031897,0.0956682084586399,6.649486670382054e-56,9.08200916395306e-56,0.08382439472401172,0.10748499619274883,Psmb10
ENSMUSG00000007892,0.08991492551463426,1.4769971073145997e-49,1.917573527512456e-49,0.07805916450955226,0.10174525843819328,Rplp1
ENSMUSG00000049960,0.08390322993052092,2.37395918821238e-43,2.934077321368757e-43,0.07203583209224455,0.09574687481129196,Mrps16
ENSMUSG00000049760,0.08234102020795564,8.265371334831607e-42,1.0106145269561037e-41,0.07047074008383562,0.09418798353922891,2410015M20Rik
ENSMUSG00000024661,0.08073003469744576,2.996510142805741e-40,3.6188055595753343e-40,0.06885684350217636,0.09258035924249662,Fth1
ENSMUSG00000035745,0.07313903724230916,2.556861191433922e-33,2.9322273797041265e-33,0.06125296526109152,0.08500436835833666,Grin3b
ENSMUSG00000033307,0.07290796791853009,4.0544789014856855e-33,4.64298348830581e-33,0.06102152548275995,0.08477373431467214,Mif
ENSMUSG00000022899,0.07193351889893887,2.7883550576585463e-32,3.1710451329673736e-32,0.06004552826889246,0.08380110694007488,Slc15a2
ENSMUSG00000002416,0.07032599554795393,6.341387283215688e-31,7.1573456800216785e-31,0.058435500578401425,0.08219653928775844,Ndufb2
ENSMUSG00000006574,0.06413454170494441,5.524438143936266e-26,6.055989878551734e-26,0.05223497901712988,0.07601589443564258,Slc4a1
ENSMUSG00000028398,0.059116240927406825,2.5969066838412613e-22,2.787289744335329e-22,0.04721000177317162,0.07100568456604842,Tmem261
ENSMUSG00000034825,0.057635855647732215,2.761611826618205e-21,2.947447990224751e-21,0.04572776205107323,0.06952757148133663,Nrip3
ENSMUSG00000043866,0.05739350064110911,4.043846743569709e-21,4.312593399709994e-21,0.04548510844687201,0.06928558348360606,Taf10
ENSMUSG00000021361,0.05728295614960013,4.809666241271488e-21,5.1253005883549294e-21,0.04537442822382409,0.06917520592975172,Tmem14c
ENSMUSG00000018770,0.057266219346428365,4.937489433730746e-21,5.26128382348671e-21,0.045357670895929805,0.06915849437611646,Atp5g3
ENSMUSG00000021606,0.056709526319149106,1.1763179772238227e-20,1.2512871615960875e-20,0.04480029900198406,0.06860263738601027,Ndufs6
ENSMUSG00000061983,0.056569620788218936,1.4611801973022144e-20,1.553496566239292e-20,0.04466022402721795,0.06846294080302288,Rps12
ENSMUSG00000097526,0.0541643481595988,5.5972035558228855e-19,5.901509134353838e-19,0.04225211152794556,0.06606118749659762,Gm26847
ENSMUSG00000027078,0.05387956960872079,8.529842791209703e-19,8.985870600265193e-19,0.041967005906365644,0.06577681649781432,Ube2l6
ENSMUSG00000062006,0.053674336417838905,1.1540239524171682e-18,1.214730807277441e-18,0.041761538206208065,0.06557187582188756,Rpl34
ENSMUSG00000061787,0.052167607765111576,1.0253825262153708e-17,1.0745312127551232e-17,0.04025311874519242,0.06406726394618516,Rps17
ENSMUSG00000018287,0.052066424594808265,1.1847928960480013e-17,1.2409997945294594e-17,0.04015182397587637,0.06396622098781155,Spag7
ENSMUSG00000060126,0.05192517765004426,1.44893066201504e-17,1.5169564459423164e-17,0.04001042165368705,0.06382516936428291,Tpt1
