,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000018565,0.7764900222459719,0.0,0.0,0.7717048987625393,0.7811872354600495,Elp5
ENSMUSG00000022774,0.7756029371488761,0.0,0.0,0.7708012723201701,0.7803164876713878,Ncbp2
ENSMUSG00000015804,0.7717619501603277,0.0,0.0,0.7668888859377008,0.7765460286521367,Med28
ENSMUSG00000026127,0.7714967597489064,0.0,0.0,0.7666187793169723,0.7762856950049095,Imp4
ENSMUSG00000036748,0.7696965082978184,0.0,0.0,0.7647851996988709,0.774518370628604,Cuedc2
ENSMUSG00000028410,0.7653741208797732,0.0,0.0,0.760383116445064,0.7702747334333603,Dnaja1
ENSMUSG00000001445,0.7485133726141562,0.0,0.0,0.7432158732075599,0.7537170240643021,Mrpl10
ENSMUSG00000021807,0.745871672975023,0.0,0.0,0.7405267846377591,0.7511222050634757,2700060E02Rik
ENSMUSG00000006728,0.743902133342515,0.0,0.0,0.7385220251905307,0.7491875120807743,Cdk4
ENSMUSG00000035478,0.7432196467013443,0.0,0.0,0.7378273563412102,0.7485170794907531,Mbd3
ENSMUSG00000020849,0.7389567926866031,0.0,0.0,0.7334886699708963,0.7443292707362053,Ywhae
ENSMUSG00000028961,0.7383134805511651,0.0,0.0,0.7328339525837065,0.7436972470694083,Pgd
ENSMUSG00000019505,0.7295536920827819,0.0,0.0,0.7239198719039953,0.7350902124426628,Ubb
ENSMUSG00000045598,0.7286677887033669,0.0,0.0,0.7230184692293671,0.7342196581305387,Zfp553
ENSMUSG00000063524,0.7279981091216355,0.0,0.0,0.7223370860557145,0.73356156922856,Eno1
ENSMUSG00000010376,0.726467625713587,0.0,0.0,0.720779896563808,0.7320575359514166,Nedd8
ENSMUSG00000007656,0.7238697862463408,0.0,0.0,0.7181368576620182,0.7295044681260677,Arpp19
ENSMUSG00000008333,0.7220455227653247,0.0,0.0,0.7162809529289251,0.7277115504881114,Snrpb2
ENSMUSG00000020737,0.7206125675296037,0.0,0.0,0.7148232007402439,0.7263031630455139,Hn1
ENSMUSG00000040681,0.7203862365195718,0.0,0.0,0.7145929577264176,0.7260807080757865,Hmgn1
ENSMUSG00000062397,0.7192106630260136,0.0,0.0,0.7133970852987513,0.7249252477354619,Zfp706
ENSMUSG00000063229,0.717503356317357,0.0,0.0,0.7116603583772095,0.7232470944540879,Ldha
ENSMUSG00000029213,0.7130543063278386,0.0,0.0,0.7071349781247976,0.7188736963034094,Commd8
ENSMUSG00000038845,0.7127224140726635,0.0,0.0,0.7067974111855586,0.7185474290926169,Phb
ENSMUSG00000019837,0.712312204355751,0.0,0.0,0.7063801914433786,0.7181441682332748,Gtf3c6
ENSMUSG00000001305,0.7113133163406089,0.0,0.0,0.7053642507881428,0.7171621847681962,Rrp15
ENSMUSG00000022403,0.7063098182991391,0.0,0.0,0.7002757027152234,0.7122430132046365,St13
ENSMUSG00000040018,0.7048824398088487,0.0,0.0,0.6988241738879448,0.7108395841940746,Cox15
ENSMUSG00000033940,0.704817657493025,0.0,0.0,0.6987582966801382,0.7107758877125451,Brk1
ENSMUSG00000004945,0.7026380845383063,0.0,0.0,0.6965419464536816,0.7086327902338303,Tmem242
ENSMUSG00000109511,0.7020474127453943,0.0,0.0,0.6959413279275574,0.7080519843706632,Nup62
ENSMUSG00000029610,0.70138775705838,0.0,0.0,0.6952705739375221,0.7074033372415481,Aimp2
ENSMUSG00000040842,0.701270509954874,0.0,0.0,0.6951513553384961,0.7072880457369424,Szrd1
ENSMUSG00000044018,0.7005280113826353,0.0,0.0,0.6943963795600142,0.7065579240841747,Mrpl50
ENSMUSG00000015656,0.6968084348199568,0.0,0.0,0.6906145011107289,0.7029001569487975,Hspa8
ENSMUSG00000025580,0.6948017740026443,0.0,0.0,0.6885743699331444,0.7009267076712279,Eif4a3
ENSMUSG00000020265,0.6941111299159417,0.0,0.0,0.6878722289604065,0.7002474724986594,Sumo3
ENSMUSG00000040550,0.6939678848004928,0.0,0.0,0.6877266007607493,0.7001065922922826,Otud6b
ENSMUSG00000029466,0.6933220184600947,0.0,0.0,0.687069995762288,0.6994713829640128,Anapc7
ENSMUSG00000028138,0.693222993067696,0.0,0.0,0.6869693248022792,0.6993739906648798,Adh5
ENSMUSG00000021040,0.692415010096773,0.0,0.0,0.6861479240364544,0.6985793241407136,Slirp
ENSMUSG00000030357,0.6913524584965377,0.0,0.0,0.6850677514644983,0.6975342614096637,Fkbp4
ENSMUSG00000046691,0.6911362613230162,0.0,0.0,0.6848479723386803,0.6973216194731204,Chtf8
ENSMUSG00000029014,0.6907342128749934,0.0,0.0,0.6844392657985829,0.6969261795832914,Dnajc2
ENSMUSG00000047459,0.6891684509560144,0.0,0.0,0.6828476119077703,0.6953861185478405,Dynlrb1
ENSMUSG00000028851,0.6882710899996669,0.0,0.0,0.6819354389341354,0.6945034613967063,Nudc
ENSMUSG00000020775,0.6881566532588874,0.0,0.0,0.6818191146948015,0.694390898422836,Mrpl38
ENSMUSG00000035585,0.686814606371529,0.0,0.0,0.6804549562518873,0.693070803204278,Tsen34
ENSMUSG00000020402,0.6854670552580159,0.0,0.0,0.6790852472445561,0.6917452515713615,Vdac1
ENSMUSG00000041429,0.6848711919873179,0.0,0.0,0.678479600314408,0.6911591025918243,Nthl1
ENSMUSG00000025464,0.6847370418906658,0.0,0.0,0.6783432487649547,0.6910271383880787,Paox
ENSMUSG00000029265,0.6832441530969965,0.0,0.0,0.6768258908323367,0.6895585469968901,Dr1
ENSMUSG00000044155,0.6831575404856424,0.0,0.0,0.67673786027397,0.6894733424489592,Lsm8
ENSMUSG00000042487,0.6831364309438919,0.0,0.0,0.6767164051728202,0.6894525760590725,Leo1
ENSMUSG00000053801,0.6829783181760033,0.0,0.0,0.6765557044740772,0.689297033205892,Grwd1
ENSMUSG00000063412,0.6807472799131609,0.0,0.0,0.6742882146214705,0.6871021954281995,Gm10131
ENSMUSG00000019433,0.6777956853072146,0.0,0.0,0.6712885828281854,0.6841983147102887,Gipc1
ENSMUSG00000028495,0.6777166352634572,0.0,0.0,0.6712082491760225,0.6841205397553816,Rps6
ENSMUSG00000006941,0.6773043511832478,0.0,0.0,0.6707892729371794,0.6837149035176308,Eif1b
ENSMUSG00000025374,0.6764337979626757,0.0,0.0,0.6699046026345226,0.68285837445075,Nabp2
ENSMUSG00000036980,0.6756133211679293,0.0,0.0,0.6690708377790857,0.6820510989365898,Taf6
ENSMUSG00000022814,0.6755439874597152,0.0,0.0,0.6690003819289836,0.6819828800726501,Umps
ENSMUSG00000032788,0.6743230217580629,0.0,0.0,0.6677596745925356,0.6807815284047394,Pdxk
ENSMUSG00000071644,0.6741248384083672,0.0,0.0,0.6675582902821753,0.6805865254662118,Eef1g
ENSMUSG00000041346,0.6735527467376451,0.0,0.0,0.6669769638559213,0.6800236094852826,Wrap53
ENSMUSG00000068922,0.6735067847221584,0.0,0.0,0.6669302602648561,0.6799783843163861,Msto1
ENSMUSG00000020250,0.6731654019473912,0.0,0.0,0.6665833710562904,0.6796424729270356,Txnrd1
ENSMUSG00000032563,0.6723582931990433,0.0,0.0,0.6657632551471673,0.6788482890105193,Mrpl3
ENSMUSG00000074807,0.6712091630166269,0.0,0.0,0.6645956333655941,0.6777175345031379,Gm10762
ENSMUSG00000028896,0.671084988959938,0.0,0.0,0.664469463055652,0.6775953442638615,Rcc1
ENSMUSG00000041560,0.6709281849191623,0.0,0.0,0.6643101387326341,0.6774410448269353,Gltscr2
ENSMUSG00000030120,0.6704983205416425,0.0,0.0,0.6638733683088609,0.6770180436594558,Mlf2
ENSMUSG00000011752,0.6698804920337553,0.0,0.0,0.6632456219065923,0.6764100718502203,Pgam1
ENSMUSG00000020935,0.6693458282010621,0.0,0.0,0.6627023827431247,0.675883930743104,Dcakd
ENSMUSG00000026036,0.6691031004684205,0.0,0.0,0.662455764272541,0.6756450699746455,Nif3l1
ENSMUSG00000036513,0.6681234265654625,0.0,0.0,0.6614604015984314,0.6746809895746749,Commd2
ENSMUSG00000031568,0.6677823433922454,0.0,0.0,0.6611138617328218,0.6743453301828305,Rwdd4a
ENSMUSG00000017764,0.6658259719141614,0.0,0.0,0.6591262469325643,0.6724200158224996,Zswim1
ENSMUSG00000003444,0.6636551025155579,0.0,0.0,0.6569208182237044,0.6702835042164408,Med29
ENSMUSG00000028527,0.6625824089129296,0.0,0.0,0.6558310903385072,0.6692277472964852,Ak4
ENSMUSG00000030007,0.6604723877383739,0.0,0.0,0.6536876443103236,0.6671509627976927,Cct7
ENSMUSG00000046010,0.6601553215114205,0.0,0.0,0.6533655648437949,0.6668388819685706,Zfp830
ENSMUSG00000030942,0.6591825649196067,0.0,0.0,0.6523774430119015,0.6658814059068529,Thumpd1
ENSMUSG00000029642,0.6580644213138375,0.0,0.0,0.651241666275288,0.6647807993794298,Polr1d
ENSMUSG00000045438,0.6576888386376594,0.0,0.0,0.6508601675160188,0.6644111008383704,Cox19
ENSMUSG00000002343,0.6570837782273592,0.0,0.0,0.6502455836003498,0.6638155127992952,Armc6
ENSMUSG00000029401,0.6564281166149442,0.0,0.0,0.6495796121356663,0.6631701060932396,Rilpl2
ENSMUSG00000022247,0.6554558362935338,0.0,0.0,0.6485920626854795,0.6622130143099337,Brix1
ENSMUSG00000025786,0.6547535558684591,0.0,0.0,0.6478787677057338,0.6615216908881238,Zdhhc3
ENSMUSG00000045455,0.6540939777800965,0.0,0.0,0.6472088557841296,0.6608723930841078,Gm9797
ENSMUSG00000029504,0.653658417044405,0.0,0.0,0.6467664768008035,0.6604436155012687,Ddx51
ENSMUSG00000028955,0.6532140331247241,0.0,0.0,0.6463151412948963,0.6600061475807482,Vamp3
ENSMUSG00000024767,0.6527933987955289,0.0,0.0,0.6458879313459557,0.659592055389446,Otub1
ENSMUSG00000036427,0.6527299537378481,0.0,0.0,0.6458234948506777,0.6595295967363847,Gpi1
ENSMUSG00000007050,0.6526219000735276,0.0,0.0,0.6457137528894193,0.6594232228076533,Lsm2
ENSMUSG00000052456,0.6519708377222676,0.0,0.0,0.6450525239795063,0.6587822757056475,Asna1
ENSMUSG00000021218,0.6514430618850042,0.0,0.0,0.6445165143476533,0.658262692416616,Gdi2
ENSMUSG00000020483,0.6509637070402698,0.0,0.0,0.644029687020786,0.6577907728608386,Dynll2
ENSMUSG00000021546,0.6506220161754611,0.0,0.0,0.643682673094196,0.6574543787022149,Hnrnpk
ENSMUSG00000006442,0.6503852145705338,0.0,0.0,0.6434421841282847,0.6572212462693255,Srm
ENSMUSG00000032044,0.6503125129423758,0.0,0.0,0.6433683507002276,0.6571496708693079,Rpusd4
ENSMUSG00000062794,0.65016944500485,0.0,0.0,0.6432230558957713,0.6570088188513412,Zfp599
ENSMUSG00000042572,0.6500565010165871,0.0,0.0,0.6431083542762464,0.6568976238680951,Ube2q1
ENSMUSG00000031819,0.6499939652057859,0.0,0.0,0.6430448454189663,0.6568360563336203,Emc8
ENSMUSG00000099115,0.6497517701977215,0.0,0.0,0.6427988828000593,0.6565976105030997,Gm17190
