,Extra-Embryonic endoderm_3_corr,Extra-Embryonic endoderm_3_pval,Extra-Embryonic endoderm_3_qval,Extra-Embryonic endoderm_3_ci_low,Extra-Embryonic endoderm_3_ci_high,gene_annotation
ENSMUSG00000006611,0.6508921877916961,0.0,0.0,0.6439570533670533,0.6577203624901823,Hfe
ENSMUSG00000072941,0.6133862542169991,0.0,0.0,0.6058839220410877,0.6207794977119444,Sod3
ENSMUSG00000076441,0.6066487199916534,0.0,0.0,0.5990481361602961,0.6141399917112234,Ass1
ENSMUSG00000058135,0.6064916298942861,0.0,0.0,0.5988887684758917,0.6139851745554906,Gstm1
ENSMUSG00000086784,0.605156469193225,0.0,0.0,0.5975342741180566,0.6126693090612967,Isoc2a
ENSMUSG00000001663,0.5885583566135474,0.0,0.0,0.5806994451701694,0.5963075876356257,Gstt1
ENSMUSG00000020098,0.5860757697300598,0.0,0.0,0.5781820301962606,0.5938598042373979,Pcbd1
ENSMUSG00000009646,0.5852777025979705,0.0,0.0,0.5773727989408183,0.5930728946326718,Pla2g12b
ENSMUSG00000028607,0.5840159041199731,0.0,0.0,0.576093380911211,0.5918287065783817,Cpt2
ENSMUSG00000027793,0.5830012524211459,0.0,0.0,0.5750645889379181,0.590828188967966,Ccna1
ENSMUSG00000021876,0.5827570221434887,0.0,0.0,0.5748169587939753,0.5905873572209736,Rnase4
ENSMUSG00000007038,0.5777383535257588,0.0,0.0,0.569728748560915,0.5856382159025377,Neu1
ENSMUSG00000039168,0.5773897110680463,0.0,0.0,0.5693752979178625,0.5852943815628404,Dap
ENSMUSG00000027984,0.5772880003420481,0.0,0.0,0.5692721850408442,0.5851940729908462,Hadh
ENSMUSG00000099032,0.5737994487322278,0.0,0.0,0.5657356940401511,0.5817534670465598,Tcf24
ENSMUSG00000030674,0.5737476562854588,0.0,0.0,0.5656831921004826,0.5817023842760186,Qprt
ENSMUSG00000024150,0.5723156527827968,0.0,0.0,0.564231597802547,0.5802899776793512,Mcfd2
ENSMUSG00000047228,0.5698249234959278,0.0,0.0,0.5617069126827083,0.5778332196338982,BC048546
ENSMUSG00000055560,0.5697082733826616,0.0,0.0,0.5615886759976801,0.5777181569624741,Zfp459
ENSMUSG00000047842,0.5691824780525852,0.0,0.0,0.5610557333800947,0.5771995130063194,Diras2
ENSMUSG00000047123,0.5676272339862909,0.0,0.0,0.5594793878680494,0.5756653840476434,Ticam1
ENSMUSG00000034456,0.5672400727152878,0.0,0.0,0.5590869827819618,0.5752834703580634,Uroc1
ENSMUSG00000028307,0.5666318493031741,0.0,0.0,0.5584705288066207,0.5746834837197228,Aldob
ENSMUSG00000026255,0.5655845817499835,0.0,0.0,0.5574091106071141,0.5736503783465072,Efhd1
ENSMUSG00000005681,0.5637680352890617,0.0,0.0,0.5555680824058832,0.5718583361471944,Apoa2
ENSMUSG00000006724,0.560670173167315,0.0,0.0,0.5524286556123585,0.5688020844397152,Cyp27b1
ENSMUSG00000024386,0.5605970224174278,0.0,0.0,0.5523545262089729,0.5687299135348961,Proc
ENSMUSG00000051373,0.5604783755396223,0.0,0.0,0.5522342922810599,0.5686128556507761,Plpp7
ENSMUSG00000024650,0.5595452009042462,0.0,0.0,0.5512886472256809,0.5676921671922315,Slc22a6
ENSMUSG00000028356,0.5582597615463734,0.0,0.0,0.5499860647174715,0.5664238940541881,Ambp
ENSMUSG00000074457,0.5572189096183746,0.0,0.0,0.5489313610494572,0.5653969137024754,S100a16
ENSMUSG00000040413,0.5569454379877933,0.0,0.0,0.5486542544143849,0.5651270824595164,Timd2
ENSMUSG00000050711,0.5541632853125733,0.0,0.0,0.545835224701582,0.5623818656305738,Scg2
ENSMUSG00000078439,0.5539582335374061,0.0,0.0,0.5456274624539644,0.5621795289529912,Smim24
ENSMUSG00000025497,0.5538769996926869,0.0,0.0,0.5455451551046381,0.5620993704562038,Cdhr5
ENSMUSG00000030538,0.551672924862076,0.0,0.0,0.5433120147810295,0.559924413515739,Cib1
ENSMUSG00000020766,0.5489365638552282,0.0,0.0,0.5405397335530265,0.5572240441580538,Galk1
ENSMUSG00000046352,0.5477427393891797,0.0,0.0,0.5393302948775804,0.556045867269152,Gjb2
ENSMUSG00000002985,0.5473793565484396,0.0,0.0,0.5389621661876585,0.5556872406994898,Apoe
ENSMUSG00000046949,0.5466758703401277,0.0,0.0,0.5382495014529857,0.5549929535449828,Nqo2
ENSMUSG00000052396,0.5456785875603342,0.0,0.0,0.5372392275737612,0.5540086917578753,Mogat2
ENSMUSG00000042312,0.545074577874814,0.0,0.0,0.5366273615338762,0.5534125569832573,S100a13
ENSMUSG00000001249,0.5447384474809418,0.0,0.0,0.5362868629388702,0.5530808052645532,Hpn
ENSMUSG00000044080,0.5435455762978816,0.0,0.0,0.5350785119360233,0.5519034519212491,S100a1
ENSMUSG00000071521,0.5431761136054886,0.0,0.0,0.5347042617746218,0.55153878874211,Try10
ENSMUSG00000032080,0.5428321053985241,0.0,0.0,0.5343557989236842,0.5511992465075943,Apoa4
ENSMUSG00000035944,0.5406801186638314,0.0,0.0,0.5321760109857497,0.5490751343339634,Ttc38
ENSMUSG00000035637,0.5401689961064002,0.0,0.0,0.5316583018790789,0.5485706163792459,Grhpr
