,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000062647,0.479259738737578,0.0,0.0,0.47000964382909977,0.48840457507385304,Rpl7a
ENSMUSG00000024661,0.4539107070323668,0.0,0.0,0.44437945808642587,0.4633392037395042,Fth1
ENSMUSG00000052926,0.44431151067309405,0.0,0.0,0.43467786548563103,0.4538434844676076,Rnaseh2a
ENSMUSG00000037563,0.43475622705524847,0.0,0.0,0.4250228741413229,0.44438905403169476,Rps16
ENSMUSG00000060126,0.4272669686818075,0.0,0.0,0.4174570145530791,0.4369773422006936,Tpt1
ENSMUSG00000058546,0.4254192240389543,0.0,0.0,0.41559058006679417,0.43514852696413203,Rpl23a
ENSMUSG00000044533,0.4235528177740748,0.0,0.0,0.4137053792256391,0.4333011597800972,Rps2
ENSMUSG00000019689,0.41019052011007234,0.0,0.0,0.4002109903198953,0.42007277690490696,Fmc1
ENSMUSG00000041841,0.40455303496384654,0.0,0.0,0.39451907432202826,0.4144905297683,Rpl37
ENSMUSG00000028062,0.39608424398508,0.0,0.0,0.38596996271672707,0.40610331318951953,Lamtor2
ENSMUSG00000063856,0.3924071626904821,0.0,0.0,0.38225854767692036,0.4024611252088209,Gpx1
ENSMUSG00000047181,0.3806365783104022,0.0,0.0,0.3703802598921713,0.3908000960540932,Samd14
ENSMUSG00000024608,0.37025249110088587,0.0,0.0,0.35990394023806,0.3805099499613556,Rps14
ENSMUSG00000028998,0.36568941701445296,0.0,0.0,0.35530116166975745,0.37598735290868174,Tomm7
ENSMUSG00000049517,0.3634924900953718,0.0,0.0,0.35308529836385744,0.3738097389822697,Rps23
ENSMUSG00000059291,0.35669875779252663,0.0,0.0,0.3462337462638952,0.3670750099932055,Rpl11
ENSMUSG00000023216,0.3561666350528303,0.0,0.0,0.34569714189748896,0.3665474627759836,Epb42
ENSMUSG00000005161,0.354386784944162,0.0,0.0,0.34390235134872066,0.36478286842302055,Prdx2
ENSMUSG00000021520,0.353346759450381,0.0,0.0,0.3428536311190813,0.3637517228039712,Uqcrb
ENSMUSG00000026895,0.3529373025735028,0.0,0.0,0.34244075831000764,0.3633457549277182,Ndufa8
ENSMUSG00000003970,0.3497129828323506,0.0,0.0,0.339189681028444,0.3601487716407239,Rpl8
ENSMUSG00000012848,0.3488419788019077,0.0,0.0,0.3383114919517315,0.3592851101111128,Rps5
ENSMUSG00000105809,0.34849522040027053,0.0,0.0,0.33796187819122303,0.3589412698791681,Gm42626
ENSMUSG00000058794,0.3484334605484505,0.0,0.0,0.3378996100870176,0.3588800294742574,Nfe2
ENSMUSG00000021102,0.3480116783810528,0.0,0.0,0.3374743593307755,0.35846179240823955,Glrx5
ENSMUSG00000061477,0.3440485041611732,0.0,0.0,0.3334788034129667,0.354531723972708,Rps7
ENSMUSG00000008683,0.3408371125630451,0.0,0.0,0.3302414511398586,0.3513468865670054,Rps15a
ENSMUSG00000024570,0.3345830658444589,0.0,0.0,0.32393756248676064,0.3451438548371659,Rbfa
ENSMUSG00000073940,0.33451798391758714,0.0,0.0,0.3238719668555117,0.34507929894031614,Hbb-bt
ENSMUSG00000024844,0.3332946071530413,0.0,0.0,0.32263895278321236,0.3438657916251292,Banf1
ENSMUSG00000006574,0.3315812775296605,0.0,0.0,0.32091218697379126,0.3421662247338246,Slc4a1
ENSMUSG00000025508,0.33148818307904093,0.0,0.0,0.32081836449426665,0.34207387610288664,Rplp2
ENSMUSG00000007892,0.33131330179690816,0.0,0.0,0.32064211614973587,0.3419003953170522,Rplp1
ENSMUSG00000057841,0.32876648515397267,0.0,0.0,0.31807547455329227,0.3393738924888602,Rpl32
ENSMUSG00000006333,0.3255807255582666,0.0,0.0,0.31486513694089246,0.336213327547781,Rps9
ENSMUSG00000057278,0.3239592903092369,0.0,0.0,0.3132312865249711,0.3346046234856906,Snrpg
ENSMUSG00000045128,0.32186545356512697,0.0,0.0,0.3111215114352907,0.3325271353331967,Rpl18a
ENSMUSG00000059070,0.31560114235372827,0.0,0.0,0.3048101483796509,0.3263111176848057,Rpl18
ENSMUSG00000052217,0.3134375843074386,0.0,0.0,0.30263055980802195,0.3241640239697259,Hbb-bh1
ENSMUSG00000071415,0.31064774670497297,0.0,0.0,0.29982021820158944,0.32139525345170683,Rpl23
ENSMUSG00000030432,0.31011423133224086,0.0,0.0,0.2992828031443304,0.32086574591655637,Rpl28
ENSMUSG00000067274,0.3090637150679975,0.0,0.0,0.29822462830959345,0.3198231016222329,Rplp0
ENSMUSG00000039182,0.308260603839969,0.0,0.0,0.2974156801358398,0.31902599087566647,AW209491
ENSMUSG00000002477,0.30744756666172895,0.0,0.0,0.296596749731585,0.3182190128267874,Snrpd1
ENSMUSG00000061983,0.30713920792614574,0.0,0.0,0.2962861600596011,0.3179129480403567,Rps12
ENSMUSG00000028398,0.30606185358302124,0.0,0.0,0.2952010292136675,0.3168435907479815,Tmem261
ENSMUSG00000109508,0.3055158178331106,0.0,0.0,0.2946510627960408,0.31630159767831145,Gm44956
ENSMUSG00000047675,0.3017667013715115,0.0,0.0,0.2908751524652366,0.31258004836390946,Rps8
ENSMUSG00000024902,0.30090232206934303,0.0,0.0,0.2900046438158786,0.3117219777248584,Mrpl11
ENSMUSG00000000253,0.30089363915112416,0.0,0.0,0.28999589941823056,0.3117133580892972,Gmpr
ENSMUSG00000040952,0.2991857315661349,0.0,0.0,0.2882759343666965,0.3100178634142691,Rps19
ENSMUSG00000061518,0.29510718968341576,0.0,0.0,0.2841688836099766,0.30596868523935433,Cox5b
ENSMUSG00000090862,0.29062697016956585,0.0,0.0,0.27965781013815477,0.30152026837944784,Rps13
ENSMUSG00000071711,0.2893704263112383,0.0,0.0,0.2783926997901725,0.3002725588849182,Mpst
ENSMUSG00000063457,0.2887935806394784,0.0,0.0,0.27781193422932,0.2996997563380381,Rps15
ENSMUSG00000036111,0.28844401013704624,0.0,0.0,0.27745999216666295,0.2993526321571572,Lmo1
