,Blood_5_corr,Blood_5_pval,Blood_5_qval,Blood_5_ci_low,Blood_5_ci_high,gene_annotation
ENSMUSG00000040824,0.6498118220166373,0.0,0.0,0.6428598686576787,0.6566567328477354,Snrpd2
ENSMUSG00000010825,0.6404213004283256,0.0,0.0,0.6333243586136335,0.6474105344240355,Grid2ip
ENSMUSG00000021203,0.6165023102700044,0.0,0.0,0.6090457934045728,0.6238498578670655,Otub2
ENSMUSG00000048827,0.6088843724248474,0.0,0.0,0.6013162677009888,0.6163432339276117,Pkd1l3
ENSMUSG00000097457,0.5701458862904315,0.0,0.0,0.5620322426409815,0.5781498129390717,2310031A07Rik
ENSMUSG00000038770,0.5470286875526671,0.0,0.0,0.5386069204365158,0.55534115863358,Kpna7
ENSMUSG00000033751,0.5440902725195339,0.0,0.0,0.535630272350797,0.5524410664245533,Gadd45gip1
ENSMUSG00000052962,0.5345365357224862,0.0,0.0,0.5259536803050174,0.5430105320676553,Mrpl35
ENSMUSG00000043866,0.5217532474144988,0.0,0.0,0.5130094813948723,0.5303887492031113,Taf10
ENSMUSG00000036751,0.5119975091754653,0.0,0.0,0.503133616793361,0.5207536896032062,Cox6b1
ENSMUSG00000037216,0.509218635863769,0.0,0.0,0.5003209496634221,0.5180087827457346,Lipt1
ENSMUSG00000050786,0.5091658186927117,0.0,0.0,0.5002674920023639,0.5179566094111718,Ccdc126
ENSMUSG00000002416,0.5012874866368462,0.0,0.0,0.49229438259611763,0.510173580948314,Ndufb2
ENSMUSG00000096199,0.4968831527011747,0.0,0.0,0.4878377215205754,0.5058218915929742,Ptrhd1
ENSMUSG00000037446,0.49304024261486046,0.0,0.0,0.48394953964396087,0.5020245437472691,Tulp1
ENSMUSG00000018287,0.46448912235193734,0.0,0.0,0.455073305154754,0.47380107913108693,Spag7
ENSMUSG00000019853,0.4637683477634644,0.0,0.0,0.4543445792330592,0.4730883285833542,Hebp2
ENSMUSG00000066170,0.4622514676562739,0.0,0.0,0.45281100663530116,0.47158829532628405,E230001N04Rik
ENSMUSG00000090733,0.4520024517285966,0.0,0.0,0.44245066904403724,0.46145169138971537,Rps27
ENSMUSG00000006717,0.4270932312736687,0.0,0.0,0.4172815162742846,0.43680538808241265,Acot13
ENSMUSG00000062006,0.4258214824693486,0.0,0.0,0.4159969002724061,0.4355466712539647,Rpl34
ENSMUSG00000061787,0.4235655248403662,0.0,0.0,0.413718213965657,0.4333137374994545,Rps17
ENSMUSG00000042854,0.4218297092106969,0.0,0.0,0.41196499405237014,0.4315955557995956,Trp53rkb
ENSMUSG00000027602,0.42130250727275226,0.0,0.0,0.41143252054551793,0.4310736956095455,Map1lc3a
ENSMUSG00000008036,0.41932519528330897,0.0,0.0,0.40943549714457816,0.42911636002572906,Ap2s1
ENSMUSG00000005354,0.4085028819665412,0.0,0.0,0.3985069770005669,0.4184017532434459,Txn2
ENSMUSG00000023904,0.4053207954082982,0.0,0.0,0.39529420233098517,0.41525081142219644,Hcfc1r1
ENSMUSG00000071014,0.4015618006329291,0.0,0.0,0.3914992717694796,0.4115283008847468,Ndufb6
ENSMUSG00000030869,0.39980321336958863,0.0,0.0,0.3897239900271566,0.40978666802301916,Ndufab1
ENSMUSG00000036504,0.3959274748211081,0.0,0.0,0.38581172308110473,0.40594803816757496,Phpt1
