,Extra-Embryonic endoderm_3_corr,Extra-Embryonic endoderm_3_pval,Extra-Embryonic endoderm_3_qval,Extra-Embryonic endoderm_3_ci_low,Extra-Embryonic endoderm_3_ci_high,gene_annotation
ENSMUSG00000006589,0.8055093476557971,0.0,0.0,0.8012760008927151,0.8096620422697236,Aprt
ENSMUSG00000021807,0.7965921060952975,0.0,0.0,0.7921870040332558,0.8009142041060878,2700060E02Rik
ENSMUSG00000021486,0.7929661887139468,0.0,0.0,0.7884918064974485,0.7973566416130171,Prelid1
ENSMUSG00000008301,0.7796411762669349,0.0,0.0,0.7749149681083554,0.7842802074081742,Phax
ENSMUSG00000002343,0.7790212342341742,0.0,0.0,0.774283416108808,0.7836717300410484,Armc6
ENSMUSG00000028478,0.7714881980398812,0.0,0.0,0.7666100589162188,0.7762772900699659,Clta
ENSMUSG00000028199,0.7681099369172364,0.0,0.0,0.7631693219727158,0.772960755647178,Cryz
ENSMUSG00000025374,0.7666900312604846,0.0,0.0,0.7617232409255057,0.7715667150007203,Nabp2
ENSMUSG00000035674,0.7649156885589188,0.0,0.0,0.7599162584813403,0.7698246279010554,Ndufa3
ENSMUSG00000022751,0.7628167407232602,0.0,0.0,0.7577787994228353,0.7677637421902407,Nit2
ENSMUSG00000089753,0.7612857023978313,0.0,0.0,0.7562197379978498,0.7662604030056938,Cd300ld2
ENSMUSG00000026254,0.7607221710989599,0.0,0.0,0.7556459066821211,0.7657070532527892,Eif4e2
ENSMUSG00000059305,0.7575203256401923,0.0,0.0,0.7523856869891034,0.7625629167423946,Vpreb1
ENSMUSG00000031916,0.7554492168925171,0.0,0.0,0.7502769529348516,0.7605290100424652,Cog8
ENSMUSG00000021218,0.753044154115064,0.0,0.0,0.747828330050206,0.7581670228213704,Gdi2
ENSMUSG00000022787,0.7509568340900864,0.0,0.0,0.7457033198400262,0.7561169784880684,Wdr53
ENSMUSG00000033940,0.7483598699086335,0.0,0.0,0.743059612163258,0.753566249917679,Brk1
ENSMUSG00000031568,0.7477912057942977,0.0,0.0,0.74248073457947,0.7530076892134918,Rwdd4a
ENSMUSG00000018565,0.7466477501968234,0.0,0.0,0.7413167660010377,0.7518845265444752,Elp5
ENSMUSG00000031633,0.7465341569060943,0.0,0.0,0.741201136658586,0.7517729475362326,Slc25a4
ENSMUSG00000020265,0.7455324911922463,0.0,0.0,0.7401815307381732,0.7507890307809217,Sumo3
ENSMUSG00000066042,0.745478873758132,0.0,0.0,0.7401269536896484,0.7507363627601417,Med18
ENSMUSG00000026127,0.7454216021207436,0.0,0.0,0.7400686571148689,0.7506801051678812,Imp4
ENSMUSG00000044018,0.7450535184508527,0.0,0.0,0.7396939881126966,0.7503185369257345,Mrpl50
ENSMUSG00000030842,0.7430917125731692,0.0,0.0,0.7376971398935624,0.748391403724577,Lamtor1
ENSMUSG00000061904,0.7429855582392816,0.0,0.0,0.7375890920921004,0.7482871229951602,Slc25a3
ENSMUSG00000033735,0.7405346707615686,0.0,0.0,0.7350945651420439,0.7458794203700763,Spr
ENSMUSG00000040521,0.7398577949198761,0.0,0.0,0.7344056630903,0.7452144465256569,Tsfm
ENSMUSG00000002395,0.7393973557157926,0.0,0.0,0.7339370495761856,0.7447620974683407,Use1
ENSMUSG00000002319,0.7372127063599574,0.0,0.0,0.7317136863523065,0.7426157663025648,Ipo4
ENSMUSG00000104529,0.7369192691295188,0.0,0.0,0.7314150580757215,0.742327467430647,Rbakdn
ENSMUSG00000028692,0.7368917903018781,0.0,0.0,0.7313870932424669,0.7423004696802655,Akr1a1
ENSMUSG00000020877,0.7363948273816002,0.0,0.0,0.7308813439583787,0.7418122041572599,Scrn2
ENSMUSG00000019179,0.7336989038840542,0.0,0.0,0.7281378617257087,0.7391633621861853,Mdh2
ENSMUSG00000002767,0.7324451232948453,0.0,0.0,0.7268620239162826,0.7379314199940255,Mrpl2
ENSMUSG00000052456,0.7318804698143097,0.0,0.0,0.7262874493160285,0.7373765897273854,Asna1
ENSMUSG00000029545,0.7294960009948157,0.0,0.0,0.7238611708978228,0.7350335214600755,Acads
ENSMUSG00000020250,0.7285707317404388,0.0,0.0,0.7229197153785123,0.7341242816564962,Txnrd1
ENSMUSG00000004945,0.7275567349704378,0.0,0.0,0.7218880042804506,0.733127828588401,Tmem242
ENSMUSG00000017664,0.727241109770978,0.0,0.0,0.7215668703123834,0.7328176593082752,Slc35c2
ENSMUSG00000028690,0.727126752992663,0.0,0.0,0.7214505182090828,0.7327052787372802,Mmachc
ENSMUSG00000024248,0.7252953951200101,0.0,0.0,0.7195872500218645,0.7309055272353987,Cox7a2l
ENSMUSG00000029326,0.7241329559761558,0.0,0.0,0.7184045987154756,0.7297631094881002,Enoph1
ENSMUSG00000020153,0.7238736143999215,0.0,0.0,0.7181407522994138,0.7295082304200688,Ndufs7
ENSMUSG00000031917,0.7233678553632903,0.0,0.0,0.7176262128201324,0.7290111695119869,Nip7
ENSMUSG00000051256,0.7226319615759818,0.0,0.0,0.7168775544344237,0.7282879211190503,Jagn1
ENSMUSG00000036430,0.722497944442,0.0,0.0,0.7167412141068491,0.7281562055419315,Tbcc
ENSMUSG00000032977,0.7215328798463745,0.0,0.0,0.7157594330647082,0.7272077022408499,Fam207a
ENSMUSG00000022285,0.7202306457456848,0.0,0.0,0.714434678381815,0.7259277811862098,Ywhaz
ENSMUSG00000038845,0.7202074672114455,0.0,0.0,0.7144110993789078,0.7259049994456294,Phb
ENSMUSG00000038690,0.7197968792996956,0.0,0.0,0.7139934196891076,0.7255014383219927,Atp5j2
ENSMUSG00000028873,0.7187330670286137,0.0,0.0,0.7129112521993315,0.7244558138494579,Cdca8
ENSMUSG00000014551,0.7184499549893142,0.0,0.0,0.7126232599627571,0.7241775376864902,Mrps25
ENSMUSG00000014177,0.7183228976704858,0.0,0.0,0.7124940131078181,0.7240526500450903,Tvp23b
ENSMUSG00000039016,0.7182350676385832,0.0,0.0,0.7124046697616764,0.7239663196114507,Timm8b
ENSMUSG00000033728,0.7180870420644997,0.0,0.0,0.712254094129941,0.7238208210000555,Lrrc14
ENSMUSG00000004070,0.7179943132505348,0.0,0.0,0.7121597681369737,0.7237296749112486,Hmox2
ENSMUSG00000089876,0.7173507562798728,0.0,0.0,0.7115051322213697,0.723097096863835,Tmem102
ENSMUSG00000006736,0.7128604670781908,0.0,0.0,0.7069378242895772,0.7186831426313224,Tspan31
ENSMUSG00000041241,0.7126902839624034,0.0,0.0,0.7067647318588666,0.7185158434003597,Mul1
ENSMUSG00000035828,0.7116959630484143,0.0,0.0,0.7057534270084859,0.7175383585491393,Pim3
ENSMUSG00000027628,0.7102039486780027,0.0,0.0,0.7042359730627185,0.7160715641222396,Aar2
ENSMUSG00000074890,0.7100388266212382,0.0,0.0,0.704068038945192,0.7159092299857954,Lcmt2
ENSMUSG00000036513,0.7090537547657237,0.0,0.0,0.7030662049999229,0.7149407768928333,Commd2
ENSMUSG00000047832,0.708278801642744,0.0,0.0,0.7022780818935402,0.7141788818255136,Cdca4
ENSMUSG00000033533,0.7066805094343235,0.0,0.0,0.7006526738704145,0.7126074768850773,Acsm1
ENSMUSG00000099370,0.7048525219336526,0.0,0.0,0.6987937503551681,0.7108101677927934,Platr10
ENSMUSG00000020831,0.7047786198572985,0.0,0.0,0.6987185993153018,0.7107375043502351,0610010K14Rik
ENSMUSG00000044600,0.7037300447805027,0.0,0.0,0.6976523174697931,0.7097064901860548,Smim7
ENSMUSG00000021604,0.7031673856293927,0.0,0.0,0.6970801680719688,0.709153243562001,Irx4
ENSMUSG00000038982,0.7025727028087967,0.0,0.0,0.6964754632952578,0.7085685009684265,Bloc1s5
ENSMUSG00000022814,0.7022170581366033,0.0,0.0,0.6961138292210423,0.7082187970240528,Umps
ENSMUSG00000030614,0.7022106718549613,0.0,0.0,0.6961073354165158,0.7082125173926457,Tmem126b
ENSMUSG00000025190,0.7018651423412234,0.0,0.0,0.6957559898701365,0.7078727567699066,Got1
ENSMUSG00000046441,0.7004083389866413,0.0,0.0,0.6942746974102999,0.7064402453400007,Cmtr2
ENSMUSG00000047989,0.6999587314686708,0.0,0.0,0.6938175424091801,0.7059981249638889,Ino80c
ENSMUSG00000020869,0.6984481212321898,0.0,0.0,0.6922816100719038,0.7045126358630521,Lrrc59
ENSMUSG00000020483,0.698219215099538,0.0,0.0,0.6920488716994312,0.7042875317555657,Dynll2
ENSMUSG00000028636,0.6975649592115651,0.0,0.0,0.6913836696374658,0.7036441360275664,Ppcs
ENSMUSG00000027531,0.6975624868805221,0.0,0.0,0.6913811559624126,0.7036417047164691,Impa1
ENSMUSG00000016554,0.6965538216726879,0.0,0.0,0.6903556356499104,0.7026497630092896,Eif3d
ENSMUSG00000031622,0.6961912954477248,0.0,0.0,0.6899870575854796,0.7022932416200265,Sin3b
ENSMUSG00000047084,0.695733393414123,0.0,0.0,0.689521516152741,0.7018429198394411,Ngrn
ENSMUSG00000046949,0.6952337187215121,0.0,0.0,0.6890135110044266,0.7013515113454862,Nqo2
ENSMUSG00000036938,0.6950457504513193,0.0,0.0,0.6888224105547719,0.7011666511593359,Try5
ENSMUSG00000017697,0.6949374865516119,0.0,0.0,0.6887123430092947,0.7010601770462512,Ada
ENSMUSG00000015804,0.6947894480067622,0.0,0.0,0.6885618386488208,0.7009145853887763,Med28
ENSMUSG00000021996,0.6941949195978344,0.0,0.0,0.6879574128344839,0.7003298786310111,Esd
ENSMUSG00000036860,0.6938815761315087,0.0,0.0,0.6876388564680166,0.7000217083078466,Mrpl55
ENSMUSG00000029840,0.6938387541992167,0.0,0.0,0.6875953223205752,0.6999795931665164,Mtpn
ENSMUSG00000029048,0.6934347590418911,0.0,0.0,0.6871846101178846,0.6995822639882311,Rer1
ENSMUSG00000039682,0.6928994387705486,0.0,0.0,0.6866403954720645,0.6990557707233547,Lap3
ENSMUSG00000035478,0.6923053076349814,0.0,0.0,0.6860364010293715,0.6984714285234949,Mbd3
ENSMUSG00000094721,0.691386015719118,0.0,0.0,0.685101864765329,0.6975672667055894,Olfr1462
ENSMUSG00000018648,0.6912835522843302,0.0,0.0,0.684997703490745,0.6974664884383132,Dusp14
ENSMUSG00000034424,0.6911933786135642,0.0,0.0,0.6849060358366439,0.69737779760882,Gcsh
ENSMUSG00000020258,0.6907414385337675,0.0,0.0,0.6844466110824037,0.6969332865055612,Glyctk
ENSMUSG00000001305,0.6904405904597678,0.0,0.0,0.6841407833719964,0.6966373811247367,Rrp15
ENSMUSG00000036427,0.68967654465581,0.0,0.0,0.6833641010413513,0.6958858785053726,Gpi1
ENSMUSG00000079658,0.6875617967638892,0.0,0.0,0.6812144519092906,0.6938057770878469,Tceb1
ENSMUSG00000018585,0.6869819452379505,0.0,0.0,0.6806250497869447,0.6932354072226581,Atox1
ENSMUSG00000027999,0.6869304310767982,0.0,0.0,0.6805726875462964,0.6931847350358572,Pla2g12a
ENSMUSG00000048076,0.6865458958506641,0.0,0.0,0.6801818237546031,0.69280648290102,Arf1
ENSMUSG00000050621,0.6864453380264667,0.0,0.0,0.6800796115767462,0.6927075675673928,Rps27rt
ENSMUSG00000018387,0.6864196252481248,0.0,0.0,0.6800534758175544,0.6926822747383987,Shroom1
ENSMUSG00000006024,0.6854140381932651,0.0,0.0,0.6790313593244216,0.6916930991730662,Napa
ENSMUSG00000098789,0.6850190392848025,0.0,0.0,0.6786298743509674,0.6913045403232738,Jmjd7
ENSMUSG00000027597,0.6849918451611602,0.0,0.0,0.678602233827702,0.6912777894386289,Ahcy
ENSMUSG00000021539,0.6848273494572203,0.0,0.0,0.6784350382636994,0.6911159744947806,Lect2
ENSMUSG00000062794,0.6848148211866851,0.0,0.0,0.6784223043943998,0.6911036503696232,Zfp599
ENSMUSG00000021326,0.6839694951800311,0.0,0.0,0.6775631147964108,0.6902720903138575,Trim27
ENSMUSG00000001847,0.6833773893387568,0.0,0.0,0.6769613086613779,0.6896896168724217,Rac1
ENSMUSG00000027808,0.6833325489881731,0.0,0.0,0.6769157340541193,0.6896455056535861,Serp1
ENSMUSG00000060904,0.6830720195286247,0.0,0.0,0.6766509394216725,0.6893892116368059,Arl1
ENSMUSG00000019429,0.6829145071641701,0.0,0.0,0.6764908492006438,0.689234259192992,Ffar3
ENSMUSG00000043458,0.6828857379644514,0.0,0.0,0.676461609228087,0.6892059574932933,Pcdhb12
ENSMUSG00000022403,0.6827839840050273,0.0,0.0,0.6763581903518078,0.6891058568828314,St13
ENSMUSG00000096858,0.6823861993443857,0.0,0.0,0.6759538994970723,0.6887145333101967,Olfr805
ENSMUSG00000051695,0.6822915005782747,0.0,0.0,0.6758576524018209,0.6886213721622537,Pcbp1
ENSMUSG00000020402,0.6821706464756088,0.0,0.0,0.6757348226477824,0.6885024800568732,Vdac1
ENSMUSG00000009076,0.6821623097891863,0.0,0.0,0.6757263496913192,0.688494278699242,Zmat5
ENSMUSG00000008333,0.6821523676776514,0.0,0.0,0.6757162450699642,0.6884844979751237,Snrpb2
ENSMUSG00000003464,0.6817344022979044,0.0,0.0,0.6752914499816636,0.6880733152225411,Pex19
ENSMUSG00000039043,0.6815556445046362,0.0,0.0,0.675109772525094,0.6878974570187512,Arpin
ENSMUSG00000074213,0.6811676744491264,0.0,0.0,0.6747154684179966,0.687515777575432,Gm10642
ENSMUSG00000090619,0.6806308577383752,0.0,0.0,0.6741698936384497,0.6869876591175731,Vmn2r60
ENSMUSG00000018211,0.6806298946393697,0.0,0.0,0.6741689148329922,0.6869867116180061,Wfdc15b
