,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000042462,0.18022260828676234,1.4542655660328103e-196,3.570512817723756e-192,0.1686459360307238,0.19174956663962736,Dctpp1
ENSMUSG00000041453,0.17256543726022483,4.655359268549464e-180,5.714919038071322e-176,0.16095750594309244,0.18412563399575932,Rpl21
ENSMUSG00000027133,0.15324677367916523,7.89545447035245e-142,6.461639938536444e-138,0.14156623629856716,0.16488464538521894,Nop10
ENSMUSG00000057497,0.13894790336646526,1.2627589212377511e-116,7.750814258557316e-113,0.12721939640471017,0.15063756013392515,Fam136a
ENSMUSG00000057130,0.13865183343485074,3.9425554831834604e-116,1.9359524444624065e-112,0.12692238507448708,0.15034251113431565,Txnl4a
ENSMUSG00000044627,0.13814590504518534,2.7425496569355443e-115,1.1222513196180247e-111,0.12641485287782736,0.1498383225074996,Swi5
ENSMUSG00000019505,0.1345974259222261,1.802311356088221e-109,6.321478344954e-106,0.12285529757398896,0.14630187481945742,Ubb
ENSMUSG00000054000,0.12411982575494696,3.2606393812776552e-93,1.0006902261141124e-89,0.11234675547198532,0.13585805379306032,Tusc1
ENSMUSG00000046330,0.12354705170426492,2.304669779905245e-92,6.287139159581509e-89,0.11177236583808746,0.1352870511155305,Rpl37a
ENSMUSG00000098274,0.12305610588175157,1.2227556119446357e-91,3.00210957844647e-88,0.11128004150141896,0.13479761739567833,Rpl24
ENSMUSG00000063316,0.12298216197879121,1.5712166326438615e-91,3.506955524061099e-88,0.11120589047412725,0.13472390074190957,Rpl27
ENSMUSG00000001056,0.1223681990757825,1.2525469413139975e-90,2.5627110419284387e-87,0.11059021286328184,0.1341118196896248,Nhp2
ENSMUSG00000001289,0.12195270119819984,5.073059684543068e-90,9.581058567300109e-87,0.11017355969015157,0.13369759026591257,Pfdn5
ENSMUSG00000058558,0.11966580244606297,1.0245980685230248e-86,1.7968522698840933e-83,0.10788037629448222,0.13141759962154356,Rpl5
ENSMUSG00000043716,0.11924774057821273,4.053122696388868e-86,6.634151229449299e-83,0.10746117910584377,0.1310007871646483,Rpl7
ENSMUSG00000030224,0.11905855889544172,7.539486120364815e-86,1.1569341451699809e-82,0.10727148504411521,0.13081216950072916,Strap
ENSMUSG00000014226,0.11887674941919854,1.3676436327060012e-85,1.975199204129279e-82,0.1070891839644197,0.13063090126234939,Cacybp
ENSMUSG00000010607,0.11843261426328879,5.835204210045881e-85,7.959218542502581e-82,0.10664385122287531,0.13018808497024983,Pigyl
ENSMUSG00000055762,0.11833858366306825,7.927612693065621e-85,9.739343290566003e-82,0.10654956768107113,0.13009433299329587,Eef1d
