,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000036111,0.1256368156855822,1.7548100237583024e-95,4.308409570331384e-91,0.11386806228271867,0.13737031457189097,Lmo1
ENSMUSG00000041841,0.1157668052316078,3.139270108681718e-81,3.853767985417677e-77,0.10397095337549737,0.1275300935303102,Rpl37
ENSMUSG00000019689,0.1150619890589551,2.9415423095416854e-80,2.4073582261289155e-76,0.10326429146211102,0.1268273160168176,Fmc1
ENSMUSG00000075227,0.1115482974070127,1.6667221608797935e-75,1.0230340623480173e-71,0.09974157598795391,0.12332361138223158,Znhit2
ENSMUSG00000025362,0.10342230079961588,4.319510823648708e-65,2.1210525948444615e-61,0.09159584388241897,0.11521958672061798,Rps26
ENSMUSG00000037563,0.10301797663829088,1.3568716618808228e-64,5.5523188404163274e-61,0.09119057907503908,0.11481631479663042,Rps16
ENSMUSG00000012848,0.10131744474293748,1.5904494256304934e-62,5.578387756868553e-59,0.08948613383903,0.1131201658935662,Rps5
ENSMUSG00000059291,0.09862545039085416,2.5407403197467527e-59,7.797532041302784e-56,0.08678808622111016,0.11043496930154262,Rpl11
ENSMUSG00000060126,0.09750067337185572,5.2167267698529504e-58,1.423123062815885e-54,0.08566083144059308,0.10931298147484528,Tpt1
ENSMUSG00000062647,0.09632892666338096,1.1704353882226396e-56,2.873652965164225e-53,0.08448653573802255,0.10814410842066366,Rpl7a
ENSMUSG00000049517,0.09401103637861213,4.9182644398742773e-54,1.0977566229799387e-50,0.08216370005472333,0.10583180642456556,Rps23
ENSMUSG00000058546,0.0930737247146236,5.423296173711794e-53,1.0242520588997843e-49,0.08122442511126544,0.10489671825935339,Rpl23a
ENSMUSG00000025508,0.09235281566097822,3.379291161865804e-52,4.880491565066425e-49,0.08050202037048149,0.10417750512903022,Rplp2
ENSMUSG00000090862,0.09072940528338967,1.9731255548802585e-50,2.4222089311710054e-47,0.07887528744796382,0.10255786850652464,Rps13
ENSMUSG00000000552,0.08992869502153483,1.4277969497773132e-49,1.6692986052825044e-46,0.07807296166365575,0.10175899646733588,Zfp385a
ENSMUSG00000059689,0.08764157424465037,3.6920472167486735e-47,2.9241013956649493e-44,0.07578131094366335,0.09947704228679902,Zfp637
ENSMUSG00000074483,0.08738109056445026,6.887381323509301e-47,5.284343320462511e-44,0.07552031928850945,0.09921713914108465,Bglap
ENSMUSG00000024608,0.08724963285802466,9.427621187902395e-47,6.807851629569989e-44,0.07538860584053225,0.09908597379851677,Rps14
ENSMUSG00000109508,0.08633861542598172,8.196127532944996e-46,4.908081053386964e-43,0.07447582746227087,0.09817697118025184,Gm44956
ENSMUSG00000028998,0.08605178571170115,1.611580044097559e-45,9.164376991501028e-43,0.07418844743637402,0.09789077173206924,Tomm7
ENSMUSG00000044533,0.08586191347012383,2.518207223651042e-45,1.3154685905336251e-42,0.07399821198969396,0.09770131562960804,Rps2
ENSMUSG00000007892,0.08283317820740266,2.720753045250669e-42,9.542846966713489e-40,0.07096379981197508,0.09467910236343047,Rplp1
ENSMUSG00000028234,0.08204865132735688,1.594283152270173e-41,4.9547898676629484e-39,0.07017783827317128,0.0938962292556616,Rps20
ENSMUSG00000026258,0.08188622225032124,2.294179037963737e-41,6.953911572850083e-39,0.07001511400485176,0.0937341407461693,3110079O15Rik
ENSMUSG00000026895,0.08177481210106499,2.943469692103286e-41,8.502125633002338e-39,0.0699035017490879,0.09362296382914662,Ndufa8
ENSMUSG00000052926,0.0799688397731617,1.5945048533416104e-39,3.2897716940540517e-37,0.06809429470782266,0.09182073100697019,Rnaseh2a
ENSMUSG00000062328,0.07983458782542988,2.1377378993899017e-39,4.267133406977306e-37,0.06795980541727344,0.0916867539451304,Rpl17
ENSMUSG00000057841,0.07959007166444967,3.6417334873797104e-39,6.985300045480207e-37,0.06771485808714973,0.0914427373376796,Rpl32
ENSMUSG00000021520,0.07898769345334249,1.3434317670279146e-38,2.372945089501393e-36,0.06711142377602963,0.09084158372972895,Uqcrb
ENSMUSG00000008683,0.07896721856770102,1.4041346565197455e-38,2.462451006205199e-36,0.06709091314613491,0.0908211503166402,Rps15a
ENSMUSG00000068327,0.07879475943797284,2.0364481872770252e-38,3.4245805406866795e-36,0.06691815334235018,0.09064904011244791,Tlx2
ENSMUSG00000039182,0.07774869750367525,1.9082990648308024e-37,2.692675783892291e-35,0.06587028290968186,0.0896050794345448,AW209491
ENSMUSG00000033307,0.07632619458356525,3.81242241736557e-36,4.293697027117407e-34,0.06444536271314208,0.08818539213533648,Mif
ENSMUSG00000063457,0.07576217649751,1.2308223922614954e-35,1.2435864763293925e-33,0.0638803995966788,0.08762247709547166,Rps15
ENSMUSG00000047675,0.07505973919761053,5.233735720260755e-35,4.6056874338294645e-33,0.06317679598937434,0.08692140295600714,Rps8
ENSMUSG00000071451,0.07505051666393783,5.333669019522866e-35,4.661903751764463e-33,0.06316755822142611,0.0869121982415817,Psmg4
ENSMUSG00000030432,0.07410844003998103,3.637313378027899e-34,2.657836846944672e-32,0.06222393615215967,0.08597193117362237,Rpl28
ENSMUSG00000023723,0.0740130237750073,4.412018942752888e-34,3.1953949581849234e-32,0.06212836454491003,0.08587669700712228,Mrps23
ENSMUSG00000024844,0.07344796982176849,1.377266175470271e-33,9.163858845568046e-32,0.06156239512364618,0.08531271699535616,Banf1
ENSMUSG00000064264,0.07327058694695279,1.9653162712496655e-33,1.2698011866242576e-31,0.06138472643957853,0.08513566968638292,Zfp428
ENSMUSG00000030879,0.07325003628449553,2.0478491541852537e-33,1.31619875480514e-31,0.06136414271342651,0.08511515785241673,Mrpl17
ENSMUSG00000061477,0.0731275510008358,2.6162260853603954e-33,1.6414088282820503e-31,0.06124146057447801,0.08499290378426434,Rps7
ENSMUSG00000034892,0.07288498078179798,4.244429752272161e-33,2.5171313835214035e-31,0.06099850156253117,0.08475079041074919,Rps29
ENSMUSG00000076437,0.07273317474517682,5.740858997533167e-33,3.285537764742059e-31,0.06084645292691611,0.08459926956575008,Selenoh
ENSMUSG00000061518,0.07068591293694569,3.169983045133288e-31,1.351205272988064e-29,0.0587959733037947,0.08255580025576473,Cox5b
ENSMUSG00000024661,0.0703006450895677,6.657881005629436e-31,2.666627968192723e-29,0.058410111122282324,0.08217123494749537,Fth1
ENSMUSG00000045031,0.06924417670660742,4.9894689376543536e-30,1.7037752622710668e-28,0.05735203120533224,0.0811166749058057,Cetn4
ENSMUSG00000043716,0.06888977617438685,9.739220791340921e-30,3.1380229510367756e-28,0.05699709605546695,0.08076290858724922,Rpl7
ENSMUSG00000038374,0.0684436017053015,2.2495645851452795e-29,6.827108738502707e-28,0.05655025280129448,0.08031752831123354,Rbm8a
ENSMUSG00000030034,0.06828703060329673,3.0138739894254685e-29,8.91525713112941e-28,0.05639344813926691,0.08016123478282805,Ino80b
ENSMUSG00000042462,0.06823725007610733,3.3071310643430453e-29,9.724153519970113e-28,0.05634359347646969,0.0801115423856106,Dctpp1
ENSMUSG00000053565,0.06816026679636555,3.817301379850288e-29,1.1144159747691352e-27,0.05626649566622704,0.08003469527857512,Eif3k
ENSMUSG00000006333,0.06813504189482618,4.000889155573726e-29,1.1666250658865335e-27,0.056241233267643825,0.08000951496567237,Rps9
ENSMUSG00000059070,0.06787163438628134,6.527270879647664e-29,1.8420408578978096e-27,0.05597743511128688,0.07974657216233126,Rpl18
ENSMUSG00000045128,0.06756536837045882,1.1504359486804162e-28,3.110738261233654e-27,0.055670716974018895,0.07944084438520026,Rpl18a
ENSMUSG00000022193,0.06752801254690508,1.2325585350505378e-28,3.3181773193597375e-27,0.055633306157998906,0.07940355405873274,Psmb5
ENSMUSG00000037152,0.0673578976258065,1.6864212905437307e-28,4.4094798216645024e-27,0.055462941228713834,0.07923373698491287,Ndufc1
ENSMUSG00000000740,0.06699313514608081,3.29431647131547e-28,8.312647276848655e-27,0.05509764501313611,0.07886961082942971,Rpl13
ENSMUSG00000003970,0.06669426137462497,5.686744822196777e-28,1.3934227432592344e-26,0.05479833629045557,0.07857125607794811,Rpl8
ENSMUSG00000032532,0.06657162772684425,7.109585603728807e-28,1.7129984861898888e-26,0.05467552479239243,0.078448834778423,Cck
ENSMUSG00000064326,0.06652765518723949,7.701496934931724e-28,1.8429547051310302e-26,0.05463148856897969,0.07840493829292337,Siva1
ENSMUSG00000042275,0.0650546292193728,1.0884716045374519e-26,2.1379323867682813e-25,0.05315635601120047,0.07693443343092617,Pelo
ENSMUSG00000061787,0.06486373305509094,1.5275900908228857e-26,2.9278213825045658e-25,0.052965190645114214,0.07674386020525283,Rps17
ENSMUSG00000025499,0.06484674338101307,1.5742938870544966e-26,3.0149815534291734e-25,0.05294817705445665,0.07672689923050252,Hras
ENSMUSG00000024902,0.06476887559770529,1.8071172520414065e-26,3.4208436986985823e-25,0.05287019974406479,0.07664916289517792,Mrpl11
ENSMUSG00000028062,0.0646730939390591,2.1407656364909985e-26,3.993926892638829e-25,0.05277428356009468,0.0765535427266891,Lamtor2
ENSMUSG00000059355,0.06451896743451631,2.8102644051287536e-26,5.1414017641371945e-25,0.052619941045784074,0.07639967562435031,Wdr83os
