,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000052187,0.5583449826543573,0.0,0.0,0.5500724211235422,0.5665079782857613,Hbb-y
ENSMUSG00000069917,0.47994779271685706,0.0,0.0,0.4707055467453394,0.48908471930370223,Hba-a2
ENSMUSG00000069919,0.4672297694814822,0.0,0.0,0.45784430130206644,0.4765111045566188,Hba-a1
ENSMUSG00000055609,0.45073554980307523,0.0,0.0,0.4411701834563144,0.46019851358153774,Hba-x
ENSMUSG00000052305,0.4345888363465764,0.0,0.0,0.42485375647628637,0.4442234109551394,Hbb-bs
ENSMUSG00000073940,0.3648485340058148,0.0,0.0,0.35445301688770114,0.3751538754652929,Hbb-bt
ENSMUSG00000052217,0.35014463587281724,0.0,0.0,0.33962490163862463,0.3605767792480958,Hbb-bh1
ENSMUSG00000005131,0.13461477133102312,1.68957453300483e-109,4.462876162919267e-109,0.1228726963897912,0.14631916214473578,4930550C14Rik
ENSMUSG00000021550,0.1170677460218179,4.865439514483327e-83,9.352248568041546e-83,0.10527533229069613,0.12882724036791812,2210016F16Rik
ENSMUSG00000063856,0.11282577166613666,3.2452880421078208e-77,5.8449465969653186e-77,0.10102229680009087,0.12459748862268383,Gpx1
ENSMUSG00000036751,0.1036227549458874,2.4448062749254522e-65,3.90151990003053e-65,0.09179676583086953,0.11541951775116521,Cox6b1
ENSMUSG00000016252,0.10084638685934488,5.8670973202421185e-62,9.050576363821595e-62,0.08901400419217267,0.11265030995864744,Atp5e
ENSMUSG00000030432,0.09003354051689196,1.1029620588784934e-49,1.5171675987217642e-49,0.07817801782273222,0.10186360213284064,Rpl28
ENSMUSG00000107047,0.08731839712744534,8.000289029300965e-47,1.0724711779819672e-46,0.07545750383428732,0.09915458518650296,Gm43298
ENSMUSG00000031897,0.08531565079920152,9.04391864495226e-45,1.1891302445823802e-44,0.07345090919250895,0.09715624540565632,Psmb10
ENSMUSG00000006717,0.08044443393615243,5.621164478050512e-40,7.069864774606638e-40,0.06857073314187813,0.09229534792056171,Acot13
ENSMUSG00000038695,0.08008596396986443,1.2341443123904308e-39,1.547691856053216e-39,0.06821162631983078,0.09193761503702032,Josd2
ENSMUSG00000024661,0.0785188158723744,3.685421261275272e-38,4.564159536284009e-38,0.06664173016393543,0.09037365337287322,Fth1
ENSMUSG00000007892,0.07509659933743505,4.852564423204304e-35,5.847656901860806e-35,0.06321371703708632,0.08695819185657364,Rplp1
ENSMUSG00000049760,0.07311449154558348,2.6853863200803075e-33,3.189570167413851e-33,0.06122838015158254,0.08497986896027328,2410015M20Rik
ENSMUSG00000049960,0.06937368616563078,3.9042366650522316e-30,4.51282042278435e-30,0.05748173678101102,0.08124595185626228,Mrps16
ENSMUSG00000006574,0.0662018024723245,1.3906940105254693e-27,1.573833572086717e-27,0.054305165375633735,0.0780796477317441,Slc4a1
ENSMUSG00000022899,0.0604298784978752,3.0327311498369464e-23,3.332719326416467e-23,0.04852532881403257,0.07231726215379927,Slc15a2
ENSMUSG00000033307,0.0572733838162402,4.882366424085129e-21,5.2876868303545696e-21,0.045364844150873586,0.06916564803825698,Mif
ENSMUSG00000035745,0.05649471487418743,1.6407153014665395e-20,1.7702853035203904e-20,0.04458522758483764,0.06838814656875686,Grin3b
ENSMUSG00000002416,0.05419205327785703,5.371801275585748e-19,5.741520391719181e-19,0.042279848569330085,0.06608885286237416,Ndufb2
ENSMUSG00000028398,0.052351955317205504,7.87482873106774e-18,8.360769513737305e-18,0.040437670251208896,0.0642513554162858,Tmem261
ENSMUSG00000021606,0.05117758014502781,4.166670335898525e-17,4.403412968620032e-17,0.03926200970818719,0.0630785977453459,Ndufs6
ENSMUSG00000027078,0.050904293326977976,6.107383348108105e-17,6.448010146753395e-17,0.038988428505366025,0.06280568261897472,Ube2l6
ENSMUSG00000034825,0.049082880410528475,7.420063694826287e-16,7.784693779821169e-16,0.03716509919049111,0.060986701503528064,Nrip3
ENSMUSG00000021361,0.04717009482116212,9.284573513529422e-15,9.687015506721671e-15,0.03525038648379001,0.05907638458930065,Tmem14c
ENSMUSG00000097526,0.04651750064829442,2.14987540241982e-14,2.238876012903437e-14,0.03459715484701558,0.05842461271433226,Gm26847
ENSMUSG00000018770,0.04320508362758374,1.2795314518031004e-12,1.3202377055965422e-12,0.031281659252656885,0.0551162129543728,Atp5g3
ENSMUSG00000043866,0.04183490771301787,6.367201762961061e-12,6.547201812799763e-12,0.029910286604558557,0.05374762230034877,Taf10
ENSMUSG00000061983,0.04058193607621991,2.6438105130515626e-11,2.7119630547918097e-11,0.02865625989773837,0.052496061143843135,Rps12
ENSMUSG00000060126,0.04014548374863088,4.298733546256728e-11,4.405865415474648e-11,0.028219448868946135,0.052060091344616664,Tpt1
ENSMUSG00000062006,0.03893244285226886,1.6163745426633147e-10,1.6521743451902456e-10,0.027005434947634372,0.05084836769681811,Rpl34
ENSMUSG00000070369,0.03887435143480899,1.7205300118016512e-10,1.7585634590464236e-10,0.02694729781565741,0.050790338480911766,Itgad
ENSMUSG00000061787,0.03764229984178938,6.334311060837825e-10,6.460886758576307e-10,0.025714295672426158,0.04955958716133815,Rps17
ENSMUSG00000037446,0.03697174432464583,1.2659927541169107e-09,1.2896296614006469e-09,0.02504323806052601,0.04888972412034251,Tulp1
ENSMUSG00000018287,0.036815054836160155,1.4857941359375278e-09,1.5128444252286394e-09,0.024886432796426824,0.04873319489822907,Spag7
ENSMUSG00000000253,0.033418527628899374,4.0726505740670295e-08,4.126773293210636e-08,0.021487540201755688,0.045339997864623616,Gmpr
ENSMUSG00000038059,0.03341086303145036,4.101782209648568e-08,4.1557775269793935e-08,0.021479870578443035,0.04533234047094412,Smim3
ENSMUSG00000061477,0.03340876871646031,4.1097773718392e-08,4.163706116753158e-08,0.021477774890403804,0.04533024812410631,Rps7
ENSMUSG00000044468,0.03298494342560033,6.08038219481249e-08,6.158136442827996e-08,0.021053673893928374,0.044906818974653234,Fam46c
ENSMUSG00000020163,0.030075644349097264,7.877180830815594e-07,7.955923475181392e-07,0.018142598164035302,0.04200012353559698,Uqcr11
ENSMUSG00000053565,0.02961938448969838,1.1537206673583e-06,1.1646786655557329e-06,0.017686078027164306,0.041544253688581785,Eif3k
ENSMUSG00000019853,0.02678524925727273,1.0933732870503159e-05,1.1018553110725016e-05,0.014850437477860832,0.038712429873260346,Hebp2
ENSMUSG00000039182,0.02644506818986461,1.4122214698779464e-05,1.4228849937805047e-05,0.014510088631131133,0.038372513366834775,AW209491
ENSMUSG00000026688,0.025740245626703892,2.3769462264507603e-05,2.3937154943322012e-05,0.013804927246330655,0.03766823016421912,Mgst3
ENSMUSG00000028062,0.02531953059331447,3.223520326730033e-05,3.245197271685902e-05,0.013384015625381704,0.037247831432357846,Lamtor2
ENSMUSG00000038292,0.02448381755065529,5.8246227835551983e-05,5.859466466518365e-05,0.01254792462522179,0.036412734170976076,Ccdc155
ENSMUSG00000022354,0.0212295462112445,0.0004915133710728614,0.0004935840437883305,0.009292340543922771,0.03316070193010503,Ndufb9
ENSMUSG00000049517,0.019001449961314913,0.0018118863996572868,0.001818255329207296,0.007063491437883017,0.030933993008615806,Rps23
ENSMUSG00000049422,0.018993022691911072,0.0018204155671148743,0.0018267398129645806,0.00705506154613285,0.030925570761624367,Chchd10
ENSMUSG00000044709,0.018247761542514885,0.0027382445308788547,0.002747195967723833,0.006309575200851739,0.030180747065703825,Gemin7
ENSMUSG00000041841,0.01724456723142587,0.004640784754219797,0.004654243996797698,0.005306098707219104,0.02917812068385441,Rpl37
ENSMUSG00000027765,0.016906080161421175,0.005513621904909571,0.005529160846682995,0.004967521851079526,0.028839819820355,P2ry1
ENSMUSG00000073590,0.016677243347194077,0.006184941493914644,0.006201865777357253,0.0047386258870067335,0.028611107343595402,3222401L13Rik
ENSMUSG00000026895,0.015578957334094626,0.010543295221543798,0.010569987108180618,0.003640073398798565,0.027513400689385795,Ndufa8
ENSMUSG00000024844,0.015524644634855235,0.010816723427816024,0.010843222015341296,0.0035857482695145675,0.02745911589384629,Banf1
