,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000078439,0.5743242576233358,0.0,0.0,0.5662676958561553,0.5822710813036759,Smim24
ENSMUSG00000006611,0.5625809124416321,0.0,0.0,0.5543650040486828,0.5706871852473775,Hfe
ENSMUSG00000068874,0.5312844278282388,0.0,0.0,0.5226602591238095,0.5397998747601264,Selenbp1
ENSMUSG00000027793,0.5279948378195333,0.0,0.0,0.5193291415206477,0.5365519610066078,Ccna1
ENSMUSG00000086784,0.5271447919431738,0.0,0.0,0.5184684075279264,0.5357126432528297,Isoc2a
ENSMUSG00000039195,0.5256668099233879,0.0,0.0,0.5169718838497177,0.5342532740013594,1110008P14Rik
ENSMUSG00000047260,0.5042989123321072,0.0,0.0,0.4953418579627226,0.5131487494910209,Emc6
ENSMUSG00000004610,0.5018529438055914,0.0,0.0,0.4928665920208808,0.5107322463077612,Etfb
ENSMUSG00000042312,0.5013352524896609,0.0,0.0,0.4923427185315627,0.5102207733667086,S100a13
ENSMUSG00000030137,0.49077669025664894,0.0,0.0,0.48165948923917007,0.49978766635180893,Tuba8
ENSMUSG00000027808,0.48867672357801517,0.0,0.0,0.47953505084861187,0.49771233936241666,Serp1
ENSMUSG00000024369,0.48575517904376087,0.0,0.0,0.47657963867767694,0.4948249022888628,Nelfe
ENSMUSG00000097148,0.48539901516306844,0.0,0.0,0.4762193601941292,0.4944728827337054,Gm3839
ENSMUSG00000017697,0.4828615853176135,0.0,0.0,0.47365270574125007,0.491964892293567,Ada
ENSMUSG00000046949,0.4804368557419926,0.0,0.0,0.471200195721284,0.4895681533893158,Nqo2
ENSMUSG00000018821,0.4775435601288166,0.0,0.0,0.46827393812108103,0.48670807693594864,Avpi1
ENSMUSG00000001663,0.47429114113842225,0.0,0.0,0.4649847085627772,0.48349276576919054,Gstt1
ENSMUSG00000018387,0.47206900455953954,0.0,0.0,0.46273756977782665,0.48129583942761855,Shroom1
ENSMUSG00000091780,0.4705517156385329,0.0,0.0,0.46120327808406153,0.4797956976163786,Sco2
ENSMUSG00000025497,0.4691333687791012,0.0,0.0,0.45976908775236913,0.4783933308298791,Cdhr5
ENSMUSG00000014606,0.46646906147777106,0.0,0.0,0.45707515118630027,0.4757589137527704,Slc25a11
ENSMUSG00000036430,0.4660614035061744,0.0,0.0,0.45666297492933094,0.47535581449563674,Tbcc
ENSMUSG00000047040,0.46449734079169913,0.0,0.0,0.45508161433019406,0.4738092060085214,Prr15l
ENSMUSG00000072941,0.4629173463627288,0.0,0.0,0.45348420611852136,0.47224678527096525,Sod3
ENSMUSG00000021604,0.46008807132531393,0.0,0.0,0.45062389987156515,0.46944883272424154,Irx4
ENSMUSG00000053898,0.458639133092559,0.0,0.0,0.44915914506267857,0.46801586268126766,Ech1
ENSMUSG00000026969,0.45781560326172965,0.0,0.0,0.4483266483116145,0.46720138667742667,Fam166a
ENSMUSG00000024521,0.4573718508308795,0.0,0.0,0.447878070952564,0.466762506224042,Pmaip1
ENSMUSG00000101447,0.4571116408799487,0.0,0.0,0.44761503395711155,0.46650515097830086,Gm28826
ENSMUSG00000049422,0.456448454955388,0.0,0.0,0.44694465029713765,0.4658492335260563,Chchd10
ENSMUSG00000027568,0.45516086415350504,0.0,0.0,0.4456431154065254,0.4645757251303747,Ntsr1
ENSMUSG00000041079,0.454929090911255,0.0,0.0,0.4454088364268379,0.46434648266064193,Rwdd2b
ENSMUSG00000036169,0.45471883849412953,0.0,0.0,0.44519631206508864,0.4641385249348011,Sostdc1
ENSMUSG00000022982,0.4541615113196755,0.0,0.0,0.44463296771815913,0.4635872753949281,Sod1
ENSMUSG00000030674,0.4527902105294482,0.0,0.0,0.44324689379576215,0.4622308975302788,Qprt
ENSMUSG00000020447,0.45169516448069974,0.0,0.0,0.4421400834991307,0.4611477363923797,Npc1l1
ENSMUSG00000096215,0.4510951754268567,0.0,0.0,0.44153366101020536,0.46055424727936406,Smim22
ENSMUSG00000026922,0.4485051563934161,0.0,0.0,0.43891597051261244,0.4579921899835203,Agpat2
ENSMUSG00000099370,0.443547715805691,0.0,0.0,0.43390601911055715,0.45308783013708703,Platr10
ENSMUSG00000030342,0.4430932350193967,0.0,0.0,0.43344675415237666,0.45263818670781375,Cd9
ENSMUSG00000016942,0.44220236306199956,0.0,0.0,0.4325465188121174,0.45175678284068777,Tmprss6
ENSMUSG00000049751,0.4399097308660657,0.0,0.0,0.4302298787548986,0.44948843072485994,Rpl36al
ENSMUSG00000024150,0.4393298604373689,0.0,0.0,0.42964395627225005,0.4489146818293391,Mcfd2
ENSMUSG00000039168,0.4384000093748269,0.0,0.0,0.42870441746529386,0.4479946304519426,Dap
ENSMUSG00000045503,0.4380488691115494,0.0,0.0,0.428349624267763,0.4476471855639005,Sys1
ENSMUSG00000021622,0.4373310958939448,0.0,0.0,0.4276243933145707,0.4469369571237572,Ckmt2
ENSMUSG00000022542,0.43677061129215194,0.0,0.0,0.42705809390986427,0.4463823555609149,Sept12
ENSMUSG00000097703,0.4355558980114499,0.0,0.0,0.4258308046151763,0.44518036698424185,Gm26623
ENSMUSG00000050761,0.4329596299222806,0.0,0.0,0.4232077771528968,0.44261117975286074,Gp1bb
ENSMUSG00000058135,0.43209825628527826,0.0,0.0,0.4223375615706165,0.4417587558256599,Gstm1
ENSMUSG00000079554,0.4318042466413083,0.0,0.0,0.422040538055122,0.4414677969616944,Aox2
ENSMUSG00000045665,0.4313244666899193,0.0,0.0,0.4215558444154328,0.44099299106483414,Mfsd5
ENSMUSG00000030688,0.43077229676212025,0.0,0.0,0.42099802632259153,0.4404465389866521,Stard10
ENSMUSG00000027317,0.42910996761556464,0.0,0.0,0.41931873778491935,0.4388013803744484,Ppp1r14d
ENSMUSG00000047719,0.4288034356623055,0.0,0.0,0.41900908585238766,0.4384980075568068,Ubiad1
ENSMUSG00000014177,0.42837006942521505,0.0,0.0,0.4185713125637574,0.43806910384697667,Tvp23b
ENSMUSG00000006724,0.4282199499776646,0.0,0.0,0.4184196675613701,0.43792052920332825,Cyp27b1
ENSMUSG00000052131,0.42806447062661424,0.0,0.0,0.41826260876268817,0.43776664925365005,Akr1b7
ENSMUSG00000073616,0.4266409727911054,0.0,0.0,0.41682467747458096,0.436357768380148,Myeov2
ENSMUSG00000021871,0.4265453051112463,0.0,0.0,0.4167280415410548,0.43626308133998687,Pnp
ENSMUSG00000076441,0.42648931010669566,0.0,0.0,0.4166714799133769,0.43620766021129787,Ass1
ENSMUSG00000024386,0.4264798667914983,0.0,0.0,0.4166619410471321,0.4361983136705156,Proc
ENSMUSG00000024782,0.42621271202146244,0.0,0.0,0.41639208399948624,0.4359338958145472,Ak3
ENSMUSG00000034139,0.42614684266375885,0.0,0.0,0.4163255486373855,0.4358687010091615,Serpini2
ENSMUSG00000050368,0.42537877510243444,0.0,0.0,0.4155497229171458,0.4351084915128342,Hoxd10
ENSMUSG00000025467,0.4251772159714501,0.0,0.0,0.4153461302304261,0.4349089922264431,Prap1
ENSMUSG00000047084,0.42487546079562927,0.0,0.0,0.41504133244920366,0.43461031906842823,Ngrn
ENSMUSG00000022856,0.4244311170782382,0.0,0.0,0.41459251242091366,0.43417050981836297,Tmem41a
ENSMUSG00000071521,0.42392504586591373,0.0,0.0,0.41408134888599907,0.4336695973386379,Try10
ENSMUSG00000020766,0.42340696891048096,0.0,0.0,0.41355806523187655,0.43315679525975076,Galk1
ENSMUSG00000073676,0.4205501539964246,0.0,0.0,0.4106726560467429,0.4303289540527036,Hspe1
ENSMUSG00000025792,0.42033627817382335,0.0,0.0,0.41045664746998956,0.43011723962749093,Slc25a10
ENSMUSG00000066235,0.4199665637739799,0.0,0.0,0.41008324891993314,0.42975125896927463,Pomgnt2
ENSMUSG00000051373,0.4186424826892112,0.0,0.0,0.4087460007395746,0.4284405233898399,Plpp7
ENSMUSG00000030483,0.41810934263488414,0.0,0.0,0.40820757096561444,0.42791274524641965,Cyp2b10
ENSMUSG00000024029,0.4174366958409677,0.0,0.0,0.40752826012018323,0.427246853875582,Tff3
ENSMUSG00000045664,0.4167146552722711,0.0,0.0,0.40679907834880563,0.4265320529502362,Cdc42ep2
ENSMUSG00000008193,0.4165366577279351,0.0,0.0,0.4066193222955076,0.42635583823959244,Spib
ENSMUSG00000110104,0.4153200121521051,0.0,0.0,0.4053906775522089,0.4251513586991622,RP24-243J4.5
ENSMUSG00000036880,0.4146037397437818,0.0,0.0,0.4046673576833258,0.4244422324830809,Acaa2
ENSMUSG00000027463,0.41456722724196354,0.0,0.0,0.4046304862651794,0.4244060839402612,Slc52a3
ENSMUSG00000020085,0.4144774898706913,0.0,0.0,0.4045398669166694,0.42431724094369677,Aifm2
ENSMUSG00000033917,0.4140294866415927,0.0,0.0,0.4040874634394169,0.42387369994103274,Gde1
ENSMUSG00000008384,0.41319886628112346,0.0,0.0,0.4032486976675691,0.4230513402787316,Sertad1
ENSMUSG00000066042,0.4131043919094278,0.0,0.0,0.4031532978995358,0.4229578044469435,Med18
ENSMUSG00000021771,0.4128069877167705,0.0,0.0,0.4028529819823727,0.42266335339576344,Vdac2
ENSMUSG00000043091,0.41269885731407924,0.0,0.0,0.40274379346436234,0.42255629618228396,Tuba1c
ENSMUSG00000031482,0.41220884094560434,0.0,0.0,0.4022489855680889,0.4220711397556447,Slc25a15
ENSMUSG00000035674,0.41214641535048885,0.0,0.0,0.40218594997451834,0.4220093328867473,Ndufa3
ENSMUSG00000031916,0.4120394156397637,0.0,0.0,0.4020779049241874,0.42190339348171696,Cog8
ENSMUSG00000034456,0.4117001821170392,0.0,0.0,0.40173535907480684,0.4215675197877023,Uroc1
ENSMUSG00000028607,0.4103274031870706,0.0,0.0,0.40034920460086076,0.4202083094554898,Cpt2
ENSMUSG00000089876,0.4095747003514144,0.0,0.0,0.3995891872575267,0.4194630275417786,Tmem102
ENSMUSG00000057137,0.4082295514416807,0.0,0.0,0.39823100083917595,0.4181311073007325,Tmem140
ENSMUSG00000026526,0.4082094088680926,0.0,0.0,0.39821066337204203,0.41811116249277763,Fh1
ENSMUSG00000020321,0.40749827633523233,0.0,0.0,0.39749265643218995,0.4174070059472678,Mdh1
ENSMUSG00000048217,0.4070729732668605,0.0,0.0,0.39706324788054714,0.41698586928225423,Nags
ENSMUSG00000040413,0.40646102861487676,0.0,0.0,0.39644540376867843,0.41637991196559454,Timd2
ENSMUSG00000027984,0.4063225193022164,0.0,0.0,0.39630556041442805,0.4162427566206524,Hadh
ENSMUSG00000027788,0.4061083074989716,0.0,0.0,0.396089286362232,0.41603063790940015,Otol1
ENSMUSG00000009646,0.4053730863408095,0.0,0.0,0.3953469955759089,0.41530259248172374,Pla2g12b
ENSMUSG00000021591,0.4052963608549295,0.0,0.0,0.3952695330793351,0.4152266151006697,Glrx
ENSMUSG00000044080,0.40527015759795393,0.0,0.0,0.395243078151434,0.41520066730441807,S100a1
ENSMUSG00000029048,0.40509026582612717,0.0,0.0,0.3950614590461928,0.4150225288967486,Rer1
ENSMUSG00000041241,0.4048936641671102,0.0,0.0,0.3948629705008294,0.4148278425984232,Mul1
