,Pharyngeal Mesoderm/Neural Crest_2_corr,Pharyngeal Mesoderm/Neural Crest_2_pval,Pharyngeal Mesoderm/Neural Crest_2_qval,Pharyngeal Mesoderm/Neural Crest_2_ci_low,Pharyngeal Mesoderm/Neural Crest_2_ci_high,gene_annotation
ENSMUSG00000090862,0.30212190199895533,0.0,0.0,0.2912328770618178,0.31293265144740096,Rps13
ENSMUSG00000041841,0.29798594318495975,0.0,0.0,0.2870677178295723,0.308826753777719,Rpl37
ENSMUSG00000075227,0.28792401081551167,0.0,0.0,0.2769364705139036,0.2988362664886666,Znhit2
ENSMUSG00000000552,0.28749217356689066,0.0,0.0,0.2765017130773752,0.29840744197719893,Zfp385a
ENSMUSG00000059291,0.28387832608118935,0.0,0.0,0.2728636042213507,0.29481863394543484,Rpl11
ENSMUSG00000019689,0.28318604696465344,0.0,0.0,0.2721667134791121,0.2941311162327815,Fmc1
ENSMUSG00000008683,0.28138166876079573,0.0,0.0,0.27035036971555315,0.2923390950648266,Rps15a
ENSMUSG00000062328,0.2769653866536764,0.0,0.0,0.26590513273690514,0.28795273257226567,Rpl17
ENSMUSG00000071451,0.27690458200932283,0.0,0.0,0.26584393271597967,0.287892336652164,Psmg4
ENSMUSG00000032959,0.274523887376213,0.0,0.0,0.26344782791560045,0.2855275761629702,Pebp1
ENSMUSG00000030034,0.273720197717661,0.0,0.0,0.2626389668522425,0.2847292353985238,Ino80b
ENSMUSG00000028234,0.2730169685654255,0.0,0.0,0.2619312254918119,0.2840306740058763,Rps20
ENSMUSG00000059689,0.26803528307488744,0.0,0.0,0.25691791684909693,0.27908172017387467,Zfp637
ENSMUSG00000012848,0.2676086699900725,0.0,0.0,0.256488623486008,0.2786578828275997,Rps5
ENSMUSG00000025362,0.26254163894910415,0.0,0.0,0.2513900933486194,0.2736234910316102,Rps26
ENSMUSG00000043716,0.26191684521975417,0.0,0.0,0.2507614584592696,0.2730026798520468,Rpl7
ENSMUSG00000024608,0.2613145178589023,0.0,0.0,0.2501554369659827,0.2724041830948825,Rps14
ENSMUSG00000023723,0.25769301489130475,0.0,0.0,0.24651190728964992,0.2688055307769867,Mrps23
ENSMUSG00000028998,0.2554779009004577,0.0,0.0,0.24428347630831793,0.2666042405995476,Tomm7
ENSMUSG00000057278,0.25237793119506685,0.0,0.0,0.24116506847384764,0.26352342189890715,Snrpg
ENSMUSG00000076437,0.2523107087513498,0.0,0.0,0.24109744876653172,0.26345661222354383,Selenoh
ENSMUSG00000036111,0.25126501899756254,0.0,0.0,0.2400455933326093,0.2624173295874421,Lmo1
ENSMUSG00000027133,0.2510099621483322,0.0,0.0,0.23978903659309844,0.2621638315895065,Nop10
ENSMUSG00000063457,0.25061493339838536,0.0,0.0,0.23939168792587612,0.26177121413000887,Rps15
ENSMUSG00000049517,0.24882846846472265,0.0,0.0,0.237594778418302,0.25999560782701026,Rps23
ENSMUSG00000064264,0.2469454060878558,0.0,0.0,0.2357007899397089,0.2581239094677037,Zfp428
ENSMUSG00000028964,0.24536016509099362,0.0,0.0,0.23410641711126348,0.2565481701199927,Park7
ENSMUSG00000045031,0.24427428136919654,0.0,0.0,0.2330143130539148,0.2554687606663496,Cetn4
ENSMUSG00000037152,0.24266034117836996,0.0,0.0,0.2313911801036295,0.25386439156258667,Ndufc1
ENSMUSG00000031546,0.24131760315239734,0.0,0.0,0.2300408418530692,0.2525295693398573,Gins4
ENSMUSG00000052926,0.23978807229092344,0.0,0.0,0.2285027063755361,0.2510090034807525,Rnaseh2a
ENSMUSG00000039001,0.2390873330329041,0.0,0.0,0.22779804381706525,0.250312352951429,Rps21
ENSMUSG00000051518,0.23902958881020347,0.0,0.0,0.22773997682324965,0.2502549451408751,Rps19bp1
ENSMUSG00000085301,0.2373806457133554,0.0,0.0,0.2260818505641489,0.24861557531338002,Gm12132
ENSMUSG00000044533,0.23617091010468913,0.0,0.0,0.22486541942979796,0.24741282213225355,Rps2
ENSMUSG00000042462,0.23596042268694625,0.0,0.0,0.22465377062608952,0.2472035460803032,Dctpp1
ENSMUSG00000068327,0.2328712220347407,0.0,0.0,0.22154764770913826,0.24413200326615678,Tlx2
ENSMUSG00000038374,0.23258392555345708,0.0,0.0,0.22125878913065172,0.24384633748455675,Rbm8a
ENSMUSG00000025508,0.23252353491002498,0.0,0.0,0.221198070382129,0.243786289370855,Rplp2
ENSMUSG00000032398,0.23191616521628994,0.0,0.0,0.22058740570368704,0.24318235981603228,Snapc5
ENSMUSG00000038812,0.23034354957358744,0.0,0.0,0.21900629987815776,0.24161861087179662,Trmt112
ENSMUSG00000059070,0.2292434797757103,0.0,0.0,0.21790032645195426,0.2405247086605451,Rpl18
ENSMUSG00000058558,0.22895677923759733,0.0,0.0,0.21761209209394383,0.24023961081326548,Rpl5
ENSMUSG00000022313,0.2277918475992792,0.0,0.0,0.21644094853885099,0.23908117126121176,Utp23
ENSMUSG00000021520,0.22752009292435088,0.0,0.0,0.2161677494501979,0.23881092643396687,Uqcrb
ENSMUSG00000037563,0.22673055517389865,0.0,0.0,0.21537402528227914,0.2380257653713227,Rps16
ENSMUSG00000058546,0.2264658414515273,0.0,0.0,0.2151079113098673,0.2377625157463862,Rpl23a
ENSMUSG00000055762,0.22400540050561,3.293323937900713e-306,1.554955563910352e-303,0.21263453612154515,0.23531560378119967,Eef1d
ENSMUSG00000000740,0.22274802165815832,1.0935729357303268e-302,4.9721116144538854e-300,0.21137060364156413,0.23406508339732082,Rpl13
ENSMUSG00000022193,0.2222539464945821,2.6079828851084182e-301,1.1233543121961733e-298,0.21087396370325565,0.2335736929539972,Psmb5
ENSMUSG00000062647,0.21984407683672325,1.2165290703409017e-294,4.97803695583497e-292,0.20845166847230975,0.23117683523423113,Rpl7a
ENSMUSG00000026895,0.2195823745802998,6.373318279285083e-294,2.565208367098481e-291,0.20818862526080564,0.2309165377416745,Ndufa8
ENSMUSG00000001289,0.21824388846116202,2.936234314985513e-290,1.1264128890863174e-287,0.20684330654672717,0.22958521097149262,Pfdn5
ENSMUSG00000036992,0.21781438257806857,4.344824783668515e-289,1.6411405859789133e-286,0.2064116172934814,0.2291579934523496,Nxt1
ENSMUSG00000032532,0.21352233355586006,1.5442479348996872e-277,5.416339328236731e-275,0.2020979936784189,0.22488857197786352,Cck
ENSMUSG00000040289,0.2132468656848296,8.340845524782217e-277,2.8442283239507357e-274,0.20182115626554026,0.22461454145954476,Hey1
ENSMUSG00000027566,0.21252259001028523,6.951000164531338e-275,2.306229135669911e-272,0.2010932884246683,0.22389403637543878,Psma7
ENSMUSG00000028044,0.2120070115682218,1.6029736316776732e-273,5.247494480660031e-271,0.20057516057468944,0.22338113446940655,Cks1b
ENSMUSG00000055839,0.21192684985863766,2.6091048322838258e-273,8.428781821346381e-271,0.2004946030597252,0.2233013883396413,Tceb2
ENSMUSG00000074483,0.21187026210062646,3.67947183690131e-273,1.1732258771376749e-270,0.20043773598784453,0.22324509385607494,Bglap
ENSMUSG00000098274,0.21154673644892694,2.6210451964152214e-272,8.250243802870065e-270,0.20011261491168686,0.222923243467032,Rpl24
ENSMUSG00000064326,0.21006493400595527,2.019517827236613e-268,5.973879722206425e-266,0.19862353733188343,0.2214490823165005,Siva1
ENSMUSG00000057841,0.20966165711267798,2.2789801091394216e-267,6.66113329042751e-265,0.19821828963273272,0.22104787601622816,Rpl32
ENSMUSG00000030879,0.20933991854586673,1.569657818816864e-266,4.429682616964557e-264,0.19789498154188073,0.2207277866265169,Mrpl17
ENSMUSG00000006412,0.20863617803174153,1.0565331369314689e-264,2.882222397549047e-262,0.19718781667939173,0.220027644815447,Pfdn2
ENSMUSG00000026377,0.2084516242554786,3.1779735848331993e-264,8.574242577453265e-262,0.1970023668501271,0.2198440328454407,Nifk
ENSMUSG00000059355,0.20775184120239634,2.0479575951513527e-262,5.292784723805896e-260,0.19629919362496104,0.2191478135598926,Wdr83os
ENSMUSG00000003970,0.2070432608879633,1.368686729099486e-260,3.3943430881667254e-258,0.19558719252153423,0.2184428299895473,Rpl8
ENSMUSG00000036781,0.20440691769606137,7.331974580509364e-254,1.5653446947883993e-251,0.19293822800015106,0.2158197643420584,Rps27l
ENSMUSG00000005732,0.20328140280509907,5.113023450243746e-251,1.020609363824264e-248,0.1918073756944979,0.21469986776085237,Ranbp1
