,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000055609,0.7410686791794384,0.0,0.0,0.7356380693390159,0.7464040314137586,Hba-x
ENSMUSG00000052187,0.7244648232574015,0.0,0.0,0.7187422330335417,0.7300892640238629,Hbb-y
ENSMUSG00000069919,0.7069787879440147,0.0,0.0,0.7009560080735829,0.7129007421188143,Hba-a1
ENSMUSG00000069917,0.6717576670552409,0.0,0.0,0.6651529598048985,0.6782572712847791,Hba-a2
ENSMUSG00000052217,0.6273964600284248,0.0,0.0,0.620101982707532,0.6345824663873882,Hbb-bh1
ENSMUSG00000052305,0.6228543000539319,0.0,0.0,0.6154919104414736,0.6301079955865141,Hbb-bs
ENSMUSG00000073940,0.5846821068620104,0.0,0.0,0.5767688815641174,0.5924856160304628,Hbb-bt
ENSMUSG00000063856,0.34422745437132385,0.0,0.0,0.3336592075771064,0.3547091873339527,Gpx1
ENSMUSG00000005131,0.30209442973786915,0.0,0.0,0.2912052094808833,0.3129053801943303,4930550C14Rik
ENSMUSG00000024661,0.28672369941023573,0.0,0.0,0.275728053438342,0.2976443182252488,Fth1
ENSMUSG00000031897,0.26549441299995363,0.0,0.0,0.25436114802026377,0.2765573186326971,Psmb10
ENSMUSG00000027078,0.25281665748225757,0.0,0.0,0.24160639017004984,0.2639594516334674,Ube2l6
ENSMUSG00000021550,0.25012241078593844,0.0,0.0,0.23889627810169126,0.26128169274723084,2210016F16Rik
ENSMUSG00000016252,0.24185206494587616,0.0,0.0,0.23057832362858155,0.25306088544937666,Atp5e
ENSMUSG00000038695,0.23041714789815498,0.0,0.0,0.2190802942148103,0.24169179554158302,Josd2
ENSMUSG00000030432,0.22654058651732908,0.0,0.0,0.21518305158201945,0.23783684757501555,Rpl28
ENSMUSG00000049960,0.22638545791347325,0.0,0.0,0.215027102902735,0.2376825764708216,Mrps16
ENSMUSG00000007892,0.2254137020636053,3.52331427594923e-310,7.65458031175165e-310,0.21405022311941535,0.23671617919886415,Rplp1
ENSMUSG00000006574,0.22277839446558934,8.996143504347656e-303,1.9060520824882953e-302,0.21140113430779894,0.23409529097544202,Slc4a1
ENSMUSG00000036751,0.2162367607089452,8.200070571670732e-285,1.635883096413909e-284,0.20482601376511328,0.227588739484934,Cox6b1
ENSMUSG00000021361,0.2143022837620004,1.2852464268727267e-279,2.5230167324361707e-279,0.20288183146052993,0.22566444276113476,Tmem14c
ENSMUSG00000021606,0.21409810502255333,4.5107883803280565e-279,8.842931676286685e-279,0.20267663360039595,0.22546133334337287,Ndufs6
ENSMUSG00000034825,0.19274539074890903,3.0448068929293196e-225,5.014495494714291e-225,0.18122287710325635,0.20421499274569346,Nrip3
ENSMUSG00000049760,0.18656019842558036,8.16360713658226e-211,1.2867232613299586e-210,0.17501046392541625,0.19805859443954318,2410015M20Rik
ENSMUSG00000097526,0.18497932886660928,3.28815064337217e-207,5.1228297859047856e-207,0.17342278455927815,0.19648493874634268,Gm26847
ENSMUSG00000028398,0.18314783125088913,4.484221237266281e-203,6.903906679460821e-203,0.1715834726273433,0.19466172455236372,Tmem261
ENSMUSG00000000253,0.16599222706434122,1.6621968886598885e-166,2.2994285559148963e-166,0.15435858537064676,0.17757984713561237,Gmpr
ENSMUSG00000006717,0.16440246810141754,2.591892968025367e-163,3.557278559503539e-163,0.152762764096806,0.17599656663074423,Acot13
ENSMUSG00000060126,0.16295520763769233,1.9576568243147652e-160,2.6655052323966347e-160,0.1513100375005948,0.17455515176333408,Tpt1
ENSMUSG00000002416,0.16261800332345802,9.086823269606206e-160,1.2348463215551643e-159,0.15097156683088764,0.17421930230175914,Ndufb2
ENSMUSG00000033307,0.15635882702886755,1.163483608844086e-147,1.5283210938066446e-147,0.14468938022052913,0.16798478467733455,Mif
ENSMUSG00000026688,0.1555682437376992,3.622626790151769e-146,4.738238528867748e-146,0.14389595745828004,0.16719724981135903,Mgst3
ENSMUSG00000061983,0.15258860532887566,1.3024637670848623e-140,1.6752981144943177e-140,0.1409057521896458,0.1642289672794701,Rps12
ENSMUSG00000032126,0.1524016928691373,2.880562918840219e-140,3.7008676495743097e-140,0.14071818397633554,0.1640427601459864,Hmbs
ENSMUSG00000018287,0.14949607719658048,5.762285993195305e-135,7.297449100166665e-135,0.1378024822529866,0.16114800231206858,Spag7
ENSMUSG00000022899,0.14777771577792498,6.996158172879451e-132,8.78123181128451e-132,0.1360782513775496,0.15943596779883884,Slc15a2
ENSMUSG00000020163,0.1473113468792757,4.736318448005736e-131,5.931753240942503e-131,0.13561030171733143,0.15897130394394524,Uqcr11
ENSMUSG00000061477,0.14673872075162075,4.9144060019161556e-130,6.138819443350061e-130,0.1350357418083726,0.15840076427110023,Rps7
ENSMUSG00000018770,0.14604035089966344,8.413208369111722e-129,1.0475762850108073e-128,0.13433502418575152,0.1577049285004465,Atp5g3
ENSMUSG00000024844,0.14585870367863243,1.757023719325404e-128,2.185885298042935e-128,0.13415276822378847,0.1575239385000594,Banf1
ENSMUSG00000026895,0.1399674623146956,2.455392682349486e-118,2.973356406266071e-118,0.12824221328611607,0.15165358742407842,Ndufa8
ENSMUSG00000061787,0.138666225888748,3.7304995087691985e-116,4.493510471437049e-116,0.12693682324270536,0.15035685400715962,Rps17
ENSMUSG00000035745,0.13765251697297878,1.8052755104825436e-114,2.1645321254757734e-114,0.12591990666697322,0.14934662521814493,Grin3b
ENSMUSG00000111410,0.1330616020343495,5.305495921263847e-107,6.2397267608196e-107,0.12131477345455442,0.14477116551174002,RP23-276M23.6
ENSMUSG00000107047,0.13059004985862901,4.3229715062894983e-103,5.031410117204066e-103,0.11883577614857552,0.14230772638863823,Gm43298
ENSMUSG00000006333,0.12887473424261747,2.01948764644042e-100,2.3336217204972553e-100,0.11711537957460369,0.14059795608810838,Rps9
ENSMUSG00000020287,0.12823224009530146,1.975451290245387e-99,2.276948503737136e-99,0.11647100045567513,0.1399575210110796,Mpg
ENSMUSG00000057841,0.1264447324374994,1.0570425335637871e-96,1.2106973448431657e-96,0.11467830063794354,0.13817569035474705,Rpl32
ENSMUSG00000062006,0.12450444785772156,8.723711195473277e-94,9.937575152937405e-94,0.11273246686663409,0.13624148202890896,Rpl34
ENSMUSG00000028062,0.12343551299811016,3.369177876289487e-92,3.823613535114148e-92,0.11166051343783501,0.1351758564491793,Lamtor2
ENSMUSG00000070369,0.12267428498716983,4.455683150638437e-91,5.044774393104676e-91,0.11089715249753256,0.13441696854061694,Itgad
ENSMUSG00000003429,0.12245899872745232,9.220534308646832e-91,1.0433337558572081e-90,0.11068126553540478,0.13420234159691463,Rps11
ENSMUSG00000036825,0.12234789982548973,1.3412882151592231e-90,1.517431953671977e-90,0.1105698570745541,0.13409158250530595,Ssx2ip
ENSMUSG00000039182,0.11693452611099231,7.47135891065676e-83,8.321016283712623e-83,0.10514175844155237,0.12869441081762498,AW209491
ENSMUSG00000027765,0.11589196868593664,2.1068005523945936e-81,2.3394919566889217e-81,0.10409644584751274,0.12765489371816427,P2ry1
ENSMUSG00000073590,0.11338265835072532,5.744868613124924e-78,6.332690440867559e-78,0.10158061099195673,0.12515279512058944,3222401L13Rik
ENSMUSG00000021102,0.11337291375650507,5.922037204246689e-78,6.527401007347462e-78,0.10157084135481693,0.1251430782404092,Glrx5
ENSMUSG00000047675,0.11227654238853857,1.774828922063022e-76,1.9503020943692122e-76,0.1004716669257645,0.12404981058043843,Rps8
ENSMUSG00000044468,0.10928693765015256,1.5881511428930844e-72,1.7326824946814346e-72,0.09747456516216413,0.1210685238428749,Fam46c
