,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000040842,0.8456002983728226,0.0,0.0,0.8421632991757024,0.8489685906910938,Szrd1
ENSMUSG00000022774,0.8391412845563255,0.0,0.0,0.8355733146736916,0.8426384688111098,Ncbp2
ENSMUSG00000029466,0.8254045584395847,0.0,0.0,0.821561459390295,0.8291726494537195,Anapc7
ENSMUSG00000017176,0.823528387575477,0.0,0.0,0.8196480714946449,0.8273331397049478,Nt5c3b
ENSMUSG00000007656,0.8202397209364297,0.0,0.0,0.8162943774413285,0.8241085379958489,Arpp19
ENSMUSG00000001910,0.8189972878646676,0.0,0.0,0.8150274467311672,0.8228902428967967,Nacc1
ENSMUSG00000045598,0.8170767963642868,0.0,0.0,0.8130691626787064,0.8210069922497818,Zfp553
ENSMUSG00000037503,0.8170349960660728,0.0,0.0,0.8130265408182841,0.8209660015632012,Fam168b
ENSMUSG00000037017,0.8147095051812913,0.0,0.0,0.8106554113492631,0.8186854882562653,Zscan21
ENSMUSG00000015869,0.8133781674510338,0.0,0.0,0.8092980054928142,0.8173798436221844,Prpsap1
ENSMUSG00000048310,0.8133071558777049,0.0,0.0,0.8092256047085723,0.8173102013255529,Pskh1
ENSMUSG00000020778,0.8128766430238504,0.0,0.0,0.808786672316109,0.8168879873078693,Ten1
ENSMUSG00000025786,0.8124221188779069,0.0,0.0,0.8083232639876193,0.8164422201897443,Zdhhc3
ENSMUSG00000032309,0.8120858581609612,0.0,0.0,0.8079804339476496,0.8161124349105211,Fbxo22
ENSMUSG00000040843,0.8101404897982923,0.0,0.0,0.8059971146534984,0.8142044774064244,Tiprl
ENSMUSG00000046691,0.8086525076698932,0.0,0.0,0.8044801672380387,0.8127450510129558,Chtf8
ENSMUSG00000040550,0.8084220249243611,0.0,0.0,0.8042452027482503,0.8125189868477568,Otud6b
ENSMUSG00000036748,0.8072032674262926,0.0,0.0,0.8030027681799884,0.8113235736397303,Cuedc2
ENSMUSG00000020677,0.8053856290629995,0.0,0.0,0.8011498859837622,0.8095406866157243,Ddx52
ENSMUSG00000042572,0.8050249605721205,0.0,0.0,0.8007822338205149,0.8091869046148048,Ube2q1
ENSMUSG00000031516,0.8025276162381839,0.0,0.0,0.7982366207816699,0.8067371609853479,Dctn6
ENSMUSG00000036955,0.8009943084373795,0.0,0.0,0.7966737531287553,0.8052330071454809,Kif1bp
ENSMUSG00000036980,0.8006961753467892,0.0,0.0,0.7963698791926934,0.8049405363540797,Taf6
ENSMUSG00000011958,0.80059903739489,0.0,0.0,0.7962708712258925,0.8048452428513745,Bnip2
ENSMUSG00000035478,0.7997298897258338,0.0,0.0,0.7953850018049373,0.8039925887585138,Mbd3
ENSMUSG00000003345,0.7984901673204051,0.0,0.0,0.7941214601882394,0.8027763618906953,Csnk1g2
ENSMUSG00000022757,0.7955336516432587,0.0,0.0,0.7911082923813744,0.799875734907915,Tfg
ENSMUSG00000029213,0.7946808694694298,0.0,0.0,0.7902392092829585,0.7990390356648354,Commd8
ENSMUSG00000016946,0.7941865174762989,0.0,0.0,0.7897354159361551,0.7985539991086352,Kctd5
ENSMUSG00000030410,0.79335074941827,0.0,0.0,0.788883699664701,0.7977339671401154,Dmwd
