,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000042462,0.2954991372031472,0.0,0.0,0.2845635533958283,0.3063578279769854,Dctpp1
ENSMUSG00000027133,0.2823005343537192,0.0,0.0,0.27127531886454237,0.2932516775490305,Nop10
ENSMUSG00000014226,0.2665215449926464,0.0,0.0,0.25539468825249595,0.2775778117010349,Cacybp
ENSMUSG00000041453,0.25467517439970927,0.0,0.0,0.24347595310166573,0.26580649500055015,Rpl21
ENSMUSG00000057497,0.24624737305848426,0.0,0.0,0.2349987284099943,0.25743006765095683,Fam136a
ENSMUSG00000019505,0.24086414349422494,0.0,0.0,0.22958482531073912,0.25207877330905976,Ubb
ENSMUSG00000030224,0.2396637713995059,0.0,0.0,0.22837770868527318,0.25088542871805347,Strap
ENSMUSG00000078572,0.23910664433644604,0.0,0.0,0.2278174630823268,0.2503315517316082,Ndufaf8
ENSMUSG00000057130,0.2389958328701741,0.0,0.0,0.22770603223586472,0.2502213858230651,Txnl4a
ENSMUSG00000036992,0.23700389513433864,0.0,0.0,0.22570301100468224,0.24824100300170987,Nxt1
ENSMUSG00000071451,0.23373634487824851,0.0,0.0,0.22241748642676468,0.24499220385473164,Psmg4
ENSMUSG00000063316,0.2332515215542776,0.0,0.0,0.22193001806112422,0.24451014119347675,Rpl27
ENSMUSG00000028643,0.23230007661831897,0.0,0.0,0.2209733987949811,0.2435640977614522,Svbp
ENSMUSG00000026377,0.23184237615508974,0.0,0.0,0.22051321694136686,0.2431089881006454,Nifk
ENSMUSG00000027404,0.22743430226194772,0.0,0.0,0.21608150316772914,0.23872561205454915,Snrpb
ENSMUSG00000098274,0.2271738434675089,0.0,0.0,0.21581966220498577,0.23846659817817742,Rpl24
ENSMUSG00000017764,0.22533014178387265,6.0721189419977e-310,8.769568486113403e-307,0.21396622329921586,0.23663307865345443,Zswim1
ENSMUSG00000027566,0.22488905652311916,1.0702794336743404e-308,1.4598611475318003e-305,0.21352282064426711,0.23619441742771524,Psma7
ENSMUSG00000067847,0.22467407383869734,4.3237279233306326e-308,5.587166735453353e-305,0.21330671017124467,0.23598061453521574,Romo1
ENSMUSG00000010607,0.220714148596206,4.862913140980952e-297,5.9697121718682166e-294,0.2093262103039273,0.23204222496419383,Pigyl
ENSMUSG00000036309,0.21923137888870994,5.854529944700996e-293,6.844781866776135e-290,0.20783583366464176,0.23056742357553472,Skp1a
ENSMUSG00000044627,0.21653935687885648,1.2485604933547047e-285,1.3933935105838505e-282,0.20513013621743387,0.2278897352175448,Swi5
ENSMUSG00000070493,0.21639669699970523,3.0334712366046122e-285,3.2381646000485407e-282,0.2049867564933241,0.22774783013967725,Chchd2
ENSMUSG00000039771,0.21392319286289949,1.3209780758808734e-278,1.3513605716261334e-275,0.202500849196487,0.22528733644540133,Polr2j
ENSMUSG00000086727,0.21391451882789636,1.3932390631124942e-278,1.3682722191015181e-275,0.20249213192534476,0.2252787077800976,4931428L18Rik
ENSMUSG00000022428,0.2135437030723745,1.3547187490553266e-277,1.2792713356463992e-274,0.20211946951392856,0.22490982991608915,Cby1
ENSMUSG00000057322,0.21137617539823852,7.369170958287758e-272,6.701032791403001e-269,0.19994121377516386,0.2227535646077135,Rpl38
ENSMUSG00000106718,0.21040726763621423,2.5705616256315787e-269,2.2540153225895186e-266,0.19896754700969416,0.221789655237773,Gm20052
ENSMUSG00000026051,0.2103414353984347,3.822166489736052e-269,3.2359252295172255e-266,0.19890139224177486,0.22172416180761995,1500015O10Rik
ENSMUSG00000039670,0.20861278601179437,1.2148684736282606e-264,9.942483588173686e-262,0.19716431104021537,0.22000437221323924,Oxld1
ENSMUSG00000001289,0.205231558313892,5.898945934402368e-256,4.671965180046675e-253,0.1937667985666119,0.2166402694864599,Pfdn5
ENSMUSG00000090862,0.20420292794997214,2.4091853854636735e-253,1.8484474869970033e-250,0.19273326863368123,0.21561679509333748,Rps13
ENSMUSG00000021868,0.2041841290716538,2.6881507809498074e-253,1.9999841810266566e-250,0.19271438044939604,0.2155980902103372,Ppif
ENSMUSG00000109324,0.20316537217417757,1.0018881473704249e-250,7.234811115952551e-248,0.19169079655566693,0.214584414620723,Prmt1
ENSMUSG00000074754,0.20278248864772094,9.194437866747627e-250,6.449766814411077e-247,0.19130610533320902,0.21420343446257134,Gm561
ENSMUSG00000028609,0.2012159650324727,7.608520340826735e-246,5.189010872443834e-243,0.18973222246038268,0.21264466206561924,Magoh
ENSMUSG00000046330,0.20076362371512815,1.014606414024694e-244,6.732599101928185e-242,0.18927776710254124,0.2121945481267751,Rpl37a
ENSMUSG00000007721,0.20044621275245528,6.223547629963615e-244,4.021066879233333e-241,0.18895887564118052,0.2118786972347933,Ccdc124
ENSMUSG00000029614,0.19971789780504026,3.947487758641142e-242,2.485095370516854e-239,0.188227172774893,0.21115395291856676,Rpl6
ENSMUSG00000001056,0.1994673609204816,1.6391394493777003e-241,1.0061037940280324e-238,0.18797547341100762,0.21090464140742465,Nhp2
ENSMUSG00000022706,0.19874374858457103,9.89864047608992e-240,5.927595633389261e-237,0.18724851202342613,0.21018455989698676,Mrpl40
ENSMUSG00000008668,0.19873869399675656,1.0185696178944716e-239,5.954266966320253e-237,0.1872434340860487,0.21017952992909114,Rps18
ENSMUSG00000032959,0.19836467429002333,8.427412019871992e-239,4.811856277020864e-236,0.18686768830774564,0.20980733031937077,Pebp1
ENSMUSG00000049086,0.1969480017483737,2.422878118251188e-235,1.3519659899841629e-232,0.18544450843365728,0.2083975216794555,Bmyc
ENSMUSG00000085301,0.1966750245607463,1.1158940521916029e-234,6.088317948757385e-232,0.18517028290004747,0.20812586162262192,Gm12132
ENSMUSG00000024309,0.19575317321036623,1.905742195556412e-232,1.0171691822891526e-229,0.1842442290934701,0.20720844520166873,Pfdn6
ENSMUSG00000055762,0.19542431438930485,1.184831259168776e-231,6.18935682449187e-229,0.18391387604401152,0.20688116360981845,Eef1d
ENSMUSG00000033475,0.19488080616034142,2.409941380576944e-230,1.2326850161651068e-227,0.18336790398897662,0.20634025646240667,Tomm6
ENSMUSG00000025208,0.1944924869643544,2.0621427110764477e-229,1.0332597518846724e-226,0.18297782881826546,0.20595379136610467,Mrpl43
