,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000020358,0.6889894604119705,0.0,0.0,0.6826656653369421,0.6952100623704872,Hnrnpab
ENSMUSG00000057113,0.6660577274302462,0.0,0.0,0.6593616987053038,0.6726480969121769,Npm1
ENSMUSG00000007836,0.6614887523193456,0.0,0.0,0.6547200955375505,0.6681513307458128,Hnrnpa0
ENSMUSG00000044502,0.6614408699332741,0.0,0.0,0.6546714547196968,0.6681042025246388,Bod1
ENSMUSG00000021737,0.6482106614485981,0.0,0.0,0.6412338339857019,0.6550803260528678,Psmd6
ENSMUSG00000030007,0.6477264005929861,0.0,0.0,0.6407420624555318,0.6546035400388,Cct7
ENSMUSG00000021546,0.6457872227995497,0.0,0.0,0.6387728662833989,0.6526942397358371,Hnrnpk
ENSMUSG00000030120,0.643984333143783,0.0,0.0,0.6369421504141214,0.6509190490341248,Mlf2
ENSMUSG00000031068,0.6401140019750841,0.0,0.0,0.6330123519204842,0.6471079240797135,Glrx3
ENSMUSG00000035585,0.6336988308531354,0.0,0.0,0.6264994182279816,0.6407901188107769,Tsen34
ENSMUSG00000026496,0.6333834963082096,0.0,0.0,0.6261793041347921,0.6404795454677598,Parp1
ENSMUSG00000071644,0.631956119001912,0.0,0.0,0.6247303223476411,0.6390736909435085,Eef1g
ENSMUSG00000042487,0.6297476187960712,0.0,0.0,0.6224884928111788,0.6368983979990783,Leo1
ENSMUSG00000054766,0.6273112537991059,0.0,0.0,0.620015497877082,0.6344985343704422,Set
ENSMUSG00000020849,0.6267794584163051,0.0,0.0,0.6194757264012586,0.6339746878652402,Ywhae
ENSMUSG00000030753,0.6265831811710488,0.0,0.0,0.6192765070513685,0.6337813427564637,Prkrir
ENSMUSG00000058064,0.6249116739374967,0.0,0.0,0.6175799828203115,0.6321347693030344,Gm10036
ENSMUSG00000071172,0.623509701420966,0.0,0.0,0.6161570799680306,0.630753659627432,Srsf3
ENSMUSG00000062175,0.6231999548944299,0.0,0.0,0.6158427156449736,0.6304485162682972,Tgif2
ENSMUSG00000020935,0.6229688146642538,0.0,0.0,0.6156081310314266,0.6302208095715406,Dcakd
ENSMUSG00000006728,0.6223141457471176,0.0,0.0,0.6149437135113198,0.6295758588355089,Cdk4
ENSMUSG00000020349,0.6208537846954167,0.0,0.0,0.6134616440899886,0.6281371399352013,Ppp2ca
ENSMUSG00000028882,0.6205624141336176,0.0,0.0,0.6131659485150589,0.62785008144592,Ppp1r8
ENSMUSG00000074502,0.6189457013648121,0.0,0.0,0.611525275425974,0.6262572588307438,Ubtfl1
ENSMUSG00000046434,0.6187246223990658,0.0,0.0,0.6113009249423824,0.626039442003098,Hnrnpa1
ENSMUSG00000021039,0.6167625274338956,0.0,0.0,0.6093098472591375,0.624106248774824,Snw1
