,Pharyngeal Mesoderm/Neural Crest_2_corr,Pharyngeal Mesoderm/Neural Crest_2_pval,Pharyngeal Mesoderm/Neural Crest_2_qval,Pharyngeal Mesoderm/Neural Crest_2_ci_low,Pharyngeal Mesoderm/Neural Crest_2_ci_high,gene_annotation
ENSMUSG00000075227,0.18512607234192155,1.5265964985836207e-207,3.7480997233225054e-203,0.1735701576226684,0.19663101509363073,Znhit2
ENSMUSG00000090862,0.17327427884493105,1.4878794332776254e-181,1.826520792291613e-177,0.16166918208158518,0.1848314570578037,Rps13
ENSMUSG00000059689,0.16757075828428108,1.0415285431159144e-169,6.58099950490005e-166,0.15594319614670396,0.17915188630130402,Zfp637
ENSMUSG00000071451,0.16756458297965784,1.0721732657054497e-169,6.58099950490005e-166,0.15593699694189841,0.17914573650919233,Psmg4
ENSMUSG00000025362,0.16714069792174982,7.825939226389665e-169,3.842849197726381e-165,0.15551147351778716,0.17872360051703984,Rps26
ENSMUSG00000019689,0.16597461616606096,1.8039869103078432e-166,7.381914436979695e-163,0.15434090698331857,0.17756230833242215,Fmc1
ENSMUSG00000059291,0.1642966454168096,4.216835482646076e-163,1.4790249252846637e-159,0.15265654002774934,0.17589117305682223,Rpl11
ENSMUSG00000008683,0.16284096828816128,3.2942827928567656e-160,1.0110153891277413e-156,0.1511953688245261,0.1744413717182049,Rps15a
ENSMUSG00000012848,0.1587718251197519,2.8722646687727506e-152,7.835538016412064e-149,0.1471111376754216,0.1703883866770725,Rps5
ENSMUSG00000023723,0.15767568282960187,3.63566686518408e-150,8.926289287399953e-147,0.14601099897708375,0.1692965298438624,Mrps23
ENSMUSG00000062328,0.15762584289694595,4.5269578590730967e-150,1.0104169941451152e-146,0.14596097801950264,0.16924688408646021,Rpl17
ENSMUSG00000041841,0.15715101546484297,3.642396889221122e-149,7.452344035346416e-146,0.14548442894511918,0.16877390361400227,Rpl37
ENSMUSG00000000552,0.1552284616988784,1.5788310076459217e-145,2.981804530747898e-142,0.14355495966381066,0.16685877338499502,Zfp385a
ENSMUSG00000043716,0.15244935841246565,2.3529524226757907e-140,4.126406277252572e-137,0.14076601666721075,0.16409024589910814,Rpl7
ENSMUSG00000024608,0.15170809209185804,5.429132066874717e-139,8.886403367060536e-136,0.14002215713822028,0.16335176946496202,Rps14
ENSMUSG00000027133,0.15099286988686908,1.104797489954712e-137,1.6953117483355057e-134,0.13930444533990516,0.16263922675632828,Nop10
ENSMUSG00000032959,0.14751799902839974,2.031164409373768e-131,2.933479328173221e-128,0.13581765367165521,0.15917720121057075,Pebp1
ENSMUSG00000028234,0.14733760099885768,4.253605036902126e-131,5.801917270334499e-128,0.13563664468681633,0.1589974622157326,Rps20
ENSMUSG00000022193,0.14612368249327531,5.999346767514123e-129,7.752419044000356e-126,0.13441863530737042,0.15778795832849232,Psmb5
ENSMUSG00000042462,0.14564580421297108,4.1599052337661755e-128,5.106699664971357e-125,0.13393915629187544,0.15731180833173053,Dctpp1
ENSMUSG00000028964,0.14308259575499757,1.2032195558284053e-123,1.4067355492713813e-120,0.13136745546763032,0.1547577773408004,Park7
ENSMUSG00000068327,0.14302831440176264,1.4925192735651264e-123,1.665651509298681e-120,0.13131299597551693,0.15470368865238723,Tlx2
ENSMUSG00000038374,0.14075392910833143,1.1512400176249168e-119,1.2289236918576937e-116,0.12903121022390085,0.1524373130977348,Rbm8a
ENSMUSG00000045031,0.13931984804177705,3.0100890001441002e-117,3.0793210471474145e-114,0.12759252671466892,0.15100821928845767,Cetn4
ENSMUSG00000055762,0.1388277654614157,2.004898673651146e-116,1.9435033597127563e-113,0.12709887624965294,0.15051783674907265,Eef1d
ENSMUSG00000076437,0.13882095302934275,2.058125095818331e-116,1.9435033597127563e-113,0.12709204215243047,0.1505110478121363,Selenoh
ENSMUSG00000063457,0.13836667915834025,1.1774974017904205e-115,1.0707376373614223e-112,0.12663632609574804,0.15005833818080605,Rps15
ENSMUSG00000030034,0.1381580252768129,2.6182547858401745e-115,2.2958354107838557e-112,0.1264270114591205,0.14985040113173845,Ino80b
ENSMUSG00000058546,0.13695979450011717,2.5141723749886614e-113,2.128550350024883e-110,0.1252250064068891,0.14865626686315775,Rpl23a
ENSMUSG00000044533,0.13650235927860918,1.420425564809324e-112,1.1624762822399506e-109,0.12476613940807187,0.14820038652297132,Rps2
ENSMUSG00000001056,0.1360210341512951,8.727181343333018e-112,6.91192762391975e-109,0.12428331314834602,0.1477206921140275,Nhp2
ENSMUSG00000030879,0.13562576005598773,3.856478448469172e-111,2.9588830895879724e-108,0.12388681044887903,0.14732675308184945,Mrpl17
ENSMUSG00000059070,0.13337303298785963,1.6845362482891382e-107,1.2532949687271188e-104,0.1216271529366334,0.1450815638724008,Rpl18
ENSMUSG00000036111,0.1330516122755254,5.504122144677062e-107,3.9746237322385656e-104,0.12130475330833045,0.14476120883720817,Lmo1
ENSMUSG00000036781,0.13208000659756855,1.937255249627576e-105,1.3212080802460069e-102,0.12033020358630492,0.14379280961180074,Rps27l
ENSMUSG00000049517,0.13112096102626777,6.340165371960499e-104,4.0964142161151094e-101,0.11936827423791548,0.14283690704302443,Rps23
ENSMUSG00000001289,0.13058958908722945,4.3301643936327187e-103,2.657854904811763e-100,0.11883531400284236,0.14230726711622102,Pfdn5
ENSMUSG00000057841,0.12953939597938047,1.884615870876821e-101,1.128563142969944e-98,0.11778200173885886,0.14126047738764394,Rpl32
ENSMUSG00000028998,0.1292241854706067,5.812839865539446e-101,3.398020104255345e-98,0.11746586019196971,0.14094628327298975,Tomm7
ENSMUSG00000039001,0.12920055718393442,6.324211595359288e-101,3.610977746261889e-98,0.11744216221038516,0.14092273108043016,Rps21
ENSMUSG00000057278,0.12881961563004038,2.457028839481317e-100,1.3710220924305748e-97,0.11706009886485096,0.14054301450481024,Snrpg
ENSMUSG00000037152,0.12828253458720554,1.6531852956541274e-99,9.019778973088919e-97,0.11652144214610104,0.14000765467273185,Ndufc1
ENSMUSG00000064264,0.12757514117193833,2.0103902875007265e-98,1.0730239638851704e-95,0.1158119839541357,0.13930251781571565,Zfp428
ENSMUSG00000025508,0.12509147585758112,1.156717838444291e-94,5.916611743642548e-92,0.11332116423367097,0.13682668111508767,Rplp2
ENSMUSG00000021520,0.12429366669342491,1.7977393643727436e-93,8.654528798839137e-91,0.1125210883076347,0.13603135556479173,Uqcrb
ENSMUSG00000078348,0.12386545358965201,7.78013289523244e-93,3.6734196700720553e-90,0.11209166484595204,0.13560446926710928,Sf3b5
ENSMUSG00000054000,0.12374419179007909,1.1769288010665052e-92,5.396955763568482e-90,0.11197006109502508,0.1354835824018625,Tusc1
ENSMUSG00000032532,0.12374169086153021,1.1870137309901356e-92,5.396955763568482e-90,0.11196755311771191,0.1354810892023584,Cck
ENSMUSG00000026895,0.12353872082613836,2.371000458895869e-92,1.058414604851116e-89,0.11176401151969217,0.1352787459441168,Ndufa8
ENSMUSG00000037563,0.12324515273347766,6.436118147404704e-92,2.8217780849121482e-89,0.11146961848859299,0.13498608266546383,Rps16
ENSMUSG00000058558,0.12302501398212769,1.3587408706254524e-91,5.852597518525633e-89,0.1112488624942721,0.13476662106552958,Rpl5
ENSMUSG00000026377,0.12230900775729912,1.5292024338050087e-90,6.363555619454335e-88,0.11053085670993264,0.134052809324199,Nifk
ENSMUSG00000085301,0.11990471391105165,4.658847815023925e-87,1.682118111095109e-84,0.10811993844751921,0.13165579521498105,Gm12132
ENSMUSG00000031546,0.11977356670414124,7.182127473144407e-87,2.5555883147919053e-84,0.10798843388479042,0.13152504114404073,Gins4
ENSMUSG00000041453,0.11934163358740997,2.9774456477656696e-86,1.0296090921682073e-83,0.10755532673316563,0.13109439992896701,Rpl21
ENSMUSG00000003970,0.11909299894353216,6.734469762118702e-86,2.2964541888824774e-83,0.10730601830560947,0.13084650693396035,Rpl8
ENSMUSG00000032398,0.11900285709318933,9.049470304628749e-86,3.0435971906745897e-83,0.10721563254284573,0.1307566336035011,Snapc5
ENSMUSG00000000740,0.11839108401384668,6.681122358879894e-85,2.1871322154029222e-82,0.10660220923124561,0.13014667780553635,Rpl13
ENSMUSG00000036992,0.1181239948815574,1.5938675696635635e-84,5.0821605935558193e-82,0.10633440245136531,0.12988037927527157,Nxt1
ENSMUSG00000022313,0.11724662850517703,2.7330760655368642e-83,8.183229702568425e-81,0.10545469069786872,0.12900559802672995,Utp23
ENSMUSG00000051518,0.11646011965237406,3.427454086961916e-82,1.0017958659891544e-79,0.10466609503673809,0.12822139103633792,Rps19bp1
ENSMUSG00000038812,0.11630997726516862,5.543336799776223e-82,1.601176530683598e-79,0.104515555969404,0.1280716863965289,Trmt112
ENSMUSG00000033307,0.11610561864318261,1.0654225731969464e-81,3.0416575601315615e-79,0.10431065829502842,0.12786792273074601,Mif
ENSMUSG00000060126,0.11553192876875236,6.627316613512592e-81,1.788064587856716e-78,0.10373546050563948,0.1272958977526593,Tpt1
ENSMUSG00000052926,0.11490377219054747,4.851455582758037e-80,1.2279684275038695e-77,0.10310566189933901,0.12666955516248757,Rnaseh2a
ENSMUSG00000005779,0.11453865066847796,1.535178629114829e-79,3.807243000204776e-77,0.1027395902813845,0.12630548372519043,Psmb4
ENSMUSG00000062647,0.11442340908901798,2.206589883657429e-79,5.259824740151183e-77,0.10262404949122736,0.12619057292087382,Rpl7a
ENSMUSG00000019158,0.11316922886171667,1.116677094816272e-77,2.3840570462547055e-75,0.10136663352530019,0.12493997211725039,Tmem160
ENSMUSG00000053565,0.11302357607892986,1.7562685834756024e-77,3.6854620736318793e-75,0.10122060740764834,0.12479473260259549,Eif3k
ENSMUSG00000035242,0.1128848383777293,2.7019361400486998e-77,5.621858992413194e-75,0.10108151456913678,0.12465638807989558,Oaz1
ENSMUSG00000047675,0.1128307777967104,3.1952905562519595e-77,6.537564478091509e-75,0.10102731573011982,0.12460248058102444,Rps8
ENSMUSG00000027566,0.11267777552775327,5.1339810421249205e-77,1.0417314260020748e-74,0.10087392254308096,0.12444991118851702,Psma7
ENSMUSG00000074483,0.11214601204795605,2.6544998485594228e-76,4.937369718320526e-74,0.10034080478157568,0.12391964785290795,Bglap
ENSMUSG00000055839,0.111141374467439,5.788307057185791e-75,1.0151036776287538e-72,0.09933362711612582,0.12291782607678177,Tceb2
ENSMUSG00000006412,0.1103219562567398,7.001211740606043e-74,1.1383692096381429e-71,0.09851215503599535,0.12210068676427324,Pfdn2
ENSMUSG00000039670,0.11006517051011562,1.5231668415330252e-73,2.412696276988312e-71,0.09825472896878878,0.12184461188289171,Oxld1
ENSMUSG00000005732,0.10990411321377158,2.47778493769582e-73,3.82607394907596e-71,0.09809327086674811,0.12168399964454205,Ranbp1
ENSMUSG00000025967,0.10964278508846419,5.448347689150969e-73,8.156575150246011e-71,0.09783129372560195,0.1214233923482772,Eef1b2
ENSMUSG00000070493,0.10946501975328769,9.301763098242512e-73,1.3513425301068057e-70,0.0976530878406416,0.12124611642027938,Chchd2
ENSMUSG00000028044,0.10918818508541718,2.135784786753798e-72,2.929485367842416e-70,0.09737556861110201,0.12097004241167213,Cks1b
ENSMUSG00000022205,0.10844928369488212,1.943088996002372e-71,2.4216609659822456e-69,0.0966348490469134,0.12023316237740714,Sub1
ENSMUSG00000036309,0.10828609601525133,3.157729572274222e-71,3.857143107386901e-69,0.09647126158464032,0.1200704193673363,Skp1a
ENSMUSG00000078193,0.10719092564631776,8.05760023109285e-70,8.792453372168517e-68,0.09537342474621469,0.11897821683616583,Gm2000
ENSMUSG00000046402,0.10717399322688616,8.469185937054932e-70,9.200683766662509e-68,0.09535645132618689,0.11896133007851457,Rbp1
ENSMUSG00000047721,0.10687477565609337,2.0398534791597117e-69,2.1311694732054995e-67,0.09505651035590316,0.11866291828497873,Bola2
ENSMUSG00000057322,0.10674127840695914,3.0169559183064055e-69,3.12541357410375e-67,0.094922691051124,0.11852977984997842,Rpl38
ENSMUSG00000022890,0.10642957649189164,7.509027786677071e-69,7.618250009028738e-67,0.09461023883324618,0.11821891407755412,Atp5j
ENSMUSG00000057497,0.1062678319275411,1.203958355829706e-68,1.1776727311685633e-66,0.09444810584855816,0.11805760248347577,Fam136a
ENSMUSG00000045128,0.10606422502455033,2.1789640512250297e-68,2.0735629994448423e-66,0.09424401088663627,0.11785453972641712,Rpl18a
ENSMUSG00000001100,0.10564106294205831,7.44885747679079e-68,6.773494398895091e-66,0.09381983763549846,0.11743250540383918,Poldip2
ENSMUSG00000034892,0.10551875269301135,1.06165416043465e-67,9.444106140214321e-66,0.09369723591898763,0.11731052032768642,Rps29
ENSMUSG00000098274,0.10543480605764699,1.3536330452075314e-67,1.1869428044976895e-65,0.09361308944480434,0.11722679666614906,Rpl24
ENSMUSG00000028609,0.10536068425249825,1.677250497839543e-67,1.4499948670055094e-65,0.09353879132969334,0.11715287159938406,Magoh
ENSMUSG00000040289,0.10513538433278999,3.2148691341141174e-67,2.754382818778455e-65,0.09331295630830418,0.11692816888146382,Hey1
ENSMUSG00000086727,0.10486369435819264,7.032127609925451e-67,5.8328647661787045e-65,0.09304062267070638,0.1166571974687458,4931428L18Rik
ENSMUSG00000015671,0.10450074626035695,1.9942677945448806e-66,1.5845716146170197e-64,0.09267681746960994,0.11629520655153398,Psma2
ENSMUSG00000006333,0.10444974560587707,2.3081645594132792e-66,1.8221883042673578e-64,0.09262569662987259,0.11624434014684729,Rps9
ENSMUSG00000063316,0.10433546733455157,3.2018433973592297e-66,2.479863062837975e-64,0.09251114928316238,0.11613036246730321,Rpl27
ENSMUSG00000047324,0.10388822704269958,1.148482521677595e-65,8.544709961281307e-64,0.09206285894510431,0.11568429558684583,4931429P17Rik
ENSMUSG00000031818,0.10344023582476819,4.105233925398237e-65,2.90466003851232e-63,0.09161382072352503,0.11523747498051556,Cox4i1
ENSMUSG00000030744,0.10343210012672768,4.2010891233645015e-65,2.9639408091047483e-63,0.09160566605594848,0.11522936049710923,Rps3
ENSMUSG00000059355,0.10306733949966816,1.1801990785307654e-64,8.026661433819211e-63,0.09124005656744222,0.11486554940155304,Wdr83os
ENSMUSG00000002477,0.10202126363011799,2.2359992376302026e-63,1.3969021191424105e-61,0.09019156398078133,0.11382217908473533,Snrpd1
ENSMUSG00000003429,0.10159854221075443,7.276849337572657e-63,4.389710194989776e-61,0.08976787340037153,0.11340054359977167,Rps11
ENSMUSG00000057130,0.10147108869193114,1.0376026975805273e-62,6.153435128260171e-61,0.08964012851274986,0.11327341666384318,Txnl4a
ENSMUSG00000030432,0.10122108073577704,2.0783097001104467e-62,1.1922116765680301e-60,0.08938955014934491,0.1130240481977528,Rpl28
ENSMUSG00000021811,0.10104744355189776,3.3634702698486637e-62,1.898389012995963e-60,0.08921551768378638,0.11285085428177546,Dnajc9
ENSMUSG00000008668,0.10090078765473372,5.047674150004264e-62,2.810215322696251e-60,0.08906852849010884,0.112704572214882,Rps18
